,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,414.99,116.88,70.19,110.14,-,164.16,77.75,129.78,800.82,90.12,178.67,46.36,-,27.85,-
1,Short-Term Investments,-,127.62,94.9,10.54,10.45,-,51.13,-,120.77,-,-,-,-,-,-,-
2,Trading Asset Securities,-,373.18,34.06,20.02,20.19,-,231.24,436.49,601.44,150,-,-,-,-,-,-
3,Cash & Short-Term Investments,915.79,915.79,245.85,100.75,140.78,-,446.54,514.24,852,950.82,90.12,178.67,46.36,-,27.85,49.52
4,Cash Growth,550.50%,-,-44.94%,-80.41%,-83.48%,-,395.48%,187.81%,1737.70%,-,223.59%,260.83%,-,-,-,-
5,Accounts Receivable,-,262.99,240.96,201.83,231.25,-,213.97,137.23,108.92,117.08,133.13,150.55,175.17,-,155.71,-
6,Other Receivables,-,1.43,0.41,3.32,0.39,-,0.11,0.24,1.37,0.09,0.15,0.66,0.19,-,1.75,-
7,Receivables,-,264.42,241.37,205.15,231.64,-,214.09,137.47,110.29,117.17,133.28,151.21,175.37,-,157.46,-
8,Inventory,-,298.97,268.09,254.32,237,-,218.84,199.94,205.69,220.89,217.13,208.46,170.64,-,153.25,-
9,Other Current Assets,-,110.76,100.51,79.05,43.12,-,13.57,135.7,7.84,21.39,61.23,75.36,73.04,-,70.15,-
10,Total Current Assets,-,1590,855.81,639.26,652.55,-,893.04,987.36,1176,1310,501.77,613.71,465.41,-,408.71,-
11,"Property, Plant & Equipment",-,2762,2752,2683,2580,-,2096,1924,1830,1780,1713,1587,1495,-,1393,-
12,Long-Term Investments,-,51.3,51.3,50,50,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,39.35,39.04,39.85,25.75,-,17.27,17.62,17.73,18.17,18.6,17.18,17.12,-,17.87,-
14,Long-Term Deferred Tax Assets,-,0.93,3.69,3.43,3.73,-,16.55,17.88,17.88,-,-,-,-,-,-,-
15,Other Long-Term Assets,-,104.32,111.02,253.16,284.49,-,236.37,263.8,154.18,93.1,79.36,51.88,59.92,-,11.92,-
16,Total Assets,-,4548,3813,3668,3596,-,3260,3210,3196,3201,2313,2269,2038,-,1832,-
17,Accounts Payable,-,156.46,63.85,160.99,46.6,-,45.41,88.34,31.94,123.84,120.68,88.77,32.18,-,28.11,-
18,Accrued Expenses,-,16.59,16.43,13.87,27.37,-,17.28,13.32,18.24,11.74,15.31,11.89,12.01,-,9.96,-
19,Short-Term Debt,-,35.72,455.11,287.34,185.59,-,-,-,-,-,326.78,362.55,367.61,-,229.54,-
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,1.98,-,-,15.02,40.05,25.03,-,26.03,-
21,Current Portion of Leases,-,1.98,1.88,2.09,2.36,-,2.27,-,1.89,-,-,-,-,-,0.09,-
22,Current Income Taxes Payable,-,1.63,-,1.99,-,-,-,1.16,-,1.79,0.95,0.69,-,-,-,-
23,Current Unearned Revenue,-,0.68,1.31,1.59,2.91,-,28.26,41.12,50.38,73.85,65.23,81.45,0.47,-,0.52,-
24,Other Current Liabilities,-,0.45,87.57,0.45,100.05,-,48.79,5.25,58.69,8.65,9.21,10.98,52.47,-,49.11,-
25,Total Current Liabilities,-,213.52,626.16,468.32,364.89,-,142.01,151.18,161.14,219.87,553.18,596.38,489.76,-,343.37,-
26,Long-Term Debt,-,1105,56.42,20.02,-,-,-,-,-,-,165.9,121.77,53.87,-,79.14,-
27,Long-Term Leases,-,0.5,0.17,0.91,1.27,-,2.14,1.8,2.18,-,-,-,-,-,-,-
28,Long-Term Unearned Revenue,-,89.23,93.1,97.04,98.11,-,106.77,109.6,114.06,119.19,102.79,106.56,100.69,-,102.24,-
29,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,13.18,14.56,14.56,-,-,-,-,-,-,-
30,Total Liabilities,-,1408,775.85,586.3,464.27,-,264.11,277.13,291.93,339.06,821.86,824.7,644.32,-,524.75,-
31,Common Stock,-,837.98,834.85,834.85,834.85,-,834.85,834.85,834.85,834.85,667.88,667.88,667.88,-,667.88,-
32,Additional Paid-In Capital,-,2181,2157,2147,2136,-,2110,2105,2103,2097,942.34,939.85,937.39,-,932.25,-
33,Retained Earnings,-,179.94,138.78,187.87,161.54,-,47.6,-8.14,-34.44,-69.35,-119.16,-163.02,-211.67,-,-293.17,-
34,Treasury Stock,-,-99.69,-93.47,-87.67,-,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,-,40.64,-,-,-,-,2.66,1.53,0.47,-,-,-,-,-,-,-
36,Shareholders' Equity,3140,3140,3037,3082,3132,-,2996,2933,2904,2862,1491,1445,1394,-,1307,1142
37,Total Liabilities & Equity,-,4548,3813,3668,3596,-,3260,3210,3196,3201,2313,2269,2038,-,1832,-
38,Total Debt,1143,1143,513.58,310.36,189.22,-,4.41,3.78,4.06,-,507.7,524.37,446.51,-,334.81,438.26
39,Net Cash (Debt),-227.03,-227.03,-267.73,-209.61,-48.44,-,442.13,510.46,847.93,950.82,-417.58,-345.69,-400.15,-,-306.96,-388.75
40,Net Cash Per Share,-0.27,-0.28,-0.32,-0.24,-0.05,-,0.58,0.58,0.92,1.34,-0.67,-0.50,-0.61,-,-0.46,-0.58
41,Filing Date Shares Outstanding,842.44,826.1,823.73,824.41,824.41,866.35,834.85,834.85,834.85,834.85,834.85,667.88,667.88,680.26,667.88,666.03
42,Total Common Shares Outstanding,826.1,826.1,823.73,824.41,834.85,866.35,834.85,834.85,834.85,834.85,667.88,667.88,667.88,680.26,667.88,666.03
43,Working Capital,-,1376,229.65,170.94,287.66,-,751.03,836.18,1015,1090,-51.41,17.33,-24.35,-,65.34,-
44,Book Value Per Share,3.80,3.80,3.69,3.74,3.75,-,3.59,3.51,3.48,3.43,2.23,2.16,2.09,-,1.96,1.76
45,Tangible Book Value,3100,3100,2998,3042,3106,-,2978,2916,2886,2844,1472,1428,1376,-,1289,1123
46,Tangible Book Value Per Share,3.75,3.75,3.64,3.69,3.72,-,3.57,3.49,3.46,3.41,2.20,2.14,2.06,-,1.93,1.73
47,Buildings,-,-,398.38,-,387.58,-,368.81,-,368.5,-,-,342.98,342.98,-,342.81,-
48,Machinery,-,-,3323,-,3061,-,2455,-,2170,-,-,1804,1715,-,1524,-
49,Construction In Progress,-,-,254.01,-,180.68,-,181.04,-,77.97,-,-,80.29,32.59,-,39.72,-
