,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,8030,7402,7012,6991,6737,8808,8240,10202,11396,8758,8474,-,-,-,-,-,-
1,Market Cap Growth,-15.96%,-15.96%,-14.91%,-31.47%,-40.88%,0.57%,-2.76%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,8257,7629,7279,7201,6564,8635,7798,9691,10445,7807,8891,-,-,-,-,-,-
3,Last Close Price,9.72,8.96,8.48,8.48,7.98,10.43,9.76,12.08,13.49,10.37,10.03,-,-,-,-,-,-
4,PE Ratio,51.16,46.33,45.31,40.27,34.37,44.94,46.56,61.18,73.58,49.42,44.94,-,-,-,-,-,-
5,PS Ratio,5.45,4.93,4.96,5.16,5.13,7.11,7.25,9.86,11.99,9.32,9.19,-,-,-,-,-,-
6,PB Ratio,2.56,2.36,2.23,2.30,2.19,2.81,-,3.41,3.88,3.02,2.96,-,-,-,-,-,-
7,P/TBV Ratio,2.39,2.39,2.26,2.33,2.21,2.84,-,3.43,3.91,3.03,2.98,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-444.15,-,-,-,-,-,-
9,P/OCF Ratio,-,-,15.92,15.39,16.09,25.06,26.38,26.40,24.84,14.57,13.85,-,-,-,-,-,-
10,EV/Sales Ratio,5.50,5.08,5.15,5.32,5.00,6.97,6.86,9.37,10.99,8.31,9.65,-,-,-,-,-,-
11,EV/EBITDA Ratio,19.16,16.99,16.76,17.21,15.61,21.59,22.28,30.27,34.55,24.27,26.59,-,-,-,-,-,-
12,EV/EBIT Ratio,53.85,49.75,52.44,52.01,40.02,54.21,62.13,90.95,103.17,-,59.99,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-466.04,-,-,-,-,-,-
14,Debt / Equity Ratio,0.36,0.36,0.36,0.17,0.10,0.06,-,0.00,0.00,0.00,-,0.34,0.36,0.32,-,0.26,0.38
15,Debt / EBITDA Ratio,2.65,2.55,2.16,1.17,0.80,0.47,-,0.01,0.01,0.02,-,1.37,1.38,1.85,-,0.78,4.72
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,64.73,-,-,-27.02,-
17,Asset Turnover,-,0.38,0.38,-,-,-,0.39,0.30,0.30,0.34,0.40,0.43,-,-,-,-,
18,Inventory Turnover,-,-,4.22,4.45,-,-,-,4.48,3.79,3.72,2.93,3.10,3.40,-,-,-,-
19,Quick Ratio,-,-,5.53,0.78,0.65,1.02,-,4.65,4.31,5.97,4.86,0.40,0.55,0.45,-,0.54,-
20,Current Ratio,-,-,7.45,1.37,1.36,1.79,-,6.29,6.53,7.30,5.96,0.91,1.03,0.95,-,1.19,-
21,Return on Equity (ROE),7.51%,5.33%,4.36%,-,-,-,7.52%,3.60%,4.84%,9.15%,11.95%,13.71%,-,-,17.03%,-,
22,Return on Assets (ROA),-,3.76%,1.39%,-,-,-,3.58%,1.74%,-0.44%,3.95%,4.48%,5.35%,-,-,-,-,
23,Return on Capital (ROIC),2.49%,4.01%,1.50%,-,-,-,3.91%,1.90%,-0.48%,4.48%,5.17%,6.05%,-,-,5.45%,-,
24,Return on Capital Employed (ROCE),-,-,3.20%,4.34%,5.13%,4.93%,-,3.42%,3.31%,-,4.97%,8.62%,8.71%,7.53%,-,3.50%,-
25,Earnings Yield,1.99%,2.16%,2.21%,2.48%,2.91%,2.23%,2.15%,1.63%,1.36%,2.02%,2.23%,-,-,-,-,-,-
26,FCF Yield,-,-5.26%,-8.36%,-10.71%,-9.50%,-8.01%,-3.40%,-1.97%,0.21%,-0.23%,-,-,-,-,-,-,
27,Dividend Yield,0.99%,-,-,-,-,0.96%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,6.96%,256.10%,7.08%,1.31%,0.04%,-,-,0.00%,7.10%,15.98%,9.87%,8.59%,8.99%,10.03%,77.98%
29,Buyback Yield / Dilution,1.32%,6.52%,5.81%,-8.29%,-0.10%,2.11%,-21.75%,-21.96%,-26.15%,-40.20%,-4.60%,6.45%,-4.35%,-,-,-,-
30,Total Shareholder Return,2.31%,6.52%,5.81%,-8.29%,-0.10%,3.07%,-21.75%,-21.96%,-26.15%,-40.20%,-4.60%,6.45%,-4.35%,-,-,-,-
