,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Cash & Equivalents,58.32,41.36,31.43,24.19,18.95,22.89,45.32,30.82,16.46,15.94,Upgrade
1,Short-Term Investments,-,5.55,-,6.77,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,58.32,46.91,31.43,30.97,18.95,22.89,45.32,30.82,16.46,15.94,Upgrade
3,Cash Growth,85.53%,51.47%,65.86%,35.26%,-58.18%,-25.72%,175.39%,93.34%,-33.57%,-40.42%,Upgrade
4,Accounts Receivable,242.53,300.58,238.87,210.06,170.78,54.42,8.96,7.46,8.74,9.71,Upgrade
5,Other Receivables,-,-,-,-,0.13,0.15,0.15,0.15,0.12,0.19,Upgrade
6,Receivables,242.53,300.58,238.87,210.06,170.91,54.57,9.11,7.62,8.85,9.9,Upgrade
7,Inventory,0.46,0.73,1.26,1.02,5.76,1.04,96.18,93.58,94.79,84.11,Upgrade
8,Prepaid Expenses,12.57,1.47,10.87,3.11,20.06,15.59,7.43,7.07,11.87,9.06,Upgrade
9,Total Current Assets,313.89,349.68,282.43,245.15,215.68,94.09,158.04,139.09,131.97,119.01,Upgrade
10,"Property, Plant & Equipment",110.15,112.16,113.27,104.78,104,101.11,81.7,77.89,73.65,61.63,Upgrade
11,Other Intangible Assets,-,0.34,0.28,-,-,-,-,-,-,-,Upgrade
12,Other Long-Term Assets,219.69,239.51,263.8,283.68,287.01,282.85,289.39,279.76,266.92,301.07,Upgrade
13,Total Assets,643.72,701.69,659.78,633.61,606.68,478.05,529.12,496.74,472.55,481.7,Upgrade
14,Accounts Payable,53.67,32.02,13,6.28,13.25,5.49,3.39,3.59,1.42,1.47,Upgrade
15,Accrued Expenses,52.52,37.95,36.84,34.89,37.11,38.15,67.99,49.52,32.29,31.66,Upgrade
16,Short-Term Debt,116.39,188.93,156.09,137.64,121.7,87.31,68,68,76.01,46.73,Upgrade
17,Current Portion of Long-Term Debt,-,-,-,-,-,3.01,-,-,-,-,Upgrade
18,Current Portion of Leases,0.79,1.48,1.86,1.91,0.87,1.25,1.53,1.4,0.73,1.12,Upgrade
19,Current Income Taxes Payable,3.7,4.27,4.06,3.27,1.8,3.7,-,2.48,-,-,Upgrade
20,Current Unearned Revenue,0.87,1.23,1.59,7.78,11.46,6.61,6.96,3.4,5.78,4.6,Upgrade
