,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,325.78,331.92,298.25,305.03,289.17
1,Revenue Growth (YoY),9.23%,8.82%,3.14%,-,-
2,Cost of Revenue,293.74,285.65,251.07,256.36,243.43
3,Gross Profit,32.04,46.27,47.18,48.67,45.74
4,"Selling, General & Admin",21.79,39.48,26.77,26.45,28.59
5,Other Operating Expenses,-1.21,-8.44,2.78,0.61,-1.53
6,Operating Expenses,20.59,31.04,29.55,27.06,27.06
7,Operating Income,11.45,15.23,17.62,21.61,18.68
8,Interest Expense,-0.26,-0.33,-0.27,-0.23,-0.35
9,Interest & Investment Income,0.08,0.06,0.07,0.04,0.11
10,Pretax Income,11.27,14.96,17.43,21.43,18.44
11,Income Tax Expense,1.11,2.38,2.12,2.43,3.05
12,Net Income,10.16,12.58,15.31,19,15.39
13,Net Income to Common,10.16,12.58,15.31,19,15.39
14,Net Income Growth,-33.66%,-33.77%,-0.55%,-,-
15,Shares Outstanding (Basic),1625,1307,1251,-,-
16,Shares Outstanding (Diluted),1625,1307,1251,-,-
17,Shares Change (YoY),29.87%,-,-,-,-
18,EPS (Basic),0.01,0.01,0.01,-,-
19,EPS (Diluted),0.01,0.01,0.01,-,-
20,EPS Growth,-48.92%,-,-,-,-
21,Free Cash Flow,-60.36,1.96,-6.82,31.56,-27.72
22,Free Cash Flow Per Share,-0.04,0.00,-0.01,-,-
23,Operating Margin,3.51%,4.59%,5.91%,7.08%,6.46%
24,Profit Margin,3.12%,3.79%,5.13%,6.23%,5.32%
25,Free Cash Flow Margin,-18.53%,0.59%,-2.29%,10.35%,-9.59%
26,EBITDA,13.21,17.17,19.51,23.48,20.53
27,D&A For EBITDA,1.76,1.94,1.88,1.87,1.85
28,EBIT,11.45,15.23,17.62,21.61,18.68
