,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,579,488,601,-,-,-
1,Enterprise Value,489,327,552,-,-,-
2,Last Close Price,0.33,0.30,0.37,-,-,-
3,PE Ratio,19.80,19.96,19.57,-,-,-
4,PS Ratio,0.68,0.69,0.87,-,-,-
5,PB Ratio,1.62,1.47,1.83,-,-,-
6,P/TBV Ratio,1.47,1.47,1.83,-,-,-
7,P/FCF Ratio,-,-,-112.34,-,-,-
8,P/OCF Ratio,-,-,79.42,-,-,-
9,EV/Sales Ratio,0.69,0.46,0.80,-,-,-
10,EV/EBITDA Ratio,14.99,10.01,13.66,-,-,-
11,EV/EBIT Ratio,17.07,11.40,15.25,-,-,-
12,EV/FCF Ratio,-7.80,-,-103.15,-,-,-
13,Debt / Equity Ratio,0.06,0.06,0.02,0.04,0.04,-
14,Debt / FCF Ratio,-,-,-1.43,-,1.87,-
15,Return on Capital Employed (ROCE),8.47%,8.47%,10.77%,19.74%,21.95%,-
16,Earnings Yield,4.22%,5.01%,5.11%,-,-,-
17,FCF Yield,-10.83%,-12.87%,-0.89%,-,-,-
18,Buyback Yield / Dilution,-17.14%,-29.87%,-,-,-,-
19,Total Shareholder Return,-17.14%,-29.87%,-,-,-,-
