,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,99.24,148.57,49.86,54.72,-
1,Short-Term Investments,3.31,4.26,2.74,5.95,-
2,Cash & Short-Term Investments,102.54,152.84,52.6,60.67,-
3,Cash Growth,94.96%,151.91%,-,-,-
4,Accounts Receivable,274.94,232.3,233.77,207.5,-
5,Other Receivables,10.83,5.46,5.46,6.96,-
6,Receivables,285.77,237.76,239.23,214.46,-
7,Inventory,3.41,-,-,-,-
8,Prepaid Expenses,-,3.25,1.24,1.91,-
9,Other Current Assets,17.78,6.03,10.39,8.38,-
10,Total Current Assets,409.51,399.87,303.46,285.43,-
11,"Property, Plant & Equipment",18.52,15.65,15.11,14.48,-
12,Long-Term Deferred Tax Assets,5.05,5.08,5.72,4.97,-
13,Other Long-Term Assets,19.51,19.77,12.78,11.31,-
14,Total Assets,452.58,440.35,337.06,316.17,-
15,Accounts Payable,28.81,31.19,30.82,31.51,-
16,Accrued Expenses,-,61.72,60.98,59.12,-
17,Short-Term Debt,11.79,-,-,-,-
18,Current Portion of Leases,0.7,0.7,0.68,0.68,-
19,Current Income Taxes Payable,17.99,20.9,19.67,20.19,-
20,Other Current Liabilities,78.22,20.79,26.17,21.13,-
21,Total Current Liabilities,137.51,135.3,138.32,132.62,-
22,Long-Term Leases,6.1,6.23,6.39,6.52,-
23,Total Liabilities,143.61,141.54,144.72,139.14,-
24,Common Stock,14.73,14.73,-,-,-
25,Additional Paid-In Capital,-,83.17,4,4,-
26,Retained Earnings,-,202.13,189.55,174.25,-
27,Comprehensive Income & Other,294.25,-1.21,-1.21,-1.21,-
28,Shareholders' Equity,308.97,298.82,192.34,177.03,-
29,Total Liabilities & Equity,452.58,440.35,337.06,316.17,-
30,Total Debt,18.59,6.94,7.08,7.2,-
31,Net Cash (Debt),83.95,145.9,45.52,53.47,-
32,Net Cash Growth,84.43%,172.87%,-,-,-
33,Net Cash Per Share,0.05,0.11,0.04,-,-
34,Filing Date Shares Outstanding,1625,1625,1625,1251,-
35,Total Common Shares Outstanding,1625,1625,1251,1251,-
36,Working Capital,272,264.57,165.14,152.81,-
37,Book Value Per Share,0.19,0.18,0.15,0.14,-
38,Tangible Book Value,308.97,298.82,192.34,177.03,-
39,Tangible Book Value Per Share,0.19,0.18,0.15,0.14,-
40,Buildings,-,7.5,7.5,7.5,-
41,Machinery,-,31.82,29.7,27.45,-
42,Order Backlog,-,-,-,-,450.39
