,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,831.95,857.97,681.14,-,829.8,758.7,555.29,614.67,614.67,461.55,461.55,474.67,474.67,317.36,317.36
1,Other Revenue,-23.84,23.84,-,-,-15.54,15.54,-,6.27,6.27,4.5,4.5,-4.16,-4.16,4.16,4.16
2,Revenue,808.11,881.81,681.14,862.36,814.26,774.24,555.29,620.95,620.95,466.05,466.05,470.51,470.51,321.52,321.52
3,Revenue Growth (YoY),-0.76%,13.89%,22.66%,38.88%,31.13%,66.13%,19.15%,31.97%,31.97%,44.95%,44.95%,-,-,-,-
4,Cost of Revenue,355.21,408.95,294.43,-,369.24,398.52,278.9,330.41,330.41,260.07,260.07,265.29,265.29,167.42,167.42
5,Gross Profit,452.9,472.85,386.71,474.43,445.03,375.72,276.39,290.53,290.53,205.98,205.98,205.21,205.21,154.1,154.1
6,"Selling, General & Admin",158.62,147.98,145.41,-,137.3,129.34,100.2,110.59,110.59,87.12,87.12,90.4,90.4,62.44,62.44
7,Research & Development,139.2,122.05,123.26,-,116.9,95.59,85.59,91.19,91.19,68.4,68.4,60.31,60.31,46.36,46.36
8,Other Operating Expenses,-20.88,-20.26,-4.82,-,-21.64,-17.46,-8.34,-11.39,-11.39,-8.28,-8.28,-25.81,-25.81,1.94,1.94
9,Operating Expenses,276.05,263.9,252.05,-,235.94,216.7,175.29,192.5,192.5,148.41,148.41,131.9,131.9,111.32,111.32
10,Operating Income,176.86,208.96,134.67,-,209.09,159.02,101.1,98.03,98.03,57.57,57.57,73.32,73.32,42.78,42.78
11,Interest Expense,-1.96,-4.38,-3.3,-3.89,-3.98,-3.47,-2.39,-1.37,-1.37,-1.53,-1.53,-0.49,-0.49,-0.22,-0.22
12,Interest & Investment Income,4.73,6.47,7.84,-,2.2,1.89,1.52,0.81,0.81,1.26,1.26,4.01,4.01,1.99,1.99
13,Currency Exchange Gain (Loss),-3.09,3.09,-,-,-3.58,3.58,-,4.64,4.64,6.09,6.09,-1.03,-1.03,-0.51,-0.51
14,Other Non Operating Income (Expenses),-4.41,1.86,-4.8,-,3.18,2.81,-3.38,-0.49,-0.49,-0.15,-0.15,-0.35,-0.35,0.03,0.03
15,EBT Excluding Unusual Items,172.13,215.99,134.42,199.43,206.9,163.83,96.85,101.61,101.61,63.25,63.25,75.46,75.46,44.06,44.06
16,Gain (Loss) on Sale of Assets,-,-0,-,-,0.04,0.1,-0,0.01,0.01,0,0,0,0,0.01,0.01
17,Asset Writedown,-8.85,6.92,-6.91,-,0.44,4.69,-4.75,-,-,-0.09,-0.09,-,-,-,-
18,Other Unusual Items,-14.19,7.76,6.44,-,-0.84,0.84,-,2.99,2.99,2.01,2.01,-9.56,-9.56,9.56,9.56
19,Pretax Income,149.09,230.67,133.94,-,206.53,169.47,92.1,104.61,104.61,65.17,65.17,65.9,65.9,53.63,53.63
20,Income Tax Expense,12.79,28.81,11.38,-,23.43,18.65,7.31,8.41,8.41,7.24,7.24,7.68,7.68,6.09,6.09
21,Earnings From Continuing Operations,136.3,201.86,122.56,185.75,183.11,150.82,84.79,96.2,96.2,57.92,57.92,58.23,58.23,47.54,47.54
22,Net Income to Company,136.3,201.86,122.56,-,183.11,150.82,84.79,96.2,96.2,57.92,57.92,58.23,58.23,47.54,47.54
23,Minority Interest in Earnings,-,-,-,-,-,-0,0,0,0,-,-,-,-,-,-
24,Net Income,136.3,201.86,122.56,185.75,183.11,150.82,84.79,96.2,96.2,57.92,57.92,58.23,58.23,47.54,47.54
25,Net Income to Common,136.3,201.86,122.56,-,183.11,150.82,84.79,96.2,96.2,57.92,57.92,58.23,58.23,47.54,47.54
26,Net Income Growth,-25.56%,33.84%,44.54%,93.09%,90.34%,160.38%,46.39%,65.21%,65.21%,21.84%,21.84%,-,-,-,-
27,Shares Outstanding (Basic),93,99,77,69,69,69,69,69,69,69,69,69,69,69,69
28,Shares Outstanding (Diluted),93,99,77,69,69,69,69,69,69,69,69,69,69,69,69
