,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,15541,20357,17981,23192,-,-,-,-,-,-,-,-,-,-,-,-
1,Enterprise Value,14996,19636,16788,23367,-,-,-,-,-,-,-,-,-,-,-,-
2,Last Close Price,168.10,219.93,194.26,245.05,-,-,-,-,-,-,-,-,-,-,-,-
3,PE Ratio,21.90,44.19,35.43,50.81,-,-,-,-,-,-,-,-,-,-,-,-
4,Forward PE,19.33,25.32,19.28,24.87,-,-,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,4.33,6.30,5.55,7.40,-,-,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,4.28,5.61,5.18,6.16,-,-,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,5.70,5.70,5.27,6.26,-,-,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,71.51,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,248.34,-,43.57,-,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.57,6.07,5.18,7.46,-,-,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,19.53,25.90,21.35,31.83,-,-,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,21.22,27.21,22.27,33.20,-,-,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-265.12,-,66.76,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.12,0.12,0.16,0.21,0.33,-,0.44,0.30,0.30,0.30,0.28,0.28,0.18,0.18,0.05,0.05
15,Debt / EBITDA Ratio,0.57,0.58,0.63,1.36,0.84,-,1.17,1.09,1.06,1.06,1.39,1.39,0.67,0.67,0.24,0.24
16,Debt / FCF Ratio,-,-,2.26,-,7.20,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,0.62,0.65,-,0.83,-,-,-,0.82,0.87,0.69,0.76,0.87,1.01,0.83,-,
18,Inventory Turnover,-,0.99,1.20,-,-,-,-,-,1.59,1.62,1.30,1.61,2.15,2.59,2.06,-
19,Quick Ratio,1.87,1.87,1.79,2.28,1.15,-,1.54,-,1.16,1.16,1.05,1.05,1.34,1.34,1.99,1.99
20,Current Ratio,3.23,3.23,2.87,3.36,2.06,-,2.45,-,1.92,1.92,1.78,1.78,1.95,1.95,2.70,2.70
21,Return on Equity (ROE),15.36%,22.33%,-,34.53%,-,35.79%,22.22%,25.21%,27.18%,17.75%,18.73%,19.93%,21.48%,19.01%,-,
22,Return on Assets (ROA),8.48%,9.63%,-,12.04%,-,-,-,8.12%,8.55%,5.31%,5.89%,8.44%,9.87%,6.93%,-,
23,Return on Capital (ROIC),10.92%,12.18%,-,20.08%,-,17.11%,12.73%,12.34%,13.41%,8.62%,9.42%,13.24%,15.08%,10.22%,-,
24,Return on Capital Employed (ROCE),17.60%,17.97%,19.50%,16.41%,24.75%,-,17.99%,-,16.56%,15.25%,16.85%,15.89%,17.54%,12.00%,8.15%,4.07%
25,Earnings Yield,4.18%,3.18%,3.86%,2.77%,-,-,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,-0.36%,-0.17%,1.40%,0.52%,-,-,-,-,-,-,-,-,-,-,-,-
27,Dividend Yield,3.15%,0.10%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,79.73%,1.38%,249.29%,4.92%,-,4.03%,3.86%,5.41%,5.34%,5.34%,1.74%,1.74%,0.18%,0.18%,-,-
29,Buyback Yield / Dilution,-21.95%,-33.45%,-43.28%,-11.18%,0.14%,0.08%,0.09%,-0.14%,-0.02%,-0.02%,0.02%,0.02%,-,-,-,-
30,Total Shareholder Return,-18.79%,-33.36%,-43.28%,-11.18%,0.14%,0.08%,0.09%,-0.14%,-0.02%,-0.02%,0.02%,0.02%,-,-,-,-
