,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,979.04,1289,1973,529.84,-,452.64,-,416.27,416.27,543.01,543.01,543.85,543.85,273.36,273.36
1,Short-Term Investments,-,-,-,-,-,4.22,-,-,-,6.17,6.17,-,-,30,30
2,Trading Asset Securities,-,-,-,-,-,-,-,19.2,19.2,19.2,19.2,19.21,19.21,265.26,265.26
3,Cash & Short-Term Investments,979.04,1289,1973,529.84,-,456.87,435.47,435.47,435.47,568.38,568.38,563.06,563.06,568.63,568.63
4,Cash Growth,-,182.23%,353.09%,21.67%,-,-19.62%,-23.38%,-22.66%,-22.66%,-0.04%,-0.04%,-,-,-,-
5,Accounts Receivable,1204,1162,1015,1154,-,1049,-,874.47,874.47,643.73,643.73,565.17,565.17,396.66,396.66
6,Other Receivables,11.88,9.74,9.35,4.71,-,2.72,-,4.99,4.99,1.51,1.51,4.75,4.75,12.46,12.46
7,Receivables,1215,1172,1025,1159,-,1052,-,879.47,879.47,645.24,645.24,569.92,569.92,409.12,409.12
8,Inventory,1481,1381,1336,1264,-,832.56,-,828.95,828.95,800.34,800.34,493.75,493.75,324.72,324.72
9,Prepaid Expenses,-,2.4,-,-,-,-,-,-,-,-,-,-,-,-,-
10,Other Current Assets,110.13,98.76,83.16,72.55,-,66.07,-,45.94,45.94,47.89,47.89,23.68,23.68,23.79,23.79
11,Total Current Assets,3786,3944,4416,3025,-,2408,-,2190,2190,2062,2062,1650,1650,1326,1326
12,"Property, Plant & Equipment",817.24,808.62,760.23,755.8,-,676.15,-,607.63,607.63,459.88,459.88,339.44,339.44,138.22,138.22
13,Long-Term Investments,448.66,368.4,313.41,278.28,-,312.91,-,119.56,119.56,105.4,105.4,105.4,105.4,15,15
14,Goodwill,19.76,19.76,19.76,19.76,-,19.76,-,19.76,19.76,19.76,19.76,19.76,19.76,-,-
15,Other Intangible Assets,35.85,36.13,36.08,36.71,-,34.25,-,34.92,34.92,34.05,34.05,32.52,32.52,33.52,33.52
16,Long-Term Deferred Tax Assets,21.14,22.05,17.95,19.1,-,19.32,-,18.24,18.24,9.37,9.37,8.15,8.15,6.47,6.47
17,Long-Term Deferred Charges,9.39,8.9,9.74,10.66,-,7.8,-,6.17,6.17,1.8,1.8,2.67,2.67,3.54,3.54
18,Other Long-Term Assets,48.01,34.33,30.64,28.97,-,39.96,-,20.67,20.67,20.82,20.82,13.58,13.58,19.23,19.23
19,Total Assets,5186,5242,5604,4174,-,3518,-,3017,3017,2713,2713,2172,2172,1542,1542
20,Accounts Payable,638.23,698.98,589.6,777.61,-,352.35,-,558.51,558.51,572.36,572.36,430.3,430.3,318.52,318.52
21,Accrued Expenses,160.31,223.29,181.31,291.08,-,204.88,-,184.3,184.3,134.23,134.23,152.63,152.63,98.93,98.93
22,Short-Term Debt,56.84,86.65,86.63,52.54,-,103.18,-,90.69,90.69,100.09,100.09,60.06,60.06,-,-
23,Current Portion of Long-Term Debt,41.24,116.31,211.17,132.5,-,70.51,-,48.16,48.16,34.78,34.78,24.18,24.18,4.54,4.54
24,Current Portion of Leases,-,17.67,-,13.23,-,10.52,-,11.26,11.26,14.42,14.42,9.67,9.67,4.35,4.35
25,Current Income Taxes Payable,55.63,10.06,63.68,33.67,-,12.31,-,5.59,5.59,5.74,5.74,5.77,5.77,1.18,1.18
26,Current Unearned Revenue,46.55,49.27,38.19,41.09,-,30.24,-,24.8,24.8,32.01,32.01,29.98,29.98,21.77,21.77
27,Other Current Liabilities,172.02,173.45,143.92,124.13,-,198.57,-,214.7,214.7,265.35,265.35,135.18,135.18,42.81,42.81
28,Total Current Liabilities,1171,1376,1315,1466,-,982.56,-,1138,1138,1159,1159,847.77,847.77,492.1,492.1
29,Long-Term Debt,299.96,308.06,457.63,477.23,-,600.94,-,277.9,277.9,178.9,178.9,119.5,119.5,25.4,25.4
30,Long-Term Leases,36.13,40.02,24.15,28.8,-,30.27,-,31.47,31.47,36.44,36.44,2.69,2.69,11.65,11.65
31,Long-Term Unearned Revenue,8.94,9.56,10.61,10.67,-,8.62,-,5.65,5.65,4.28,4.28,3.82,3.82,1.96,1.96
32,Long-Term Deferred Tax Liabilities,31.84,28.94,25.36,29.84,-,40.67,-,27.3,27.3,19.14,19.14,19.4,19.4,1.04,1.04
33,Other Long-Term Liabilities,10,10,10,10,-,10,-,10,10,10,10,10,10,10,10
34,Total Liabilities,1558,1772,1842,2022,-,1673,-,1490,1490,1408,1408,1003,1003,542.16,542.16
35,Common Stock,92.45,92.45,51.36,38.52,-,38.52,-,38.52,38.52,38.52,38.52,38.52,38.52,38.52,38.52
36,Additional Paid-In Capital,2042,2042,2083,591.23,-,591.23,-,591.23,591.23,572.15,572.15,552.95,552.95,533.79,533.79
37,Retained Earnings,1422,1286,1582,1460,-,1088,-,852.53,852.53,660.08,660.08,544.23,544.23,427.78,427.78
38,Comprehensive Income & Other,71.45,49.29,45.3,62.65,-,126.8,-,44.16,44.16,34.45,34.45,33.02,33.02,-0.02,-0.02
39,Total Common Equity,3628,3470,3762,2152,-,1845,1526,1526,1526,1305,1305,1169,1169,1000,1000
40,Minority Interest,-,-,-,-,-,-,-,-0,-0,-,-,-,-,-,-
41,Shareholders' Equity,3628,3470,3762,2152,-,1845,1526,1526,1526,1305,1305,1169,1169,1000,1000
42,Total Liabilities & Equity,5186,5242,5604,4174,-,3518,-,3017,3017,2713,2713,2172,2172,1542,1542
43,Total Debt,434.16,568.71,779.59,704.31,-,815.42,459.49,459.49,459.49,364.63,364.63,216.1,216.1,45.94,45.94
44,Net Cash (Debt),544.88,720.7,1193,-174.47,-,-358.56,-24.02,-24.02,-24.02,203.75,203.75,346.96,346.96,522.69,522.69
45,Net Cash Growth,-,-,-,-,-,-,-,-,-,-61.02%,-61.02%,-,-,-,-
46,Net Cash Per Share,5.89,7.27,15.47,-2.52,-,-5.18,-0.35,-0.35,-0.35,2.94,2.94,5.00,5.00,7.54,7.54
47,Filing Date Shares Outstanding,92.45,92.45,92.45,92.45,69.38,69.34,69.38,69.34,69.34,69.34,69.34,69.34,69.34,69.34,69.34
