,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,823,732,885,1311,1840,5497,7705,5356,5799,6062,6173,Upgrade
1,Market Cap Growth,-44.14%,-44.14%,-51.90%,-76.14%,-76.12%,2.63%,32.88%,-11.66%,-6.06%,50.95%,37.48%,Upgrade
2,Enterprise Value,3232,3091,2565,3444,3558,7790,9422,7235,6980,7845,7252,Upgrade
3,Last Close Price,0.54,0.48,0.54,0.80,1.04,3.08,4.00,2.76,2.92,3.05,3.04,Upgrade
4,PE Ratio,-,-,-,-2.37,-,-,9.33,7.86,11.89,11.96,10.75,Upgrade
5,Forward PE,-,2.71,1.62,1.18,12.82,5.69,8.12,7.15,7.31,9.29,9.39,Upgrade
6,PS Ratio,0.05,0.04,0.05,0.07,0.10,0.28,0.35,0.24,0.33,0.44,0.44,Upgrade
7,PB Ratio,0.14,0.12,0.14,0.20,0.27,0.66,0.78,0.56,0.65,0.74,0.75,Upgrade
8,P/TBV Ratio,0.13,0.13,0.15,0.21,0.29,0.70,0.82,0.59,0.68,0.78,0.78,Upgrade
9,P/FCF Ratio,-,-,-,3.24,4.09,23.88,-,29.69,-,200.40,-,Upgrade
10,P/OCF Ratio,20.05,20.05,-,1.98,2.08,5.04,8.09,8.36,6.11,14.15,-,Upgrade
11,PEG Ratio,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,Upgrade
12,EV/Sales Ratio,0.19,0.18,0.14,0.19,0.19,0.40,0.43,0.33,0.40,0.57,0.51,Upgrade
13,EV/EBITDA Ratio,88.11,-36.30,-,105.98,-,5.71,5.90,4.94,5.93,7.58,8.16,Upgrade
14,EV/EBIT Ratio,-,-,-,-17.81,-,6.92,6.96,5.87,7.30,9.19,10.17,Upgrade
15,EV/FCF Ratio,-8.09,-,-,8.51,7.92,33.85,-,40.11,-,259.32,-,Upgrade
16,Debt / Equity Ratio,0.60,0.60,0.55,0.44,0.50,0.44,0.44,0.43,0.44,0.40,0.41,Upgrade
17,Debt / FCF Ratio,-,-,-,7.36,7.53,15.90,-,22.92,-,107.02,-,Upgrade
18,Return on Capital Employed (ROCE),-,-,-,-2.54%,-,12.02%,12.40%,11.77%,9.74%,9.74%,8.08%,Upgrade
19,Earnings Yield,-69.19%,-77.70%,-31.39%,-42.17%,-100.01%,-13.48%,10.72%,12.73%,8.41%,8.36%,9.30%,Upgrade
20,FCF Yield,-48.57%,-54.54%,0.65%,30.87%,24.43%,4.19%,0.60%,3.37%,12.44%,0.50%,-3.45%,Upgrade
21,Buyback Yield / Dilution,0.48%,0.09%,0.86%,1.68%,2.44%,1.82%,-1.68%,1.97%,-0.46%,-3.47%,1.45%,Upgrade
22,Total Shareholder Return,7.24%,0.09%,0.86%,1.68%,2.44%,1.82%,-1.68%,1.97%,-0.46%,-3.47%,1.45%,Upgrade
