,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,245,242,162,312,480,-
1,Market Cap Growth,-22.31%,-22.31%,-66.17%,-,-,-
2,Enterprise Value,303,258,52,5,532,-
3,Last Close Price,3.60,4.04,3.59,6.89,10.60,-
4,PE Ratio,7.71,11.41,4.46,4.20,6.27,-
5,PS Ratio,0.08,0.13,0.12,0.49,0.85,-
6,PB Ratio,0.31,0.35,0.26,0.51,0.78,-
7,P/TBV Ratio,0.42,0.42,0.32,0.62,0.97,-
8,P/FCF Ratio,-,-,-,-,5.17,-
9,P/OCF Ratio,-,-,-,-,4.43,-
10,EV/Sales Ratio,0.16,0.14,0.04,0.01,0.95,-
11,EV/EBITDA Ratio,15.12,11.39,1.15,0.04,3.59,-
12,EV/EBIT Ratio,17.93,15.26,1.54,0.04,3.74,-
13,EV/FCF Ratio,-1.71,-,-,-,5.73,-
14,Debt / Equity Ratio,0.11,0.11,0.10,0.06,0.13,-
15,Debt / FCF Ratio,-,-,-,-,0.89,-
16,Return on Capital Employed (ROCE),2.45%,2.45%,5.32%,19.84%,23.06%,-
17,Earnings Yield,8.67%,8.76%,22.43%,23.80%,15.95%,-
18,FCF Yield,-72.50%,-73.21%,-148.44%,-37.08%,19.35%,-
19,Buyback Yield / Dilution,-18.33%,-20.00%,-16.38%,-25.27%,-,-
20,Total Shareholder Return,-18.33%,-20.00%,-16.38%,-25.27%,-,-
