,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,14.77,26.13,119.37,329.19,-
1,Short-Term Investments,2.1,18.71,17.39,17.39,-
2,Cash & Short-Term Investments,16.87,44.84,136.76,346.58,-
3,Cash Growth,-87.66%,-87.06%,-,-,-
4,Accounts Receivable,445.99,313.5,167.07,155.58,-
5,Other Receivables,28.13,25.29,11.01,8.13,-
6,Receivables,474.11,338.78,178.08,163.71,-
7,Prepaid Expenses,222.04,194.71,364.74,70.15,-
8,Other Current Assets,6.09,1,0.89,0.55,-
9,Total Current Assets,719.11,579.34,680.47,580.99,-
10,"Property, Plant & Equipment",5.28,2.59,4.29,5.94,-
11,Long-Term Investments,49,47.01,0.01,-,-
12,Other Intangible Assets,102.33,110.12,98.63,106.13,-
13,Long-Term Deferred Tax Assets,29.23,21.9,12.98,9.84,-
14,Other Long-Term Assets,13.76,14.06,13.65,13.65,-
15,Total Assets,918.69,775.03,810.02,716.55,-
16,Accounts Payable,36.54,18.48,27.36,22.59,-
17,Accrued Expenses,55.76,48.48,22.94,18.04,-
18,Short-Term Debt,65.72,56.56,30.04,69.24,-
19,Current Portion of Leases,1.33,0.46,2.87,3.16,-
20,Current Income Taxes Payable,43.78,35.86,32.77,28.08,-
21,Current Unearned Revenue,45.99,36.45,128.27,28.18,-
22,Other Current Liabilities,27.35,0.32,-,1.55,-
23,Total Current Liabilities,276.48,196.61,244.25,170.83,-
24,Long-Term Leases,2.55,0.4,0.44,0.86,-
25,Total Liabilities,279.02,197.01,244.69,171.69,-
26,Common Stock,0.11,0.07,0.07,0.07,-
27,Additional Paid-In Capital,378.13,323.58,323.58,323.58,-
28,Retained Earnings,115.53,112.94,100.37,79.87,-
29,Comprehensive Income & Other,144.42,139.92,139.82,139.82,-
30,Total Common Equity,638.19,576.52,563.84,543.35,-
31,Minority Interest,1.48,1.5,1.5,1.51,-
32,Shareholders' Equity,639.67,578.02,565.34,544.86,-
33,Total Liabilities & Equity,918.69,775.03,810.02,716.55,-
34,Total Debt,69.61,57.41,33.35,73.26,-
35,Net Cash (Debt),-52.74,-12.57,103.41,273.32,-
36,Net Cash Per Share,-1.10,-0.31,2.59,7.95,-
37,Filing Date Shares Outstanding,68,40,40,40,31.93
38,Total Common Shares Outstanding,60,40,40,40,31.93
39,Working Capital,442.63,382.73,436.22,410.16,-
40,Book Value Per Share,10.64,14.41,14.10,13.58,-
41,Tangible Book Value,535.86,466.39,465.21,437.21,-
42,Tangible Book Value Per Share,8.93,11.66,11.63,10.93,-
43,Machinery,4.77,4.53,4.43,4.31,-
44,Leasehold Improvements,5.7,5.76,5.76,5.76,-
