,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,839.26,904.43,287.61,299.97,198.36
1,Revenue Growth (YoY),191.81%,201.50%,45.00%,-,-
2,Cost of Revenue,783.62,841.25,232.94,185.45,133.25
3,Gross Profit,55.64,63.18,54.67,114.53,65.1
4,"Selling, General & Admin",15.67,14.86,15.55,24.11,13.16
5,Other Operating Expenses,-6.25,-5.4,-3.72,-5.49,-2.3
6,Operating Expenses,46.33,56.76,30.3,26.62,27.19
7,Operating Income,9.31,6.42,24.36,87.91,37.91
8,Interest Expense,-1.76,-2.04,-0.94,-4.56,-5.86
9,Interest & Investment Income,0.4,1.02,0.4,0.58,0.88
10,Currency Exchange Gain (Loss),0.19,1.7,-1.06,-3.69,-3.36
11,Other Non Operating Income (Expenses),-,-0.49,0.49,-13.1,-5.24
12,EBT Excluding Unusual Items,8.14,6.61,23.26,67.13,24.34
13,Gain (Loss) on Sale of Investments,-,0.15,-,-1.27,0.76
14,Gain (Loss) on Sale of Assets,0.09,-0,-,-,-
15,Other Unusual Items,-,-,-,-0.23,-
16,Pretax Income,8.23,6.76,23.26,65.63,25.1
17,Income Tax Expense,1.06,-5.82,2.78,17.42,5.62
18,Earnings From Continuing Operations,7.17,12.58,20.48,48.22,19.48
19,Minority Interest in Earnings,0.02,-0.01,0.02,0.01,0.01
20,Net Income,7.19,12.57,20.49,48.23,19.5
21,Net Income to Common,7.19,12.57,20.49,48.23,19.5
22,Net Income Growth,-64.92%,-73.93%,5.12%,-,-
23,Shares Outstanding (Basic),48,40,40,34,32
24,Shares Outstanding (Diluted),48,40,40,34,32
25,Shares Change (YoY),20.00%,16.38%,25.27%,-,-
26,EPS (Basic),0.15,0.31,0.51,1.40,0.61
27,EPS (Diluted),0.15,0.30,0.51,1.40,0.61
28,EPS Growth,-70.77%,-78.71%,-16.09%,-,-
29,Free Cash Flow,-115.15,-50.02,-168.8,61.73,20.42
30,Free Cash Flow Per Share,-2.40,-1.25,-4.22,1.80,0.64
31,Operating Margin,1.11%,0.71%,8.47%,29.31%,19.11%
32,Profit Margin,0.86%,1.39%,7.13%,16.08%,9.83%
33,Free Cash Flow Margin,-13.72%,-5.53%,-58.69%,20.58%,10.29%
34,EBITDA,11.97,9.11,32.2,86.8,44.35
35,D&A For EBITDA,2.66,2.69,7.84,-1.11,6.44
36,EBIT,9.31,6.42,24.36,87.91,37.91
