,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Operating Revenue,636.54,455.82,301.96,367.19,229.63,312.38,230.47,241.85
1,Other Revenue,-0.39,0.39,-,0.97,-0.3,0.3,-,0.74
2,Revenue,636.15,456.21,301.96,368.16,229.34,312.68,230.47,242.59
3,Revenue Growth (YoY),177.39%,45.90%,31.02%,51.76%,-,-,-,-
4,Cost of Revenue,496.77,371.04,240.44,295.03,160.65,202.05,144.52,165.38
5,Gross Profit,139.37,85.17,61.52,73.13,68.69,110.64,85.95,77.21
6,"Selling, General & Admin",29.25,25.45,18.96,36.42,18.5,24.25,18.72,22.59
7,Research & Development,15.06,14.78,10.91,17.74,9.89,13.52,10.72,16.97
8,Other Operating Expenses,3.21,2.32,1.54,16.75,1.57,2.41,-13.85,27.73
9,Operating Expenses,72.57,45.67,37.68,82.6,25.71,47.42,14.93,68.07
10,Operating Income,66.8,39.5,23.83,-9.47,42.98,63.22,71.03,9.14
11,Interest Expense,-0.37,-0.57,-0.16,-2.3,-0.83,-0.56,-0.61,-3.29
12,Interest & Investment Income,2.84,6.28,5.22,4.91,0.53,0.63,1.14,3.98
13,Currency Exchange Gain (Loss),0.36,-0.36,-,-0.11,0.05,-0.05,-,-0.35
14,Other Non Operating Income (Expenses),-0.82,0.4,-0.64,-0.27,-0.49,-0.07,-0.59,-1.05
15,EBT Excluding Unusual Items,68.81,45.25,28.24,-7.25,42.24,63.16,70.97,8.44
16,Gain (Loss) on Sale of Investments,3,2.96,3.61,1.83,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.21,-0.65,-0.04,-0.29,0.12,-0.13,-,-0.24
18,Asset Writedown,-2.15,-0.73,0.73,-4.52,4.52,2.35,-2.35,6.36
19,Other Unusual Items,8.04,3.67,0.79,24.26,0.37,-0.37,-,32.81
20,Pretax Income,77.91,50.51,33.34,14.02,47.24,65.02,68.62,47.36
21,Income Tax Expense,11.86,4.81,5.07,2.36,5.19,8.12,12.26,3.29
22,Net Income,66.05,45.7,28.27,11.66,42.05,56.89,56.36,44.07
23,Net Income to Common,66.05,45.7,28.27,11.66,42.05,56.89,56.36,44.07
24,Net Income Growth,57.08%,-19.68%,-49.84%,-73.55%,-,-,-,-
25,Shares Outstanding (Basic),109,106,109,98,81,81,81,81
26,Shares Outstanding (Diluted),109,106,109,98,81,81,81,81
27,Shares Change (YoY),34.44%,30.01%,35.05%,20.52%,-,-,-,-
28,EPS (Basic),0.61,0.43,0.26,0.12,0.52,0.70,0.70,0.54
29,EPS (Diluted),0.61,0.43,0.26,0.12,0.52,0.70,0.70,0.54
30,EPS Growth,16.84%,-38.22%,-62.86%,-78.06%,-,-,-,-
31,Free Cash Flow,-151.15,44.77,-143.35,-22.61,76.91,-37.09,-73.78,151.68
32,Free Cash Flow Per Share,-1.39,0.42,-1.32,-0.23,0.95,-0.46,-0.92,1.86
33,Dividend Per Share,-,0.560,-,2.500,-,-,-,-
34,Gross Margin,21.91%,18.67%,20.37%,19.86%,29.95%,35.38%,37.29%,31.83%
35,Operating Margin,10.50%,8.66%,7.89%,-2.57%,18.74%,20.22%,30.82%,3.77%
36,Profit Margin,10.38%,10.02%,9.36%,3.17%,18.33%,18.20%,24.45%,18.17%
37,Free Cash Flow Margin,-23.76%,9.81%,-47.47%,-6.14%,33.54%,-11.86%,-32.01%,62.52%
38,EBITDA,70.18,42.79,27.21,-6.09,46.13,66.69,74.18,12.3
39,EBITDA Margin,11.03%,9.38%,9.01%,-1.65%,20.11%,21.33%,32.19%,5.07%
40,D&A For EBITDA,3.38,3.3,3.38,3.38,3.15,3.48,3.15,3.15
41,EBIT,66.8,39.5,23.83,-9.47,42.98,63.22,71.03,9.14
42,EBIT Margin,10.50%,8.66%,7.89%,-2.57%,18.74%,20.22%,30.82%,3.77%
43,Effective Tax Rate,15.23%,9.52%,15.21%,16.85%,11.00%,12.50%,17.87%,6.95%
44,Revenue as Reported,636.15,456.21,301.96,1141,229.34,312.68,230.47,1387
