,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2017,Q3 2017,Q2 2017,Q1 2017
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Cash & Equivalents,816.61,1218,1217,1005,1366,1216,1252,1221,1141,1124,-,192.77,-,235.6,235.6,78.34,78.34,40.47,40.47
1,Trading Asset Securities,496,196,196,246,-,0,3.05,3.03,3.02,3.01,-,-,-,3.02,3.02,-,-,-,-
2,Cash & Short-Term Investments,1313,1414,1413,1251,1366,1216,1255,1224,1144,1127,192.77,192.77,-,238.62,238.62,78.34,78.34,40.47,40.47
3,Cash Growth,-3.91%,16.27%,12.59%,2.24%,19.43%,7.91%,551.07%,534.91%,-,372.20%,-19.22%,146.06%,-,489.57%,489.57%,-,-,-,-
4,Accounts Receivable,260.1,178.38,177.57,375.42,193.39,330.87,277.52,238.21,172.16,243.73,-,455.08,-,143.63,143.63,115.49,115.49,88.82,88.82
5,Other Receivables,8.15,9.94,8.72,11.48,14.33,14.35,9.76,11.7,13.35,12.62,-,9.53,-,4.74,4.74,2.99,2.99,1.98,1.98
6,Receivables,268.25,188.32,186.29,386.9,207.72,345.22,287.28,249.91,185.51,256.35,-,464.61,-,148.37,148.37,118.49,118.49,90.8,90.8
7,Inventory,358.12,375.69,347.29,411.78,402.03,501.27,471.66,594.14,523.36,615.11,-,792.83,-,472.45,472.45,218.58,218.58,182.18,182.18
8,Other Current Assets,6.22,4.61,9.02,3.36,12.01,11.98,10.98,10.08,8.33,12.14,-,11.59,-,4.43,4.43,2.3,2.3,4.21,4.21
9,Total Current Assets,1945,1982,1956,2053,1988,2074,2025,2078,1861,2010,-,1462,-,863.87,863.87,417.71,417.71,317.67,317.67
10,"Property, Plant & Equipment",272.94,282.22,298.15,275.69,285.66,301.75,313.53,285.17,214.27,189.92,-,193.75,-,142.02,142.02,37.76,37.76,28.19,28.19
11,Other Intangible Assets,4.48,4.69,4.29,4.33,4.52,5.05,5.24,5.09,5.28,3.89,-,4.19,-,3.41,3.41,2.98,2.98,2.72,2.72
12,Long-Term Deferred Tax Assets,7.12,6.37,7.1,7.45,5.95,7.03,4.13,5.05,4.75,4.73,-,6.04,-,3.43,3.43,1.14,1.14,0.92,0.92
13,Long-Term Deferred Charges,5.74,6.83,7.92,9.01,9.49,10.46,11.15,8.31,0.25,-,-,-,-,-,-,1.71,1.71,1.69,1.69
14,Other Long-Term Assets,23.52,4.66,3.65,11.6,4.42,4.81,4.6,5.48,20.09,44.64,-,10.67,-,12.15,12.15,1.32,1.32,1.74,1.74
15,Total Assets,2259,2287,2277,2361,2298,2403,2364,2387,2106,2254,-,1676,-,1025,1025,462.62,462.62,352.93,352.93
16,Accounts Payable,383.65,427.62,379.41,499.44,397.84,484.05,449.33,525.77,462.9,651.19,-,979.33,-,495.74,495.74,279.13,279.13,194.38,194.38
17,Accrued Expenses,22.91,31.41,19.74,34.26,19.59,40.5,14.24,32.45,19.83,25.31,-,34.58,-,20.69,20.69,7.66,7.66,5.02,5.02
18,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,49.5,-,15,15,-,-,-,-
19,Current Portion of Leases,20.06,25.44,36.55,36.31,41.1,42.48,45.46,30.89,36.47,46.75,-,50.33,-,38.97,38.97,-,-,-,-
20,Current Income Taxes Payable,6.39,1.03,1.9,0.03,1.94,6.12,13.43,1.05,8.06,4.83,-,5.28,-,4.17,4.17,2.51,2.51,2.41,2.41
21,Current Unearned Revenue,0.32,0,0.41,0.37,0.17,0.22,0.46,0.31,2.56,0.88,-,0.03,-,1.3,1.3,-,-,-,-
22,Other Current Liabilities,29.55,29.9,33.4,36.46,100.28,109.64,97.72,122.93,1.57,0.17,-,9.53,-,0.22,0.22,0.78,0.78,0.14,0.14
23,Total Current Liabilities,462.88,515.41,471.41,606.86,560.92,683.01,620.65,713.41,531.39,729.14,-,1129,-,576.09,576.09,290.08,290.08,201.95,201.95
24,Long-Term Leases,69.85,73.04,77.98,62.46,70.95,84.37,95.06,79.81,18.61,22.74,-,31.03,-,31.53,31.53,-,-,-,-
25,Long-Term Unearned Revenue,21.86,22.05,23.2,21.94,18.37,19.25,13.41,14.07,14.73,13.17,-,14.32,-,9.83,9.83,-,-,-,-
26,Total Liabilities,554.59,610.5,572.58,691.25,650.24,786.62,729.12,807.29,564.73,765.05,-,1174,-,617.45,617.45,290.08,290.08,201.95,201.95
27,Common Stock,69.34,69.34,69.34,69.34,69.34,69.34,53.34,53.34,53.34,53.34,-,40,-,40,40,40,40,40,40
28,Additional Paid-In Capital,909.91,909.91,909.91,909.91,909.91,909.91,925.91,925.91,925.91,925.91,-,57.87,-,57.87,57.87,57.87,57.87,57.87,57.87
29,Retained Earnings,726.61,698.55,725.78,691.58,668.69,637.73,655.23,600.55,561.72,509.22,-,404.63,-,309.55,309.55,74.66,74.66,53.11,53.11
30,Total Common Equity,1706,1678,1705,1671,1648,1617,1634,1580,1541,1488,502.5,502.5,-,407.42,407.42,172.53,172.53,150.98,150.98
31,Minority Interest,-1.46,-1.23,-0.85,-0.66,-0.31,-0.18,-0,-,-,-,-,-,-,-,-,-,-,-,-
32,Shareholders' Equity,1704,1677,1704,1670,1648,1617,1634,1580,1541,1488,502.5,502.5,-,407.42,407.42,172.53,172.53,150.98,150.98
33,Total Liabilities & Equity,2259,2287,2277,2361,2298,2403,2364,2387,2106,2254,-,1676,-,1025,1025,462.62,462.62,352.93,352.93
34,Total Debt,89.91,98.48,114.52,98.76,112.05,126.84,140.52,110.71,55.08,69.49,130.87,130.87,-,85.5,85.5,-,-,-,-
35,Net Cash (Debt),1223,1315,1299,1153,1254,1089,1115,1113,1089,1057,61.9,61.9,-,153.12,153.12,78.34,78.34,40.47,40.47
36,Net Cash Growth,-2.50%,20.77%,16.51%,3.54%,15.18%,3.00%,1700.50%,1698.34%,-,590.48%,-59.57%,-20.99%,-,278.32%,278.32%,-,-,-,-
37,Net Cash Per Share,17.82,19.07,18.61,16.61,17.90,15.75,16.14,16.14,15.67,18.37,1.19,1.18,-,2.94,2.94,1.51,1.51,0.78,0.78
38,Filing Date Shares Outstanding,69.34,69.34,69.34,69.34,69.34,69.34,69.34,69.34,69.34,69.34,52.11,52,51.53,52,52,52,52,52,52
39,Total Common Shares Outstanding,69.34,69.34,69.34,69.34,69.34,69.34,69.34,69.34,69.34,69.34,52.11,52,51.53,52,52,52,52,52,52
40,Working Capital,1482,1467,1484,1446,1427,1391,1404,1365,1330,1281,-,333.21,-,287.78,287.78,127.62,127.62,115.71,115.71
41,Book Value Per Share,24.60,24.20,24.59,24.10,23.77,23.32,23.57,22.78,22.22,21.47,9.66,9.66,-,7.84,7.84,3.32,3.32,2.90,2.90
42,Tangible Book Value,1701,1673,1701,1667,1643,1612,1629,1575,1536,1485,498.31,498.31,-,404.02,404.02,169.56,169.56,148.25,148.25
43,Tangible Book Value Per Share,24.54,24.13,24.53,24.03,23.70,23.25,23.50,22.71,22.15,21.41,9.58,9.58,-,7.77,7.77,3.26,3.26,2.85,2.85
44,Machinery,-,303.57,-,295.71,-,284.41,-,279.22,-,224.3,-,219.29,-,148.7,148.7,56.7,56.7,44.85,44.85
