,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Market Capitalization,7696,8291,7749,7313,8159,7961,8291,7511,6837,6586,9177,9601,-,-,-,-,-,-
1,Market Cap Growth,4.15%,4.15%,-6.54%,-2.64%,19.34%,20.88%,-9.65%,-21.76%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7133,7702,7201,6658,7505,7218,7624,6794,6119,5863,7978,9617,-,-,-,-,-,-
3,Last Close Price,5.82,6.25,5.84,5.43,6.06,5.91,6.16,5.53,5.03,4.85,6.75,7.04,-,-,-,-,-,-
4,PE Ratio,52.90,54.33,47.64,46.61,49.46,49.41,51.72,48.63,48.06,50.73,82.42,92.31,-,-,-,-,-,-
5,PS Ratio,21.91,22.50,21.34,20.72,22.87,22.70,23.84,22.34,21.05,20.80,30.37,31.92,-,-,-,-,-,-
6,PB Ratio,2.72,2.93,2.77,2.57,2.89,2.87,3.04,2.72,2.51,2.45,3.47,3.65,-,-,-,-,-,-
7,P/TBV Ratio,3.63,3.63,3.45,3.19,3.60,3.56,3.80,3.40,3.15,3.09,4.41,4.49,-,-,-,-,-,-
8,P/OCF Ratio,34.83,34.83,35.89,32.18,36.30,55.82,49.54,67.27,58.55,53.30,-,61.19,-,-,-,-,-,-
9,EV/Sales Ratio,19.35,20.90,19.83,18.86,21.04,20.58,21.92,20.20,18.84,18.52,26.40,31.98,-,-,-,-,-,-
10,EV/EBITDA Ratio,33.59,35.19,31.08,29.48,31.91,32.33,34.87,32.76,30.83,30.42,43.27,51.17,-,-,-,-,-,-
11,EV/EBIT Ratio,48.53,50.55,43.64,41.80,44.57,46.18,49.98,47.67,45.51,45.25,65.78,76.20,-,-,-,-,-,-
12,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,-,-,0.00,0.01,0.09,0.11,0.01,0.18,0.18,-
13,Debt / EBITDA Ratio,0.00,0.00,0.00,0.00,0.00,-,0.01,0.01,-,-,0.00,0.26,0.81,0.76,0.09,1.48,1.66,-
14,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,1.94,6.36,0.76,11.83,12.28,-
15,Asset Turnover,0.12,0.12,0.08,0.11,0.12,0.12,0.09,0.11,0.12,0.11,0.09,0.16,0.16,-,-,-,-,
16,Inventory Turnover,88.50,102.06,-,-,96.91,59.49,82.86,73.14,112.48,90.79,83.43,79.45,122.83,92.19,-,-,-,-
17,Quick Ratio,2.84,2.84,2.66,2.32,3.09,3.23,3.55,4.46,9.39,5.38,6.03,7.97,0.95,1.02,0.92,-,1.07,-
18,Current Ratio,2.99,2.99,2.81,3.06,3.14,4.05,4.31,6.54,9.49,7.67,8.63,8.02,0.98,1.06,0.95,-,1.10,-
19,Return on Equity (ROE),5.24%,7.16%,3.30%,6.00%,6.80%,6.51%,4.59%,5.63%,6.91%,5.89%,3.79%,7.26%,7.95%,9.28%,5.51%,-,-,
20,Return on Assets (ROA),2.68%,3.85%,1.53%,3.14%,3.73%,3.62%,2.38%,2.43%,3.66%,3.01%,2.18%,3.19%,4.66%,-,-,-,-,
21,Return on Capital (ROIC),3.23%,4.66%,1.85%,3.78%,4.45%,4.27%,2.74%,2.80%,4.24%,3.47%,2.60%,4.07%,6.24%,7.03%,4.10%,-,-,
22,Return on Capital Employed (ROCE),4.72%,4.89%,5.36%,5.09%,5.42%,5.14%,5.09%,4.71%,4.49%,4.38%,4.17%,4.35%,7.65%,7.51%,8.04%,-,4.40%,-
23,Earnings Yield,1.98%,1.84%,2.10%,2.15%,2.02%,2.02%,1.93%,2.06%,2.08%,1.97%,1.21%,1.08%,-,-,-,-,-,-
24,FCF Yield,-2.67%,-2.48%,-3.51%,-3.29%,-2.08%,-2.33%,-1.24%,-1.92%,-1.99%,-0.90%,-0.39%,0.49%,-,-,-,-,-,-
25,Dividend Yield,0.85%,-,1.73%,-,1.25%,-,-,-,1.07%,-,-,-,-,-,-,-,-,-
26,Payout Ratio,65.84%,-,199.18%,-,-,0.04%,159.78%,-,0.07%,-,78.44%,6.35%,5.42%,5.78%,40.20%,12.40%,14.37%,4.44%
27,Buyback Yield / Dilution,4.37%,-8.08%,5.33%,0.83%,17.82%,-36.07%,6.25%,-29.27%,-39.41%,-26.13%,-27.61%,-4.55%,-13.54%,20.72%,-,-,-,-
28,Total Shareholder Return,5.21%,-8.08%,7.06%,0.83%,19.07%,-36.07%,6.25%,-29.27%,-38.34%,-26.13%,-27.61%,-4.55%,-13.54%,20.72%,-,-,-,-
