,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Cash & Equivalents,207.24,127.22,136.48,155.29,152.58,181.58,186.54,162.02,575.54,199.89,1239,165.4,143.85,134.86,-,264.9,-
1,Short-Term Investments,-,-,-,203.33,-,-,-,376.85,-,-,-,-,-,0.26,-,-,-
2,Trading Asset Securities,356.97,462.78,412.71,492.4,502.04,562.5,482.4,532.61,142.09,522.87,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,564.2,589.99,549.19,851.02,654.62,744.09,668.94,1071,717.63,722.76,1239,165.4,143.85,135.11,264.9,264.9,-
4,Cash Growth,-13.81%,-20.71%,-17.90%,-20.58%,-8.78%,2.95%,-45.99%,547.80%,398.88%,434.92%,367.58%,-37.56%,-,-,-,-,-
5,Accounts Receivable,240.36,208.99,170.86,139.1,216.73,199.39,178.69,142,178.95,144.11,116.85,115.8,155.89,146.34,-,151.68,-
6,Other Receivables,-,-,-,-,-,9.54,-,-,-,3.37,-,1.12,-,-,-,1.94,-
7,Receivables,240.36,208.99,172.29,139.1,216.73,208.93,178.69,142,178.95,147.48,116.85,116.93,155.89,146.34,-,153.63,-
8,Inventory,1.05,1.28,-,1.23,1.53,1.38,1.25,1.37,1.15,1.27,1.15,1.13,1.03,0.94,-,0.72,-
9,Other Current Assets,43.15,42.95,227.03,15.58,220.17,204.98,392.97,11.92,379.57,374.99,7.33,7.87,11.97,8.57,-,9.4,-
10,Total Current Assets,848.76,843.2,948.52,1007,1093,1159,1242,1227,1277,1246,1364,291.32,312.74,290.97,-,428.64,-
11,"Property, Plant & Equipment",1910,1897,1850,1771,1584,1473,1351,1271,1218,1180,1145,1141,1110,1116,-,1126,-
12,Other Intangible Assets,546.37,549.76,553.16,556.57,544.32,547.56,549.81,552.96,555.96,559.1,493.63,496.44,499.22,487.61,-,237.05,-
13,Long-Term Deferred Tax Assets,72.48,71.86,70.74,69.89,64.76,67.2,66.01,65.39,67,66.16,65.64,65.06,65.04,64.32,-,29.3,-
14,Long-Term Deferred Charges,7.88,6.15,-,6.72,3.88,3.38,3.17,3.2,2.63,2.78,2.82,2.13,2.17,2.21,-,2.14,-
15,Other Long-Term Assets,11.56,11.43,19.63,17.94,21.46,14.68,3.08,2.52,0.66,0.26,2.66,0.06,0.46,14.31,-,77.97,-
16,Total Assets,3397,3379,3442,3429,3312,3266,3214,3122,3122,3055,3073,1996,1990,1976,-,1901,-
17,Accounts Payable,221.62,243.18,264.37,278.52,228.38,207.02,142.39,86.43,119.14,106.85,71.68,76.6,90.43,103.71,-,121.27,-
18,Accrued Expenses,10.45,10.41,6.73,8.79,8.43,8.87,5.54,7.48,7.76,8.18,1.97,22.41,9.85,4.81,-,9.44,-
19,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,5.48,100.13,100.12,-,-,200.27,-
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,33.52,33.39,40,-,-,-,-
21,Current Portion of Leases,0.45,0.45,0.45,0.89,-,0.89,-,-,-,0.14,-,0.14,0.13,-,-,-,-
22,Current Income Taxes Payable,11.2,10.58,9.19,8.96,10.2,9.6,11.77,8.48,11.69,7.12,43.34,43.18,43.09,46.38,-,8.83,-
23,Current Unearned Revenue,35.63,30.43,24.59,17.56,16.62,37.16,25.19,21.19,22.76,16.66,13.86,14.14,7.18,7.15,-,6.52,-
24,Other Current Liabilities,4.18,5.07,5.04,5.76,6.01,5.28,5.08,5.67,5.28,5.47,0.18,6.36,4.46,145.52,-,43.51,-
25,Total Current Liabilities,283.53,300.11,310.37,320.48,269.65,268.83,189.97,129.26,166.63,144.42,170.02,296.33,295.26,307.57,-,389.85,-
26,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,20,20,-,40,-
27,Long-Term Leases,-,-,-,-,-,0.43,1.31,-,-,-,-,-,-,0.13,-,-,-
28,Long-Term Unearned Revenue,283.03,285.53,287.61,288.36,263.62,264.89,265.23,265.77,267.03,268.28,269.53,270.78,271.44,272.81,-,134.69,-
29,Long-Term Deferred Tax Liabilities,0.13,0.13,0.13,0.13,0.2,0.2,-,0.01,-,-,-,-,-,-,-,-,-
30,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-
31,Total Liabilities,566.7,585.78,598.11,608.97,533.46,534.35,456.51,395.04,433.66,412.7,439.55,567.11,586.7,600.51,-,564.54,-
32,Common Stock,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,991.8,991.8,991.8,-,991.8,-
