,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Operating Revenue,109.82,95.81,67.75,74.21,105.09,84.98,71.5,62.03,106.68,68.91,59.96,80.99,87.66,72.15,56.99,64.56,81.57
1,Other Revenue,-7.96,7.96,-,20.96,-8.72,8.72,-,27.13,-13.25,13.25,-,-,-8.62,8.62,-,4.58,4.69
2,Revenue,101.86,103.77,67.75,95.17,96.37,93.7,71.5,89.16,93.43,82.16,59.96,80.99,79.04,80.77,56.99,69.13,86.26
3,Revenue Growth (YoY),5.70%,10.75%,-5.24%,6.74%,3.14%,14.04%,19.25%,10.10%,18.21%,1.72%,5.21%,17.14%,-8.37%,-,-,-,-
4,Cost of Revenue,29.73,27.99,22.97,33.4,21.64,27.28,23.98,35.46,27.48,25.26,22.6,33.14,22.73,22.05,19.18,24.99,23.12
5,Gross Profit,72.13,75.78,44.77,61.77,74.73,66.42,47.51,53.7,65.95,56.9,37.35,47.84,56.31,58.72,37.8,44.15,63.14
6,"Selling, General & Admin",29.08,16.53,17.21,11.41,20.21,15.04,13.84,9.28,16.71,17.35,14.16,8.65,15.64,14.51,10.48,13.23,17.74
7,Research & Development,3.62,3.84,3.61,4.24,3.21,3.83,2.61,3.11,3.54,2.45,2.16,5.37,2.63,2.81,2.26,4.93,1.41
8,Other Operating Expenses,2.89,2.8,2.81,3.16,2.31,0.62,1.03,11.06,0.5,0.26,-1.36,8.65,1,0.15,-0.87,4.83,0.32
9,Operating Expenses,35.74,23.2,23.77,19.39,25.72,19.55,17.4,23.39,20.7,20.06,15.3,22.41,19.36,16.96,11.95,21.56,19.18
10,Operating Income,36.39,52.58,21.01,42.38,49.01,46.88,30.11,30.32,45.24,36.85,22.05,25.44,36.95,41.77,25.86,22.59,43.96
