,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,451.8,526.19,774.46,1314,180.86,494.28,-
1,Short-Term Investments,942.82,1599,1812,1031,500.36,777.57,-
2,Trading Asset Securities,123.59,122.82,205.79,382.44,1563,802.1,-
3,Cash & Short-Term Investments,1518,2248,2792,2728,2244,2074,-
4,Cash Growth,-45.63%,-17.61%,24.42%,31.54%,-,-,-
5,Accounts Receivable,54.96,51.62,34.51,66.43,54.33,56.12,-
6,Other Receivables,199.08,97.11,77.5,120.27,113.59,161.5,-
7,Receivables,254.24,148.92,112.01,186.9,168.12,218.02,-
8,Inventory,514.96,445.42,451.09,634.6,554.05,642.06,-
9,Prepaid Expenses,25.49,28.11,22.99,6.62,30.23,42.28,-
10,Restricted Cash,-,0.17,-,-,165,0.29,-
11,Other Current Assets,13.68,4.43,4.28,0.92,12.62,9.67,-
12,Total Current Assets,2327,2875,3383,3557,3174,2986,-
13,"Property, Plant & Equipment",1559,1562,1665,1661,1656,1146,-
14,Long-Term Investments,3389,2570,2130,1604,984.59,954.34,-
15,Goodwill,4.27,-,-,-,-,-,-
16,Other Intangible Assets,16.69,19.98,20.44,21.45,13.36,9.74,-
17,Long-Term Deferred Tax Assets,21.94,22.68,35.26,68.83,65.31,42.19,-
18,Other Long-Term Assets,7.49,4.34,14.19,17.73,26.35,52.4,-
19,Total Assets,7325,7054,7248,6930,5919,5191,-
20,Accounts Payable,186.28,164.73,101.4,187.25,100.58,197.89,-
21,Accrued Expenses,337.95,330.31,278.75,324.65,257.24,269.47,-
22,Current Portion of Long-Term Debt,2.95,1.98,1.89,0.12,681.87,396.11,-
23,Current Portion of Leases,4.85,3.69,4.77,3.34,5.74,7.55,-
24,Current Income Taxes Payable,60.54,33.26,44.04,81.8,72.94,77.42,-
25,Current Unearned Revenue,179.03,206.34,151.75,225.26,145.57,180.58,-
26,Other Current Liabilities,198.08,167.71,705.95,177.83,148.74,126.5,-
27,Total Current Liabilities,969.68,908.02,1289,1000,1413,1256,-
28,Long-Term Debt,176.17,178.96,172.41,161.18,137.3,64,-
29,Long-Term Leases,7.61,8.93,9.66,1.97,4.05,7.17,-
30,Long-Term Unearned Revenue,155.86,158.41,195.32,196.03,196.61,160.32,-
31,Long-Term Deferred Tax Liabilities,131.3,93.36,56.14,46.5,32.68,33.66,-
32,Total Liabilities,1441,1348,1722,1406,1783,1521,-
33,Common Stock,0.16,0.16,0.16,0.16,0.15,0.14,-
34,Additional Paid-In Capital,-,1283,-,2115,1238,1238,-
35,Retained Earnings,3647,3456,2745,2575,2163,2424,-
36,Comprehensive Income & Other,2237,966.83,2780,834.13,734.3,7.32,-
37,Shareholders' Equity,5884,5706,5525,5524,4136,3670,-
38,Total Liabilities & Equity,7325,7054,7248,6930,5919,5191,-
39,Total Debt,191.58,193.56,188.73,166.6,828.96,474.83,-
40,Net Cash (Debt),1327,2054,2604,2562,1415,1599,-
41,Net Cash Growth,-49.05%,-19.81%,83.97%,60.19%,-,-,-
42,Net Cash Per Share,0.57,0.89,1.13,1.12,0.69,0.78,-
43,Filing Date Shares Outstanding,2351,2351,2351,2351,2351,2093,2021
44,Total Common Shares Outstanding,2351,2351,2351,2351,2255,2093,2021
45,Working Capital,1357,1967,2094,2557,1762,1731,-
46,Book Value Per Share,2.50,2.43,2.35,2.35,1.83,1.75,-
47,Tangible Book Value,5863,5686,5505,5503,4123,3660,-
48,Tangible Book Value Per Share,2.49,2.42,2.34,2.34,1.83,1.75,-
49,Buildings,-,648.76,-,609.9,435.68,423.14,-
50,Machinery,-,735.2,-,664.7,587.72,523.6,-
51,Construction In Progress,-,84.29,-,148.64,647.55,216.47,-
