,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,27696,12931,16693,18433,24828,-,-,-
1,Market Cap Growth,-29.85%,-29.85%,-32.77%,-,-,-,-,-
2,Enterprise Value,26271,10668,13880,15537,23170,-,-,-
3,Last Close Price,11.78,5.35,6.65,7.21,9.40,-,-,-
4,PE Ratio,24.03,11.41,17.21,19.85,145.16,-,-,-
5,Forward PE,23.24,11.77,13.72,16.01,26.03,-,-,-
6,PS Ratio,4.62,2.19,3.11,3.63,4.74,-,-,-
7,PB Ratio,4.38,2.05,2.66,3.09,3.98,-,-,-
8,P/TBV Ratio,2.05,2.05,2.66,3.10,3.99,-,-,-
9,P/FCF Ratio,20.62,9.63,14.65,12.08,24.02,-,-,-
10,P/OCF Ratio,8.68,8.68,13.11,13.60,18.26,-,-,-
11,EV/Sales Ratio,4.46,1.81,2.59,3.06,4.42,-,-,-
12,EV/EBITDA Ratio,16.53,6.85,10.55,12.36,45.90,-,-,-
13,EV/EBIT Ratio,18.31,7.50,11.60,13.81,63.05,-,-,-
14,EV/FCF Ratio,19.56,7.94,12.18,10.18,22.41,-,-,-
15,Debt / Equity Ratio,0.03,0.03,0.03,0.03,0.03,0.20,0.13,-
16,Debt / FCF Ratio,0.15,0.15,0.19,0.13,0.18,-,0.93,-
17,Return on Capital Employed (ROCE),21.02%,20.83%,17.68%,17.48%,5.48%,-,26.88%,-
18,Earnings Yield,4.09%,8.76%,5.81%,5.04%,0.69%,-,-,-
19,FCF Yield,4.85%,10.39%,6.83%,8.28%,4.16%,-,-,-
20,Dividend Yield,2.89%,5.22%,3.64%,1.80%,-,-,-,-
21,Buyback Yield / Dilution,-0.71%,-0.05%,-1.39%,-12.81%,-11.44%,-1.51%,-,-
22,Total Shareholder Return,2.18%,5.17%,2.26%,-11.02%,-11.44%,-1.51%,-,-
