,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,2939,2544,2327,2372,2261,2497,2303
1,Revenue Growth (YoY),26.27%,7.28%,2.95%,-5.03%,-1.84%,-,-
2,Cost of Revenue,1476,1328,1221,1274,1399,1577,1431
3,Gross Profit,1462,1216,1106,1098,861.55,920.85,872.18
4,"Selling, General & Admin",717.76,679.26,586.38,624.8,490.19,476.67,403.06
5,Other Operating Expenses,-42,0.05,-29.53,-18.85,-90.41,-150.93,6.39
6,Operating Expenses,675.76,679.31,556.85,605.95,1029,325.74,409.45
7,Operating Income,786.53,537.17,549.35,492.11,-167.05,595.11,462.73
8,Interest Expense,-8.5,-14.86,-6.67,-5.41,-7.97,-3.57,-1.97
9,Interest & Investment Income,96.18,104.06,93.03,39.36,31.7,16.92,7.87
10,Currency Exchange Gain (Loss),-2.04,-8.91,4.99,7.95,-,3.13,-9.28
11,EBT Excluding Unusual Items,872.16,617.47,640.7,534.01,-143.31,611.59,459.35
12,Gain (Loss) on Sale of Investments,-0.08,19.38,7.96,30.89,-,14.18,13.24
13,Gain (Loss) on Sale of Assets,0.48,-0.25,-0.11,-2.19,-,-0.39,-1.26
14,Asset Writedown,-,-4.9,-0.98,-7.03,-,-,-0.08
15,Pretax Income,872.56,631.7,647.57,555.69,-143.31,625.38,471.26
16,Income Tax Expense,251.36,198.42,200.5,143.56,117.52,156.23,113.67
17,Net Income,621.2,433.28,447.07,412.13,-260.83,469.14,357.59
18,Net Income to Common,621.2,433.28,447.07,412.13,-260.83,469.14,357.59
19,Net Income Growth,38.95%,5.13%,-,-12.15%,-,-,-
20,Shares Outstanding (Basic),2312,2310,2310,2275,2051,2052,2021
21,Shares Outstanding (Diluted),2315,2319,2314,2287,2051,2052,2021
22,Shares Change (YoY),0.05%,1.39%,12.81%,11.44%,1.51%,-,-
23,EPS (Basic),0.27,0.19,0.19,0.18,-0.13,0.23,0.18
24,EPS (Diluted),0.27,0.19,0.19,0.18,-0.13,0.23,0.18
25,EPS Growth,41.38%,3.56%,-,-20.78%,-,-,-
26,Free Cash Flow,655.89,594.4,440.23,972.49,-58.03,218.19,293.65
27,Free Cash Flow Per Share,0.28,0.26,0.19,0.43,-0.03,0.11,0.15
28,Dividend Per Share,0.160,0.100,0.120,-,-,-,-
29,Dividend Growth,33.33%,-,-,-,-,-,-
30,Operating Margin,26.76%,21.11%,23.60%,20.75%,-7.39%,23.83%,20.09%
31,Profit Margin,21.14%,17.03%,19.21%,17.38%,-11.54%,18.79%,15.53%
32,Free Cash Flow Margin,22.32%,23.36%,18.92%,41.00%,-2.57%,8.74%,12.75%
33,EBITDA,869.09,580.45,613.98,549.3,-102.8,646.37,503.45
34,D&A For EBITDA,82.56,43.28,64.63,57.19,64.25,51.26,40.72
35,EBIT,786.53,537.17,549.35,492.11,-167.05,595.11,462.73
36,Advertising Expenses,120.26,-,89.88,-,36.93,-,34.73
