,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,+20 Quarters
,Period Ending,"Feb '25 Feb 27, 2025","Dec '24 Dec 30, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",+20 Quarters
0,Market Capitalization,47952,39960,58342,77922,40360,63936,107892,91708,147852,123876,94392,18900,14796,14580,12960,15012,14040,14364,14364,22680,12960,Upgrade
1,Market Cap Growth,-45.93%,-37.50%,-45.93%,-15.03%,-72.70%,-48.39%,14.30%,385.23%,899.27%,749.63%,628.33%,25.90%,5.38%,1.50%,-9.77%,-33.81%,8.33%,10.83%,10.83%,56.72%,2.56%,Upgrade
2,Enterprise Value,27217,25914,38107,77576,37083,63086,105219,87831,141505,112678,89597,13804,8632,6635,5015,6229,2621,2232,2528,9430,-950,Upgrade
3,Last Close Price,12000.00,10000.00,14600.00,19500.00,20200.00,20610.88,34780.86,29563.73,47662.66,39933.58,30428.90,5902.63,4620.92,4553.46,4047.52,4688.37,3912.60,4002.89,4002.89,6320.35,3370.86,Upgrade
4,PE Ratio,-,5.44,108.82,-,43.12,31.68,-64.54,-101.29,-69.05,-,-31.59,-,-,-,-16.71,29.42,-,12.61,14.06,-,-,Upgrade
5,PS Ratio,12.69,2.76,5.67,6.37,2.21,2.63,4.99,3.48,7.54,8.99,8.60,5.72,2.98,2.94,1.39,1.45,1.36,1.42,1.22,2.07,1.06,Upgrade
6,PB Ratio,1.29,0.91,1.57,1.79,1.69,2.69,4.55,3.87,6.43,5.69,4.55,1.57,1.20,1.13,-,1.10,0.94,0.84,0.89,1.53,0.80,Upgrade
7,P/TBV Ratio,1.60,0.92,1.60,1.82,1.75,2.78,4.72,4.01,6.67,5.93,6.30,1.69,1.30,1.22,-,1.18,1.01,0.89,0.94,1.63,0.80,Upgrade
8,P/FCF Ratio,-,-,-,-18.35,-,-,-,19.38,-,14.56,62.88,-,-,-,-,-5.62,-,-,-15.07,-,-,Upgrade
9,P/OCF Ratio,-,-,-,-18.35,-,-,-,4.03,-,14.28,49.36,-,-,-,-16.94,62.35,-,-64.88,19.89,-,-,Upgrade
10,EV/Sales Ratio,4.57,1.79,3.70,6.34,2.03,2.60,4.87,3.33,7.22,8.18,8.16,4.18,1.74,1.34,0.54,0.60,0.25,0.22,0.21,0.86,-,Upgrade
11,EV/EBITDA Ratio,-,6.34,222.88,-,23.53,48.78,86.30,19.36,-,-,26.28,-,-,-,-,-,-,-,-,-,-,Upgrade
12,EV/EBIT Ratio,-,6.42,313.67,-,25.33,29.33,18.14,9.77,19.30,19.52,-140.60,-,-,-,-,-11.73,-,-9.50,-43.67,-,-,Upgrade
