,Fiscal Quarter,Q4 2024,Q4 2023
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Cash & Equivalents,17440.0,47606.0
1,Short-Term Investments,45000.0,24000.0
2,Cash & Short-Term Investments,62440.0,71606.0
3,Accounts Receivable,15655.0,20265.0
4,Other Receivables,8127.0,6332.0
5,Receivables,23782.0,26597.0
6,Inventory,14967.0,16718.0
7,Prepaid Expenses,215.62,145.84
8,Other Current Assets,1583.0,904.67
9,Total Current Assets,102987.0,115972.0
10,"Property, Plant & Equipment",17308.0,15697.0
11,Other Intangible Assets,4.17,12.5
12,Other Long-Term Assets,2087.0,2008.0
13,Total Assets,122386.0,133689.0
14,Accounts Payable,9835.0,10587.0
15,Accrued Expenses,17467.0,28258.0
16,Short-Term Debt,6094.0,7520.0
17,Current Income Taxes Payable,879.78,393.68
18,Other Current Liabilities,2996.0,1429.0
19,Total Current Liabilities,37271.0,48186.0
20,Total Liabilities,37271.0,48186.0
21,Common Stock,43031.0,43031.0
22,Additional Paid-In Capital,8292.0,8292.0
23,Retained Earnings,25533.0,25921.0
24,Treasury Stock,-4001.0,-4001.0
25,Comprehensive Income & Other,12261.0,12261.0
26,Shareholders' Equity,85115.0,85503.0
27,Total Liabilities & Equity,122386.0,133689.0
28,Total Debt,6094.0,7520.0
29,Net Cash (Debt),56346.0,64087.0
30,Net Cash Per Share,13829.7,15694.33
31,Filing Date Shares Outstanding,4.07,4.08
32,Total Common Shares Outstanding,4.07,4.08
33,Working Capital,65716.0,67786.0
34,Book Value Per Share,20891.01,20938.97
35,Tangible Book Value,85111.0,85490.0
36,Tangible Book Value Per Share,20889.98,20935.91
37,Buildings,23838.0,23838.0
38,Machinery,34863.0,34046.0
39,Construction In Progress,1025.0,1025.0
