,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,388,530,511,560,1015,1695,2849,6565,7156,9559,4407
1,Market Cap Growth,-5.26%,-5.26%,-49.69%,-66.97%,-64.36%,-74.17%,-60.19%,-31.33%,62.38%,-,-
2,Enterprise Value,-518,-349,-231,-204,422,856,1899,5306,6115,8496,5825
3,Last Close Price,0.40,0.54,0.50,0.55,0.94,1.57,2.56,5.89,6.32,9.16,4.21
4,PE Ratio,4.37,5.98,-2.30,-,-,7.78,7.53,18.10,25.90,63.01,40.90
5,Forward PE,-,4.20,3.08,3.15,5.02,3.17,4.28,12.12,16.57,25.36,-
6,PS Ratio,0.15,0.21,0.19,0.21,0.34,0.50,0.85,2.46,3.43,6.56,3.64
7,PB Ratio,0.26,0.33,0.32,0.36,0.53,0.75,1.20,3.06,3.42,9.06,4.38
8,P/TBV Ratio,0.45,0.45,0.43,0.52,1.02,1.44,2.20,6.37,4.55,10.49,4.95
9,P/FCF Ratio,2.21,3.02,3.66,2.48,14.50,-,69.43,119.37,87.60,5875.21,-
10,P/OCF Ratio,2.69,2.69,3.35,2.37,12.27,-,42.44,81.06,68.93,325.12,-
11,PEG Ratio,-,-,-,-,0.08,0.14,0.08,0.24,0.23,-,-
12,EV/Sales Ratio,-,-,-,-,0.14,0.25,0.57,1.99,2.93,5.83,4.82
13,EV/EBITDA Ratio,-,-,-,-,-,2.04,3.21,10.56,16.09,33.47,29.60
14,EV/EBIT Ratio,-,-,-,-,-,2.45,3.58,11.49,17.06,35.46,31.27
15,EV/FCF Ratio,-2.94,-,-,-,6.03,-,46.29,96.48,74.85,5221.70,-
16,Debt / Equity Ratio,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02
17,Debt / FCF Ratio,0.04,0.04,0.07,0.04,0.23,-,0.67,0.41,0.32,16.01,-
18,Return on Capital Employed (ROCE),7.00%,7.00%,10.98%,-8.73%,-,14.08%,20.41%,19.47%,16.79%,22.14%,18.16%
19,Earnings Yield,22.88%,16.73%,-43.51%,-94.27%,-23.79%,12.86%,13.27%,5.52%,3.86%,1.59%,2.44%
20,FCF Yield,45.32%,33.15%,27.33%,40.30%,6.90%,-7.59%,1.44%,0.84%,1.14%,0.02%,-22.16%
21,Buyback Yield / Dilution,-,-,-,-,-,-0.54%,-8.11%,-28.83%,-21.67%,-,
22,Total Shareholder Return,6.58%,-,-,-,-,-,-0.54%,-8.11%,-28.83%,-21.67%,-
