,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Cash & Equivalents,-,130.83,102.85,95.31,74.2,69.4,81.42,85.28,121.67,130.91,171.13,235.54,364.24,244.31,345.61,-,509.02,-
1,Trading Asset Securities,-,677.47,725.09,721.6,674,843.82,948.72,1115,1295,1471,1567,1656,1711,-,-,-,90.29,-
2,Cash & Short-Term Investments,808.3,808.3,827.93,816.91,748.2,913.21,1030,1200,1416,1602,1738,1892,2075,244.31,345.61,599.31,599.31,-
3,Cash Growth,8.03%,-11.49%,-19.63%,-31.92%,-47.18%,-43.00%,-40.73%,-36.57%,-31.74%,555.80%,402.92%,215.67%,246.26%,-,-,-,-,-
4,Accounts Receivable,-,80.92,93.7,44.13,48.04,45.8,-,-,-,-,-,-,7.55,3.73,3.28,-,6.9,-
5,Other Receivables,-,-,-,-,-,-,0.27,-,-,-,-,-,-,-,-,-,-,-
6,Receivables,-,80.92,93.99,44.13,48.04,45.8,0.27,-,-,-,-,-,7.55,3.73,3.28,-,6.9,-
7,Inventory,-,34.63,32.61,33.44,23.47,20.09,13.27,5.07,5.07,-,-,-,-,-,-,-,-,-
8,Other Current Assets,-,53.08,67.44,84.44,90.65,105.75,91.75,65.72,51.64,42.09,36.32,40.7,29.57,29.76,26.7,-,18.86,-
9,Total Current Assets,-,976.92,1022,978.93,910.36,1085,1135,1271,1473,1644,1774,1933,2112,277.81,375.59,-,625.07,-
10,"Property, Plant & Equipment",-,188.61,152.28,101.17,102.26,104.79,115.18,104,103.66,107.96,100.1,101.69,104.48,101.9,98.42,-,15.19,-
11,Other Intangible Assets,-,437.86,446.29,454.19,461.98,469.54,475.54,483.68,492.02,451.66,507.5,466.98,474.9,482.37,490.38,-,506.25,-
12,Long-Term Deferred Charges,-,10.69,12.84,15.1,16.99,10.78,8.08,7.48,7.99,8.91,6.92,4.98,4.54,2.55,3.02,-,3.53,-
13,Other Long-Term Assets,-,28.43,11.58,2.85,4.79,3.39,5.01,7.17,5.06,54.81,11.98,57.87,49.51,50.89,41.33,-,31.98,-
14,Total Assets,-,1643,1645,1552,1496,1673,1739,1873,2082,2268,2401,2564,2746,915.51,1009,-,1182,-
15,Accounts Payable,-,127.23,27.77,159.54,20.22,194.97,12.17,155.51,8.81,159.84,1.99,152.52,1.65,2.29,2.7,-,1.06,-
16,Accrued Expenses,-,75.86,230.66,36.7,177.08,62.93,188.97,24.67,208.53,34.41,180.51,13.91,182.75,163.5,108.92,-,94.26,-
17,Short-Term Debt,-,235.18,203.08,264.55,200.11,199.92,79.65,-,-,-,-,-,-,-,-,-,-,-
18,Current Portion of Long-Term Debt,-,-,0.33,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-
19,Current Portion of Leases,-,44.61,19.99,19.06,22.95,24.21,23.09,21.15,21.34,19.3,18.12,18.64,16.84,15.87,13.22,-,-,-
20,Current Income Taxes Payable,-,7.43,-,11.48,0.05,4.93,0.03,9.85,0,3.13,0.01,9.53,-,0.04,0.02,-,0.01,-
21,Current Unearned Revenue,-,2.67,1.92,1.54,0.98,-,-,-,-,-,-,-,-,-,-,-,-,-
22,Other Current Liabilities,-,73.93,62.33,51.83,26.93,39.85,14.87,24.89,9.82,12.63,8.31,18.88,10.76,5.87,4.11,-,7.79,-
23,Total Current Liabilities,-,566.9,546.08,544.71,448.44,526.8,318.78,236.07,248.49,229.31,208.93,213.48,211.99,187.56,128.97,-,103.11,-
24,Long-Term Debt,-,584.4,423.67,256.87,138.31,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Long-Term Leases,-,39.76,39.15,42.67,48.89,49.84,59.31,55.26,63.93,71.1,64.23,64.53,70.92,74.21,71.75,-,-,-
26,Long-Term Unearned Revenue,-,14.2,14.56,11.39,12.11,14.43,14.57,11,11,-,-,-,-,-,-,-,-,-
