,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Market Capitalization,18915,17237,18214,15313,18700,19530,14481,14163,17293,16030,13176,10808,11467,14959,-,-,-,-,-
1,Market Cap Growth,-11.74%,-11.74%,25.78%,8.12%,8.14%,21.84%,9.90%,31.04%,50.81%,7.16%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,19020,17342,18085,15079,18061,18891,13613,13039,15962,14518,11521,8999,9479,14805,-,-,-,-,-
3,Last Close Price,45.29,41.47,43.82,36.84,44.99,47.85,35.48,34.70,42.37,39.37,32.60,26.74,28.37,37.01,-,-,-,-,-
4,PS Ratio,52.01,47.83,46.75,51.94,108.34,213.94,361.11,-,-,-,-,-,-,1454.37,-,-,-,-,-
5,PB Ratio,43.94,39.42,41.66,24.64,26.85,23.01,13.38,10.52,11.01,9.12,6.70,5.08,5.02,6.07,-,-,-,-,-
6,P/TBV Ratio,-,-,-,94.07,77.14,50.51,23.63,16.26,15.91,12.66,8.69,6.67,6.30,7.52,-,-,-,-,-
7,EV/Sales Ratio,52.77,48.12,46.41,51.14,104.64,206.93,339.46,-,-,-,-,-,-,1439.37,-,-,-,-,-
8,Debt / Equity Ratio,2.07,2.07,2.07,1.10,0.84,0.48,0.25,0.12,0.05,0.05,0.05,0.04,0.04,0.04,0.14,0.11,-,-,-
9,Asset Turnover,-,0.33,0.31,0.21,0.13,0.09,-,-,-,-,-,-,0.01,0.01,-,-,-,-,
10,Inventory Turnover,-,-,0.35,0.33,0.29,1.09,0.41,-,-,-,-,-,-,-,-,-,-,-,-
11,Quick Ratio,-,-,1.57,1.69,1.58,1.78,1.82,3.23,5.08,5.70,6.99,8.32,8.86,9.82,1.32,2.71,-,5.88,-
12,Current Ratio,-,-,1.72,1.87,1.80,2.03,2.06,3.56,5.38,5.93,7.17,8.49,9.05,9.96,1.48,2.91,-,6.06,-
13,Return on Equity (ROE),-189.48%,-164.23%,-126.28%,-116.09%,-115.50%,-103.65%,-75.34%,-57.56%,-48.51%,-32.27%,-29.57%,-30.61%,-52.23%,-91.84%,-69.16%,-50.22%,-,-,
14,Return on Assets (ROA),-,-28.51%,-36.67%,-36.77%,-48.80%,-46.60%,-39.03%,-31.08%,-27.44%,-19.24%,-18.31%,-18.12%,-28.76%,-43.67%,-,-,-,-,
15,Return on Capital (ROIC),-57.04%,-35.38%,-45.31%,-44.16%,-59.14%,-55.51%,-44.68%,-35.21%,-30.59%,-21.04%,-19.85%,-19.56%,-31.96%,-51.34%,-39.74%,-32.20%,-,-,
16,Earnings Yield,-4.53%,-4.97%,-4.60%,-6.13%,-5.84%,-5.67%,-7.28%,-6.39%,-4.59%,-4.59%,-5.42%,-6.63%,-6.25%,-4.48%,-,-,-,-,-
17,FCF Yield,-,-4.73%,-5.67%,-4.97%,-5.12%,-6.11%,-5.65%,-4.13%,-4.22%,-4.92%,-5.55%,-4.79%,-3.35%,-,-,-,-,-,
18,Buyback Yield / Dilution,-1.63%,-2.63%,-0.37%,-1.26%,-2.29%,-0.22%,-1.44%,-0.64%,-0.53%,-10.64%,-12.94%,-12.31%,-13.30%,-1.33%,0.88%,-,-,-,-
19,Total Shareholder Return,-1.63%,-2.63%,-0.37%,-1.26%,-2.29%,-0.22%,-1.44%,-0.64%,-0.53%,-10.64%,-12.94%,-12.31%,-13.30%,-1.33%,0.88%,-,-,-,-
