,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Operating Revenue,21.94,134.9,122.23,81.32,51.19,40.1,-,-,-,-,-,-,3.67,6.62,-,-,-23.06,7.48
1,Other Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-3.1,3.1,-,27.76,-
2,Revenue,21.94,134.9,122.23,81.32,51.19,40.1,-,-,-,-,-,-,3.67,3.52,3.1,-,4.7,7.48
3,Revenue Growth (YoY),-57.13%,236.39%,-,-,-,-,-,-,-,-,-,-,-22.02%,-52.92%,-,-,-,-
4,Cost of Revenue,-7.7,2.93,2.71,2.06,5.95,1.71,-,-,3.65,-,-,-,7.13,3.08,2.72,-,4.66,7.14
5,Gross Profit,29.64,131.97,119.52,79.26,45.24,38.39,-,-,-3.65,-,-,-,-3.46,0.44,0.38,-,0.04,0.34
6,"Selling, General & Admin",-438.93,163.25,148.47,127.21,123.67,120.86,99.38,93.64,50.79,30.02,23.18,24.46,29.67,18.52,19.75,20.01,20.17,298.7
7,Research & Development,-567.73,184.96,178,204.77,222.19,235.53,186.82,156.61,180.21,151.45,160.8,168.41,176.38,150.42,137.36,119.51,93.72,207.99
8,Other Operating Expenses,1343,-28.7,27.11,-28.47,8.33,0.07,-4.22,-4.45,4.04,-1.86,-2.15,-0.42,1.06,-0.43,0.01,-0.54,0.03,0.68
9,Operating Expenses,335.64,319.4,353.99,303.48,354.59,356.45,281.97,245.81,235.04,179.6,181.83,192.43,207.12,168.52,157.13,138.96,113.92,507.37
10,Operating Income,-306,-187.43,-234.47,-224.22,-309.35,-318.06,-281.97,-245.81,-238.69,-179.6,-181.83,-192.43,-210.58,-168.08,-156.75,-138.96,-113.88,-507.03
11,Interest Expense,-1.64,-5.97,-5.22,-4.25,-3.08,-2.27,-1.2,-1.02,-1.09,-1.11,-1.05,-1.09,-1.16,-1.02,-0.59,-0.3,-,-
12,Interest & Investment Income,15.44,0.56,0.46,0.62,0.77,0.62,1.15,1.1,0.43,1.02,0.72,0.35,1.16,0.3,0.88,1.31,1.89,1.3
13,Currency Exchange Gain (Loss),-,1.21,-1.21,-,-1.45,-0.54,0.54,-,10.1,-7.43,7.43,-,-6.45,4.11,-4.11,-,-18.18,-11.68
14,Other Non Operating Income (Expenses),3.71,-2.02,0.18,-0.22,-0.29,0.27,0.96,-0.99,-11.99,11.98,0.62,-0.65,3.07,-3.11,-2.39,2.34,-0.02,-0.01
15,EBT Excluding Unusual Items,-288.49,-193.65,-240.26,-228.07,-313.41,-319.97,-280.53,-246.72,-241.24,-175.14,-174.11,-193.82,-213.96,-167.79,-162.95,-135.61,-130.19,-517.43
16,Gain (Loss) on Sale of Investments,-10.93,3.56,3.54,3.83,4.21,5.25,5.85,7.21,8.97,9.92,11.16,12.1,0.97,-,-0.18,0.18,-0.04,0.21
17,Gain (Loss) on Sale of Assets,-,-,-,-,-,-0.01,-0,-,-,0.02,-,-,-,-,-,-,-,198.82
18,Other Unusual Items,-1.4,-27.26,28.66,-,30.5,-,-,-,6.39,-,-,-,9.47,-,-,-,3.29,-
19,Pretax Income,-300.82,-217.35,-208.06,-224.23,-278.7,-314.72,-274.68,-239.52,-225.88,-165.2,-162.95,-181.72,-203.52,-167.79,-163.13,-135.44,-126.94,-318.4
20,Income Tax Expense,-93.7,0,0,-,0.07,-0.02,0.05,0.01,0.03,-,0.22,0.01,-0.03,0.02,0,0.01,0,-
21,Earnings From Continuing Operations,-207.12,-217.35,-208.06,-224.23,-278.76,-314.7,-274.73,-239.52,-225.91,-165.2,-163.17,-181.73,-203.49,-167.81,-163.13,-135.45,-126.95,-318.4
22,Minority Interest in Earnings,-91.19,3.64,87.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Net Income,-298.31,-213.71,-120.52,-224.23,-278.76,-314.7,-274.73,-239.52,-225.91,-165.2,-163.17,-181.73,-203.49,-167.81,-163.13,-135.45,-126.95,-318.4
24,Net Income to Common,-298.31,-213.71,-120.52,-224.23,-278.76,-314.7,-274.73,-239.52,-225.91,-165.2,-163.17,-181.73,-203.49,-167.81,-163.13,-135.45,-126.95,-318.4
25,Shares Outstanding (Basic),415,410,415,415,404,409,410,406,403,403,408,404,364,357,363,356,360,360
26,Shares Outstanding (Diluted),415,410,415,415,404,409,410,406,403,403,408,404,364,357,363,356,360,360
27,Shares Change (YoY),2.63%,0.37%,1.26%,2.29%,0.22%,1.44%,0.64%,0.53%,10.64%,12.94%,12.31%,13.30%,1.33%,-0.88%,-,-,-,-
28,EPS (Basic),-0.72,-0.52,-0.29,-0.54,-0.69,-0.77,-0.67,-0.59,-0.56,-0.41,-0.40,-0.45,-0.56,-0.47,-0.45,-0.38,-0.35,-0.88
29,EPS (Diluted),-0.72,-0.52,-0.29,-0.54,-0.69,-0.77,-0.67,-0.59,-0.56,-0.41,-0.40,-0.45,-0.56,-0.47,-0.45,-0.38,-0.35,-0.88
30,Free Cash Flow,-,-224.1,-190.54,-142.75,-304.59,-230.82,-250.87,-213.73,-189.9,-146.25,-164.54,-176.46,-160.69,-97.92,-113.79,-128.86,-93.82,-347.93
31,Free Cash Flow Per Share,-,-0.55,-0.46,-0.34,-0.75,-0.56,-0.61,-0.53,-0.47,-0.36,-0.40,-0.44,-0.44,-0.27,-0.31,-0.36,-0.26,-0.97
32,Gross Margin,135.08%,97.83%,97.78%,97.47%,88.38%,95.73%,-,-,-,-,-,-,-94.49%,12.43%,12.29%,-,0.91%,4.55%
33,Operating Margin,-1394.51%,-138.94%,-191.82%,-275.73%,-604.36%,-793.12%,-,-,-,-,-,-,-5743.75%,-4775.73%,-5056.75%,-,-2422.04%,-6782.94%
34,Profit Margin,-1359.45%,-158.42%,-98.60%,-275.75%,-544.61%,-784.73%,-,-,-,-,-,-,-5550.20%,-4768.19%,-5262.69%,-,-2699.90%,-4259.45%
35,Free Cash Flow Margin,-,-166.12%,-155.88%,-175.54%,-595.06%,-575.59%,-,-,-,-,-,-,-4382.80%,-2782.35%,-3671.00%,-,-1995.37%,-4654.51%
36,EBITDA,-296.26,-177.68,-224.68,-214.48,-299.61,-308.38,-271.16,-236.14,-229.01,-170.25,-172.34,-183.07,-201.59,-158.75,-147.4,-131.51,-104.63,-498.79
37,EBITDA Margin,-,-131.71%,-183.81%,-263.75%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,D&A For EBITDA,9.74,9.74,9.79,9.74,9.74,9.68,10.82,9.68,9.68,9.35,9.5,9.35,9,9.33,9.35,7.45,9.25,8.24
39,EBIT,-306,-187.43,-234.47,-224.22,-309.35,-318.06,-281.97,-245.81,-238.69,-179.6,-181.83,-192.43,-210.58,-168.08,-156.75,-138.96,-113.88,-507.03
40,EBIT Margin,-,-138.94%,-191.82%,-275.73%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,Revenue as Reported,-,134.9,122.23,81.32,51.19,40.1,-,-,-,-,-,-,3.67,3.52,3.1,-,27.76,-
