,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,7126,7079,6522,6079,5468
1,Revenue Growth (YoY),9.27%,16.46%,19.27%,-,-
2,Cost of Revenue,5280,5298,4944,4806,4471
3,Gross Profit,1846,1781,1578,1273,996.97
4,"Selling, General & Admin",1377,1424,1299,1307,1262
5,Research & Development,302.04,281.66,297.96,303.18,318.19
6,Other Operating Expenses,-20.16,-54.11,-61.69,-96.73,-30.98
7,Operating Expenses,1659,1652,1535,1514,1549
8,Operating Income,186.59,129.21,42.83,-240.29,-551.96
9,Interest Expense,-8.64,-9.34,-9.48,-11.54,-16.34
10,Interest & Investment Income,90.44,66.87,61.64,39.37,17.56
11,Earnings From Equity Investments,-4.58,-9.62,-1.6,-20.57,-12.95
12,Currency Exchange Gain (Loss),0.88,-18.97,21.53,-3.43,27.16
13,EBT Excluding Unusual Items,264.7,158.14,114.93,-236.46,-536.51
14,Gain (Loss) on Sale of Investments,24.41,-3.68,2.37,-2.15,6.75
15,Asset Writedown,-,-11.77,-,-,-
16,Other Unusual Items,-,6513,-47.16,-933.03,-406.25
17,Pretax Income,289.11,6655,70.14,-1172,-936.01
18,Income Tax Expense,4.78,14,10.65,14.82,15.85
19,Earnings From Continuing Operations,284.33,6641,59.49,-1186,-951.86
20,Minority Interest in Earnings,1.22,1.46,0.78,0.92,1.23
21,Net Income,285.55,6643,60.26,-1186,-950.63
22,Net Income to Common,285.55,6643,60.26,-1186,-950.63
23,Net Income Growth,373.83%,-,-,-,-
24,Shares Outstanding (Basic),814,500,144,144,144
25,Shares Outstanding (Diluted),840,853,760,144,144
26,Shares Change (YoY),10.62%,492.03%,426.98%,-,-
27,EPS (Basic),0.35,13.28,0.42,-8.22,-6.59
28,EPS (Diluted),0.30,0.15,0.14,-8.22,-7.00
29,EPS Growth,112.14%,-,-,-,-
30,Free Cash Flow,532.16,111.69,549.62,86.17,-733.02
31,Free Cash Flow Per Share,0.63,0.13,0.72,0.60,-5.09
32,Operating Margin,2.62%,1.83%,0.66%,-3.95%,-10.09%
33,Profit Margin,4.01%,93.83%,0.92%,-19.50%,-17.39%
34,Free Cash Flow Margin,7.47%,1.58%,8.43%,1.42%,-13.41%
35,EBITDA,266.83,209.04,124.17,-156.12,-478.95
36,D&A For EBITDA,80.24,79.83,81.34,84.17,73.01
37,EBIT,186.59,129.21,42.83,-240.29,-551.96
38,Advertising Expenses,471.01,-,372.83,-,286.44
