,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,14536,18824,23011,-,-,-
1,Enterprise Value,10246,14371,44068,-,-,-
2,Last Close Price,17.74,23.25,28.10,-,-,-
3,PE Ratio,36.58,2.53,3.12,-,-,-
4,Forward PE,19.16,19.22,28.23,-,-,-
5,PS Ratio,0.76,1.23,1.54,-,-,-
6,PB Ratio,2.89,3.80,4.68,-,-,-
7,P/TBV Ratio,3.86,3.86,4.77,-,-,-
8,P/FCF Ratio,21.01,27.21,31.58,-,-,-
9,P/OCF Ratio,17.09,17.09,20.45,-,-,-
10,EV/Sales Ratio,0.67,0.94,2.94,-,-,-
11,EV/EBITDA Ratio,14.71,28.11,120.05,-,-,-
12,EV/EBIT Ratio,31.62,42.35,232.51,-,-,-
13,EV/FCF Ratio,14.81,20.77,60.49,-,-,-
14,Debt / Equity Ratio,0.08,0.08,0.08,-1.18,-1.16,-
15,Debt / FCF Ratio,0.59,0.59,0.55,36.14,-34.11,-
16,Return on Capital Employed (ROCE),5.91%,5.91%,3.33%,-5.12%,-,-
17,Earnings Yield,51.21%,39.55%,32.09%,-,-,-
18,FCF Yield,4.76%,3.68%,3.17%,-,-,-
19,Buyback Yield / Dilution,-487.49%,-10.62%,-492.03%,-426.98%,-,-
20,Total Shareholder Return,-487.49%,-10.62%,-492.03%,-426.98%,-,-
