,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,79914,161918,141775,835775,284173,187712,121529,111148,225958,131778,172412,168761,146703,203653,729762,436133,289975,92895,146571,37658,Upgrade
1,Short-Term Investments,18793,18643,14963,10200,14200,11800,8200,13892,11805,7306,7308,5607,5802,5205,5948,5498,8055,8014,16464,40414,Upgrade
2,Cash & Short-Term Investments,98707,180561,156738,845975,298373,199512,129729,125040,237763,139084,179720,174368,152504,208858,735710,441631,298030,100909,163035,78072,Upgrade
3,Cash Growth,-66.92%,-9.50%,20.82%,576.56%,25.49%,43.45%,-27.82%,-28.29%,55.91%,-33.41%,-75.57%,-60.52%,-48.83%,106.98%,351.26%,465.67%,194.29%,-74.13%,-47.35%,-67.11%,Upgrade
4,Accounts Receivable,591245,614393,602932,625655,636622,621600,603490,569375,552876,575162,517574,487563,464424,631070,586160,618616,626102,750479,832424,863115,Upgrade
5,Other Receivables,35639,25577,38445,32018,30304,115541,117349,30954,27123,26613,52749,59611,47631,47993,31321,27483,25416,1746,1245,5529,Upgrade
6,Receivables,626884,639970,641377,657673,666926,737142,720839,600329,579998,601775,570323,547174,512055,679063,617481,646099,651518,752225,833669,868644,Upgrade
7,Inventory,3682761,3733386,4018617,2772584,2765492,3088878,3091390,3492708,3570802,3541783,3668674,3882321,4026205,3668821,3401044,2793700,3653814,3629859,3864745,3832657,Upgrade
8,Prepaid Expenses,5297,4490,3422,2980,4040,2587,2372,3012,4889,3031,3659,2522,2852,1170,1769,1771,2783,1051,1425,1891,Upgrade
9,Other Current Assets,87314,98917,104848,10123,7939,17353,9260,15998,14746,17509,16696,73452,114505,125526,130510,781468,110010,69129,66072,67282,Upgrade
10,Total Current Assets,4500962,4657324,4925002,4289335,3742769,4045471,3953590,4237088,4408199,4303182,4439071,4679837,4808121,4683438,4886515,4664669,4716155,4553174,4928946,4848547,Upgrade
11,"Property, Plant & Equipment",1174464,1186302,909072,915891,926663,905732,913713,912692,924503,907331,903218,912205,898556,900343,904244,939735,942878,937802,947343,944060,Upgrade
12,Long-Term Investments,845815,763730,707303,326490,223600,233430,234620,35640,32920,17000,17000,17000,-,-,-,-,-,-,-,-,Upgrade
13,Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,24.23,29.08,33.93,38.78,43.62,48.47,53.32,Upgrade
14,Other Intangible Assets,15717,16364,17015,17698,18016,16974,17476,18078,18680,18874,18208,14874,10201,7030,7327,7623,7919,7987,5844,5395,Upgrade
15,Long-Term Accounts Receivable,299566,277228,279707,283816,305436,316911,322526,296570,285453,321187,267246,257460,233466,180627,171781,151889,133440,126708,125900,122922,Upgrade
16,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,5713,7728,6223,4240,-,-,-,Upgrade
17,Long-Term Deferred Charges,-,-,-,10.31,20.63,30.94,41.25,51.56,61.88,72.19,82.5,92.81,103.13,113.44,123.75,134.06,144.38,154.69,165,175.31,Upgrade
18,Other Long-Term Assets,1020518,1020656,1031025,1178869,1187249,869995,871354,860390,853596,855630,852244,855702,858206,860648,863546,833954,836949,841123,676642,678461,Upgrade
19,Total Assets,7857042,7921604,7869125,7012110,6403754,6388545,6313322,6360510,6523412,6423276,6497070,6737171,6808654,6637937,6841293,6604261,6641763,6466991,6684887,6599614,Upgrade
20,Accounts Payable,696687,1430151,1188090,441250,491514,460199,471374,735002,802719,755117,708993,729724,815837,499933,424203,347765,877680,1525519,1748601,1965978,Upgrade
21,Accrued Expenses,201803,76055,83489,154443,147157,155519,133637,65360,79316,92352,79610,43534,58645,123788,122164,72898,87702,85439,90268,58744,Upgrade
22,Short-Term Debt,495514,313761,309608,685998,486921,499919,492283,336703,325965,265617,271758,406131,361918,327697,184235,357501,431347,381695,457861,456872,Upgrade
23,Current Portion of Long-Term Debt,151353,96353,96353,196273,294273,196273,196273,170673,279273,149673,180273,160084,159673,153084,180273,142560,86810,28600,46600,56658,Upgrade
24,Current Income Taxes Payable,20496,28578,20386,115547,133374,136688,135103,101754,78319,74232,45071,43328,20275,66343,111618,64787,51360,22941,26572,16972,Upgrade
25,Current Unearned Revenue,60.74,43.72,6.1,9.86,6.28,8.28,0.68,3.77,76.92,156.27,3.48,-,-,-,76.36,37.4,938724,18477,18748,19048,Upgrade
26,Other Current Liabilities,526280,751485,764991,686013,764549,791146,787178,427654,445398,477751,541017,592099,523611,624547,1001392,652645,710677,1345454,1458964,1301967,Upgrade
27,Total Current Liabilities,2092194,2696425,2462923,2279533,2317793,2239752,2215848,1837149,2011066,1814898,1826725,1974901,1939958,1795392,2023962,1638193,3184300,3408125,3847613,3876239,Upgrade
28,Long-Term Debt,546781,151588,151176,189844,210033,336981,357169,404717,404305,552853,552441,601578,601578,728714,728714,784440,423190,416400,246400,15000,Upgrade
29,Long-Term Unearned Revenue,11904,10923,5564,10240,8500,9435,7333,38645,135953,106747,232797,431535,710957,638736,708290,596130,743627,516694,533235,502647,Upgrade
30,Other Long-Term Liabilities,43392,44226,317591,42965,43842,45625,45529,156204,155849,156448,212276,211474,212365,196324,184358,221901,220405,220468,220234,257562,Upgrade
31,Total Liabilities,2694271,2903162,2937254,2522583,2580168,2631793,2625879,2436715,2707173,2630946,2824239,3219487,3464858,3359165,3645325,3240664,4571522,4561686,4847482,4651447,Upgrade
32,Common Stock,3777484,3777484,3777484,3145045,2518325,2518325,2518325,2518325,2170973,2170973,2170973,2170973,2170973,2170973,2170973,2170973,1370973,1370973,1370973,1370973,Upgrade
33,Additional Paid-In Capital,211326,211326,211326,211326,211326,211326,211326,211326,211326,211326,211326,211326,211326,211758,211758,211758,10420,10420,10420,10420,Upgrade
34,Retained Earnings,1163160,1018831,932260,1122355,1083134,1016300,946990,1183343,1423139,1399229,1279731,1124583,950696,886136,803334,970961,678944,515906,448007,562610,Upgrade
35,Comprehensive Income & Other,10801,10801,10801,10801,10801,10801,10801,10801,10801,10801,10801,10801,10801,9904,9904,9904,9904,8005,8005,4163,Upgrade
36,Shareholders' Equity,5162771,5018442,4931871,4489527,3823587,3756752,3687443,3923796,3816239,3792330,3672832,3517684,3343797,3278771,3195969,3363596,2070241,1905305,1837405,1948167,Upgrade
37,Total Liabilities & Equity,7857042,7921604,7869125,7012110,6403754,6388545,6313322,6360510,6523412,6423276,6497070,6737171,6808654,6637937,6841293,6604261,6641763,6466991,6684887,6599614,Upgrade
38,Total Debt,1193648,561701,557137,1072115,991226,1033172,1045724,912092,1009542,968143,1004472,1167793,1123168,1209495,1093222,1284501,941347,826695,750861,528530,Upgrade
39,Net Cash (Debt),-1094941,-381141,-400399,-226139,-692853,-833661,-915995,-787052,-771779,-829059,-824751,-993425,-970664,-1000637,-357512,-842870,-643317,-725786,-587826,-450458,Upgrade
40,Net Cash Per Share,-3148.79,-1128.78,-1098.45,-687.54,-2751.24,-3310.38,-3750.11,-2622.87,-3064.65,-3292.10,-1069.66,-3539.67,-3870.02,-4006.04,-1377.28,-3293.46,-4045.18,-4563.75,-19560.84,-1433.75,Upgrade
41,Filing Date Shares Outstanding,377.75,377.75,377.75,314.5,251.83,251.83,251.83,251.83,251.83,251.83,251.83,251.83,251.83,251.83,251.83,251.83,159.03,159.03,159.03,159.03,Upgrade
42,Total Common Shares Outstanding,377.75,377.75,377.75,314.5,251.83,251.83,251.83,251.83,251.83,251.83,251.83,251.83,251.83,251.83,251.83,251.83,159.03,159.03,159.03,159.03,Upgrade
43,Working Capital,2408768,1960898,2462079,2009802,1424976,1805719,1737742,2399939,2397133,2488285,2612347,2704936,2868163,2888045,2862553,3026475,1531854,1145049,1081332,972309,Upgrade
44,Book Value Per Share,13667.22,13285.14,13055.97,14274.92,15183.06,14917.66,14642.44,15580.97,15153.86,15058.91,14584.40,13968.33,13277.84,13019.63,12690.83,13356.46,13017.69,11980.57,11553.62,12250.09,Upgrade
45,Tangible Book Value,5147055,5002078,4914856,4471829,3805571,3739778,3669966,3905717,3797559,3773456,3654623,3502810,3333596,3271717,3188613,3355940,2062283,1897275,1831513,1942718,Upgrade
46,Tangible Book Value Per Share,13625.62,13241.83,13010.93,14218.65,15111.52,14850.26,14573.04,15509.19,15079.68,14983.97,14512.10,13909.26,13237.33,12991.62,12661.62,13326.06,12967.65,11930.08,11516.57,12215.83,Upgrade
47,Buildings,1018231,1017591,1016395,1015990,1015899,1004569,1001112,990589,990302,970063,942742,943537,925307,918335,916189,914438,914098,902321,896274,881985,Upgrade
48,Machinery,143179,143644,137391,137977,136878,119252,118141,114113,114113,113207,112872,110930,88891,84121,84323,83983,84264,81894,81894,55248,Upgrade
49,Construction In Progress,642559,642072,361129,363212,362727,358806,358900,360205,360147,352499,364911,364911,381769,385153,380890,408383,401494,397678,403886,433167,Upgrade
