,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,2544,2570,2594,2247,2045,2171,2126,1878,1180
1,Revenue Growth (YoY),-1.91%,14.40%,26.84%,3.50%,-3.81%,15.61%,80.24%,-,-
2,Cost of Revenue,1934,1828,1748,1613,1539,1681,1471,1378,883.64
3,Gross Profit,610.74,742.52,845.42,633.58,506.42,490.13,655.3,500.16,295.86
4,"Selling, General & Admin",326.58,350.86,326.51,342.23,274.96,247.7,192.53,175.51,115.48
5,Other Operating Expenses,85.77,100.39,92.65,78.62,52.02,81.31,64.86,49.23,41.94
6,Operating Expenses,820.5,823.95,762.49,771.44,674.51,656.26,554.43,495.41,393.78
7,Operating Income,-209.75,-81.43,82.92,-137.86,-168.08,-166.13,100.87,4.75,-97.91
8,Interest Expense,-35.11,-31.87,-34,-36.02,-44.3,-45.14,-46.41,-70.56,-59.7
9,Interest & Investment Income,63.4,63.61,68.67,46.54,18.68,14.98,5.35,4.16,3.57
10,Earnings From Equity Investments,-35.29,-38.78,0.06,-1.29,-,-,-,-,-
11,Currency Exchange Gain (Loss),-2.13,2.14,-1.66,-57.39,-21.4,-6.33,-1.1,-0.44,-
12,Other Non Operating Income (Expenses),-0.45,4.48,-3.8,19.55,-16.89,-0.66,-4.18,-131.41,-2.12
13,EBT Excluding Unusual Items,-219.33,-81.85,112.19,-166.47,-232,-203.28,54.54,-193.5,-156.16
14,Merger & Restructuring Charges,-6.1,-1.07,-4.96,-7.56,-2.11,-4.5,-,-,-
15,Gain (Loss) on Sale of Investments,-27,44.66,-8.52,-2.08,-0.53,7.56,-,-,-
16,Gain (Loss) on Sale of Assets,-31.57,-25.77,-18.31,-34.51,-13.54,-23.46,-9.86,-3.57,-2.6
17,Asset Writedown,-108.62,-8.42,-1.85,-11.05,-5.84,-10.43,3.59,-1.56,-1.64
18,Other Unusual Items,-,-,-,-40.83,-,-,-4344,97.5,71.43
19,Pretax Income,-392.61,-72.45,78.56,-262.5,-254.02,-234.11,-4296,-101.13,-88.97
20,Income Tax Expense,47.39,-18.77,13.71,-43.57,2.86,-29.82,25.71,26.27,-13.06
21,Earnings From Continuing Operations,-440,-53.68,64.85,-218.93,-256.88,-204.29,-4321,-127.4,-75.91
22,Minority Interest in Earnings,4.8,0.81,1.25,3.82,2.66,1.02,-,-,1.43
23,Net Income,-435.2,-52.87,66.1,-215.11,-254.22,-203.27,-4321,-127.4,-74.48
24,Net Income to Common,-435.2,-52.87,66.1,-215.11,-254.22,-203.27,-4321,-127.4,-74.48
25,Shares Outstanding (Basic),1711,1715,1715,1715,1715,1648,1107,999,1000
26,Shares Outstanding (Diluted),1711,1715,1715,1715,1715,1648,1107,999,1000
27,Shares Change (YoY),-0.24%,-,-,4.09%,54.90%,65.01%,10.73%,-,-
28,EPS (Basic),-0.25,-0.03,0.04,-0.13,-0.15,-0.12,-3.90,-0.13,-0.07
29,EPS (Diluted),-0.25,-0.03,0.04,-0.13,-0.15,-0.12,-3.90,-0.13,-0.07
30,Free Cash Flow,-113.48,95.87,191.7,-5.52,-136.17,-486.47,243.45,84.93,246.01
31,Free Cash Flow Per Share,-0.07,0.06,0.11,-0.00,-0.08,-0.30,0.22,0.09,0.25
32,Operating Margin,-8.24%,-3.17%,3.20%,-6.14%,-8.22%,-7.65%,4.74%,0.25%,-8.30%
33,Profit Margin,-17.10%,-2.06%,2.55%,-9.57%,-12.43%,-9.36%,-203.26%,-6.78%,-6.31%
34,Free Cash Flow Margin,-4.46%,3.73%,7.39%,-0.25%,-6.66%,-22.41%,11.45%,4.52%,20.86%
35,EBITDA,-35.44,79.98,225.79,-0.92,-42.01,-57.38,195.98,88.6,-27.78
36,D&A For EBITDA,174.31,161.41,142.86,136.95,126.07,108.75,95.11,83.84,70.14
37,EBIT,-209.75,-81.43,82.92,-137.86,-168.08,-166.13,100.87,4.75,-97.91
38,Advertising Expenses,112.67,-,74.05,-,75.2,-,37.48,-,22.35
