,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,2114,3518,5437,9296,12915,11406,14681,29363,-,-
1,Market Cap Growth,-62.16%,-62.16%,-57.90%,-18.50%,-12.03%,-61.16%,-,-,-,-
2,Enterprise Value,939,2529,4297,7092,10100,8157,10465,32337,-,-
3,Last Close Price,1.24,2.06,3.17,5.42,7.53,6.65,8.56,17.12,-,-
4,PE Ratio,-,-,-,-57.73,-,-,-,-,-,-
5,Forward PE,-,16.46,12.22,20.74,103.75,-,90.45,-,-,-
6,PS Ratio,0.39,0.64,0.96,1.78,2.66,2.31,2.78,6.10,-,-
7,PB Ratio,0.45,0.75,1.02,1.74,2.40,2.00,2.42,4.70,-,-
8,P/TBV Ratio,0.75,0.75,1.02,1.74,2.39,2.00,2.42,4.70,-,-
9,P/FCF Ratio,-,-,17.16,46.21,-,-,-,74.35,-,-
10,P/OCF Ratio,6.02,6.02,5.96,14.54,37.26,42.13,23.63,38.56,-,-
11,EV/Sales Ratio,0.17,0.46,0.76,1.36,2.08,1.65,1.98,6.72,-,-
12,EV/EBITDA Ratio,2.10,-,12.76,29.19,-,-,-,94.48,-,-
13,EV/EBIT Ratio,-,-,-,-119.46,-,-,-,254.56,-,-
14,EV/FCF Ratio,-49.65,-,13.56,35.25,-,-,-,81.88,-,-
15,Debt / Equity Ratio,0.31,0.31,0.37,0.32,0.30,0.30,0.29,0.26,-7.08,-
16,Debt / FCF Ratio,-,-,6.16,8.40,-,-,-,4.18,9.08,-
17,Return on Capital Employed (ROCE),-,-,-,-0.90%,-,-,-,1.71%,-15.90%,-
18,Earnings Yield,-24.81%,-14.91%,0.27%,-1.73%,-4.11%,-4.70%,-37.83%,-18.22%,-,-
19,FCF Yield,-0.89%,-0.54%,5.83%,2.16%,-1.24%,-6.39%,-2.03%,1.35%,-,-
20,Buyback Yield / Dilution,0.12%,0.24%,-,-,-4.09%,-54.90%,-65.01%,-10.73%,-,-
21,Total Shareholder Return,0.12%,0.24%,-,-,-4.09%,-54.90%,-65.01%,-10.73%,-,-
