,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,374.09,444.35,671,1387,3722,4053,4809,501.75,-
1,Short-Term Investments,1959,2072,1905,1819,-,-,70,-,-
2,Trading Asset Securities,121.17,147.68,41.13,159.6,135.11,46.2,-,-,-
3,Cash & Short-Term Investments,2454,2665,2617,3366,3857,4099,4879,501.75,-
4,Cash Growth,-6.23%,-20.84%,-32.15%,-17.88%,-20.95%,716.94%,-,-,-
5,Accounts Receivable,34.11,17.39,12.82,3.19,4.58,5.22,7.65,1.12,-
6,Other Receivables,115.92,108.41,301.25,198.09,193.16,171.74,122.2,657.05,-
7,Receivables,150.03,125.8,314.07,251.28,197.74,176.96,129.85,658.17,-
8,Inventory,150.39,147.21,134.37,126.28,148.87,174.09,116.42,103.06,-
9,Other Current Assets,124.22,124.56,216.55,226.17,128.12,220.86,96.55,66.93,-
10,Total Current Assets,2879,3062,3282,3970,4331,4671,5222,1330,-
11,"Property, Plant & Equipment",2440,3028,2466,2297,2255,2115,1870,1827,-
12,Long-Term Investments,842.29,1004,1070,194.29,-,-,-,-,-
13,Other Intangible Assets,0.05,0.12,0.21,0.29,0.37,0.46,0.98,1.05,-
14,Long-Term Deferred Tax Assets,40.73,88.05,76.33,81.46,43.38,44.24,26.6,27.6,-
15,Other Long-Term Assets,413.26,357.48,371.71,396.6,440.71,498.14,166.87,128.36,-
16,Total Assets,6615,7540,7265,6940,7070,7328,7286,3314,-
17,Accounts Payable,280.43,280.6,195.49,171.03,197.15,291.7,246.04,242.81,-
18,Short-Term Debt,-,-,-,-,-,0.43,-,1649,-
19,Current Portion of Leases,547.39,428.84,448.59,472.81,465.11,421.15,412.66,364.73,-
20,Current Income Taxes Payable,26.9,28.22,29.61,29.18,34.21,27.95,30.58,21.43,-
21,Current Unearned Revenue,208.62,257.8,206.48,217.67,196.9,218.05,153.86,78.55,-
22,Other Current Liabilities,303.61,355.58,300.66,311.89,303.17,370.89,259.22,372.12,-
23,Total Current Liabilities,1367,1351,1181,1203,1197,1330,1102,2728,-
24,Long-Term Debt,-,-,-,-,-,-,0.43,0.44,-
25,Long-Term Leases,821.17,1342,1116,949.49,992.61,1032,959.94,991.99,-
26,Long-Term Deferred Tax Liabilities,1.05,2.58,9.53,1.42,2.1,5.03,16.11,4.05,-
27,Other Long-Term Liabilities,44.43,23.32,22.29,20.63,18.99,17.93,15.15,13.86,-
28,Total Liabilities,2234,2719,2328,2174,2210,2385,2094,3739,-
29,Common Stock,0.56,0.56,0.56,0.56,0.56,0.56,0.52,0.42,-
30,Additional Paid-In Capital,9863,9856,9847,9842,-,9826,-,-,-
31,Retained Earnings,-5764,-5328,-5276,-5342,-5126,-4872,-4669,-347.78,-
32,Treasury Stock,-18.17,-,-,-,-,-,-,-,-
33,Comprehensive Income & Other,307.51,296.91,367.82,270.52,9990,-10.05,9861,-77.06,-
34,Total Common Equity,4389,4825,4939,4772,4864,4944,5192,-424.42,-
35,Minority Interest,-8,-3.21,-2.4,-6.15,-3.68,-1.02,-,-,-
36,Shareholders' Equity,4381,4822,4937,4766,4860,4943,5192,-424.42,-
37,Total Liabilities & Equity,6615,7540,7265,6940,7070,7328,7286,3314,-
38,Total Debt,1369,1770,1564,1422,1458,1453,1373,3006,-
39,Net Cash (Debt),1085,894.01,1053,1944,2399,2646,3506,-2504,-
40,Net Cash Growth,3.12%,-54.00%,-56.13%,-26.53%,-31.57%,-,-,-,-
41,Net Cash Per Share,0.63,0.52,0.61,1.13,1.40,1.61,3.17,-2.51,-
42,Filing Date Shares Outstanding,1711,1712,1715,1715,1715,1715,1107,1715,1000
43,Total Common Shares Outstanding,1711,1715,1715,1715,1715,1715,1107,1715,1000
44,Working Capital,1512,1711,2101,2767,3135,3341,4119,-1398,-
45,Book Value Per Share,2.57,2.81,2.88,2.78,2.84,2.88,4.69,-0.25,-
46,Tangible Book Value,4389,4825,4939,4771,4864,4944,5191,-425.47,-
47,Tangible Book Value Per Share,2.57,2.81,2.88,2.78,2.84,2.88,4.69,-0.25,-
48,Buildings,-,166.94,-,166.72,-,-,-,-,-
49,Machinery,-,811.49,-,624.98,-,474.95,-,330.81,-
50,Construction In Progress,-,206.2,-,16.06,-,34.45,-,8.57,-
51,Leasehold Improvements,-,963.75,-,796.1,-,696.91,-,527.82,-
