,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,2797,2719,2745,3694,8015,7949,9728,20581,14562,16280,9964
1,Market Cap Growth,-26.42%,-26.42%,-65.76%,-53.52%,-17.61%,-61.38%,-33.19%,26.42%,46.14%,136.64%,215.63%
2,Enterprise Value,-41,-204,291,994,5270,4333,6131,18054,12949,14576,8622
3,Last Close Price,3.21,2.90,2.93,3.78,8.21,8.15,9.78,20.36,15.32,17.17,10.41
4,PE Ratio,5.64,5.59,5.60,6.96,16.74,14.60,15.08,31.12,27.10,41.95,31.59
5,Forward PE,5.19,4.81,4.11,5.36,7.45,6.94,8.71,22.05,21.52,31.98,23.82
6,PS Ratio,0.46,0.46,0.46,0.63,1.37,1.37,1.82,4.86,4.28,6.21,4.40
7,PB Ratio,0.86,0.74,0.76,1.10,2.44,2.57,3.14,7.14,8.70,13.97,9.21
8,P/TBV Ratio,1.12,1.12,1.21,1.91,4.16,4.21,5.09,8.59,11.31,17.52,9.76
9,P/FCF Ratio,6.57,-,6.27,-,1098.21,-,11.14,20.99,15.69,-,16.48
10,P/OCF Ratio,5.78,5.78,5.88,7.56,111.00,-,10.49,20.22,15.58,-,16.35
11,PEG Ratio,0.88,0.88,0.88,0.28,0.28,0.28,0.34,0.49,0.46,0.67,-
12,EV/Sales Ratio,-,-,0.05,0.17,0.90,0.75,1.15,4.26,3.80,5.56,3.81
13,EV/EBITDA Ratio,-,-,0.35,1.12,5.55,3.76,5.56,19.85,17.65,29.50,21.28
14,EV/EBIT Ratio,-,-,0.40,1.26,6.13,3.94,5.72,20.32,17.88,29.71,21.40
15,EV/FCF Ratio,-0.10,-,0.66,-,722.10,-,7.02,18.42,13.95,-,14.26
16,Debt / Equity Ratio,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.01
17,Debt / FCF Ratio,0.04,-,0.04,-,2.87,-,0.02,0.00,0.01,-,0.01
18,Return on Capital Employed (ROCE),18.16%,18.16%,18.84%,21.59%,24.21%,33.08%,32.01%,30.20%,41.84%,40.95%,36.58%
19,Earnings Yield,17.40%,17.90%,17.86%,14.37%,5.97%,6.85%,6.63%,3.21%,3.69%,2.38%,3.17%
20,FCF Yield,15.23%,15.66%,15.96%,11.68%,0.09%,4.50%,8.98%,4.76%,6.37%,3.35%,6.07%
21,Buyback Yield / Dilution,-0.06%,-0.00%,-0.12%,0.34%,0.39%,-0.86%,-3.79%,-2.60%,-0.65%,-1.11%,-84.80%
22,Total Shareholder Return,6.95%,-0.00%,-0.12%,0.34%,0.39%,-0.86%,-3.79%,-2.60%,-0.65%,-1.11%,-84.80%
