,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,2770,2743,2681,2714,2466,2474,1877,1645,1222,1168
1,Revenue Growth (YoY),3.33%,1.09%,8.72%,9.69%,31.38%,50.40%,53.64%,40.85%,42.67%,73.41%
2,Cost of Revenue,2017,2022,1964,2092,1750,1707,1302,1128,857.5,817.8
3,Gross Profit,753.21,720.9,717.57,622.01,716.13,766.9,574.65,516.62,364.14,349.98
4,"Selling, General & Admin",264.91,333.41,257.09,329.68,238.01,273.02,185.05,163.89,117.55,153.22
5,Other Operating Expenses,109.91,-100.4,62.21,-93.09,47.52,-51.07,23.99,-33.58,9.81,-18.73
6,Operating Expenses,374.82,454.49,319.3,292.01,285.53,259.13,209.05,143.57,127.36,139.57
7,Operating Income,378.39,266.41,398.28,330,430.6,507.77,365.6,373.05,236.79,210.41
8,Interest Expense,-0.42,-1.4,-0.71,-0.52,-0.4,-0.21,-0.13,-0.15,-0.17,-0.22
9,Interest & Investment Income,15.39,-,24.23,34.3,32.53,45.84,32.61,36.87,24.17,17.66
10,Earnings From Equity Investments,-0.5,0.38,-0.41,-0.41,-,-,-,-,-,-
11,Currency Exchange Gain (Loss),-2.94,-1.99,11.35,4.58,12.63,0.15,-10.64,-9.3,3.89,6.17
12,Other Non Operating Income (Expenses),-,-30.64,-,-40.12,-,-2.1,-,-7.31,-,-5.25
13,EBT Excluding Unusual Items,389.92,232.77,432.74,327.82,475.35,551.45,387.45,393.15,264.68,228.76
14,Impairment of Goodwill,-,-55.22,-,-5.4,-,-,-,-,-,-
15,Gain (Loss) on Sale of Investments,9.79,40.19,-9.02,-40.45,-134.98,-191.59,-6.95,-18.83,1.26,3.12
16,Gain (Loss) on Sale of Assets,16.54,3.82,0.32,2.77,1.88,1.36,-0.05,-0.01,-0.04,-0
17,Other Unusual Items,-,-,-,-,-,-,-,-3.82,-,-0.78
18,Pretax Income,416.25,221.55,424.04,284.74,342.24,361.23,380.45,370.49,265.9,231.1
19,Income Tax Expense,84.08,47.22,90.51,67.69,84.55,106.58,76.37,86.93,60.38,53.34
20,Earnings From Continuing Operations,332.17,174.33,333.53,217.05,257.7,254.65,304.08,283.57,205.52,177.75
21,Minority Interest in Earnings,-30.58,-23.08,-39.74,-19.39,-31.88,-15.61,-17.66,-20.11,-16.59,-12.99
22,Net Income,301.6,151.26,293.79,197.66,225.82,239.04,286.42,263.46,188.93,164.77
23,Net Income to Common,301.6,151.26,293.79,197.66,225.82,239.04,286.42,263.46,188.93,164.77
24,Net Income Growth,2.66%,-23.48%,30.10%,-17.31%,-21.16%,-9.27%,51.60%,59.90%,61.14%,68.73%
25,Shares Outstanding (Basic),855,855,855,854,854,856,839,819,818,818
26,Shares Outstanding (Diluted),855,855,855,854,858,858,851,826,829,821
27,Shares Change (YoY),0.00%,0.12%,-0.34%,-0.39%,0.86%,3.79%,2.60%,0.65%,1.11%,84.80%
28,EPS (Basic),0.35,0.18,0.34,0.23,0.26,0.28,0.34,0.32,0.23,0.20
29,EPS (Diluted),0.35,0.18,0.34,0.23,0.26,0.28,0.34,0.32,0.23,0.20
30,EPS Growth,2.94%,-23.59%,30.77%,-17.03%,-23.53%,-12.82%,47.83%,60.10%,64.29%,-8.61%
31,Free Cash Flow,-1.27,397.6,-0.05,399.36,-392.91,698.37,13.2,801.99,-20.43,517.45
32,Free Cash Flow Per Share,-0.00,0.46,-0.00,0.47,-0.46,0.81,0.02,0.97,-0.02,0.63
33,Operating Margin,13.66%,9.71%,14.86%,12.16%,17.46%,20.53%,19.48%,22.68%,19.38%,18.02%
34,Profit Margin,10.89%,5.51%,10.96%,7.28%,9.16%,9.66%,15.26%,16.02%,15.47%,14.11%
35,Free Cash Flow Margin,-0.05%,14.49%,-0.00%,14.72%,-15.93%,28.23%,0.70%,48.76%,-1.67%,44.31%
36,EBITDA,424.59,310.16,446.25,376.76,462.92,520.52,377.31,378.87,238.92,211.53
37,D&A For EBITDA,46.2,43.75,47.97,46.76,32.33,12.76,11.7,5.82,2.13,1.11
38,EBIT,378.39,266.41,398.28,330,430.6,507.77,365.6,373.05,236.79,210.41
39,Advertising Expenses,-,-,-,-,-,-,-,-,1.5,-
