,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022"
0,Cash & Equivalents,-,268.03,599.21,510.24,1252,160.46,220.72,-,338.81,-
1,Trading Asset Securities,-,256.01,190.52,307,-,235,195,-,-,-
2,Cash & Short-Term Investments,524.03,524.03,789.73,817.24,1252,395.46,415.72,338.81,338.81,-
3,Cash Growth,-58.15%,32.51%,89.97%,141.21%,269.57%,-,-,-,-,-
4,Accounts Receivable,-,323.91,285.06,270.42,276.33,265.32,242.99,-,218.85,-
5,Other Receivables,-,3.58,3.71,3.22,1.97,1.99,2.48,-,1.77,-
6,Receivables,-,327.49,288.77,273.64,278.3,267.3,245.47,-,220.62,-
7,Inventory,-,1.07,1.13,1.25,1.31,-,-,-,-,-
8,Other Current Assets,-,54.72,53.29,54.77,13.56,18.09,15.67,-,13.57,-
9,Total Current Assets,-,907.31,1133,1147,1545,680.86,676.85,-,573,-
10,"Property, Plant & Equipment",-,1078,1068,1058,1072,387.44,386.29,-,380.42,-
11,Long-Term Investments,-,1.97,1.94,1.78,1.69,1.69,1.47,-,1.42,-
12,Goodwill,-,8.43,8.43,8.43,8.43,8.43,8.43,-,8.43,-
13,Other Intangible Assets,-,454.28,455.87,456.78,459.5,392.96,393.47,-,397.97,-
14,Long-Term Deferred Tax Assets,-,9.57,9.46,6.87,6.7,4.17,4.09,-,3.22,-
15,Long-Term Deferred Charges,-,7.8,9.1,10.26,11.76,6.56,7.54,-,6.91,-
16,Other Long-Term Assets,-,14.53,9.9,22.46,13.52,32.41,23.01,-,3.92,-
17,Total Assets,-,2482,2696,2711,3119,1515,1501,-,1375,-
18,Accounts Payable,-,127.66,500.47,459.53,873.95,147.8,151.67,-,141.9,-
19,Accrued Expenses,-,72.31,65.57,49.48,35.91,90.31,67.51,-,29.84,-
20,Current Portion of Leases,-,4.05,7.26,6.75,6.68,3.41,3.6,-,5,-
21,Current Income Taxes Payable,-,16.66,10.86,15.66,11.71,-,14.37,-,7.34,-
22,Current Unearned Revenue,-,70.8,71.71,99.31,137.17,129.95,133.69,-,159.85,-
23,Other Current Liabilities,-,10.02,10.97,13.83,14.46,13.62,35.22,-,22.79,-
24,Total Current Liabilities,-,301.48,666.84,644.55,1080,385.09,406.06,-,366.71,-
25,Long-Term Leases,-,1.54,1.52,3.76,4.32,2.78,3.63,-,3.23,-
26,Long-Term Unearned Revenue,-,35.74,34.04,16.87,15.89,19.21,20.12,-,16.15,-
27,Long-Term Deferred Tax Liabilities,-,37.1,37.32,37.75,37.76,38.19,38.19,-,38.57,-
28,Total Liabilities,-,375.86,739.72,702.93,1138,445.27,468,-,424.66,-
29,Common Stock,-,226.09,226.09,226.09,226.09,169.56,169.56,-,169.56,-
30,Additional Paid-In Capital,-,1327,1327,1327,1327,501.46,501.46,-,501.46,-
31,Retained Earnings,-,339.14,311.52,362.84,335.78,308.29,273.01,-,196.37,-
32,Comprehensive Income & Other,-,7.54,7.97,7.33,6.92,8.7,8.73,-,8.55,-
33,Total Common Equity,1899,1899,1872,1923,1895,988.01,952.76,875.94,875.94,-
34,Minority Interest,-,206.27,84.18,85.68,85.34,81.24,80.39,-,74.68,-
35,Shareholders' Equity,2106,2106,1956,2009,1981,1069,1033,950.63,950.63,-
36,Total Liabilities & Equity,-,2482,2696,2711,3119,1515,1501,-,1375,-
37,Total Debt,5.58,5.58,8.78,10.5,11.01,6.19,7.23,8.23,8.23,-
38,Net Cash (Debt),518.45,518.45,780.95,806.74,1241,389.28,408.49,330.58,330.58,-
39,Net Cash Growth,-58.23%,33.18%,91.18%,144.04%,275.44%,-,-,-,-,-
40,Net Cash Per Share,2.29,2.29,3.45,3.57,6.59,2.30,2.41,1.95,1.92,-
41,Filing Date Shares Outstanding,226.09,226.09,226.09,226.09,226.09,226.09,169.56,169.7,169.56,169.6
42,Total Common Shares Outstanding,226.09,226.09,226.09,226.09,226.09,169.56,169.56,169.7,169.56,169.6
43,Working Capital,-,605.83,466.08,502.35,465.42,295.77,270.79,-,206.29,-
44,Book Value Per Share,8.40,8.40,8.28,8.51,8.38,5.83,5.62,5.17,5.17,-
45,Tangible Book Value,1437,1437,1408,1458,1427,586.63,550.86,469.55,469.55,-
46,Tangible Book Value Per Share,6.35,6.35,6.23,6.45,6.31,3.46,3.25,2.77,2.77,-
47,Buildings,-,-,531.62,-,518.84,-,-,-,144.43,-
48,Machinery,-,-,645.51,-,632.08,-,-,-,252.86,-
49,Construction In Progress,-,-,36.25,-,23.41,-,-,-,56.2,-
