,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,483.29,550.84,207.43,162.51,-
1,Cash & Short-Term Investments,483.29,550.84,207.43,162.51,-
2,Cash Growth,132.99%,238.96%,-,-,-
3,Accounts Receivable,130.23,63.39,44.97,64.87,-
4,Other Receivables,1.01,5.78,4.61,2.23,-
5,Receivables,131.24,69.17,49.58,67.1,-
6,Inventory,239.05,218.13,130.38,76.32,-
7,Other Current Assets,410.8,328.18,384.1,224,-
8,Total Current Assets,1264,1166,771.49,529.92,-
9,"Property, Plant & Equipment",71.57,69.2,64.21,62.7,-
10,Other Intangible Assets,0.37,0.37,0.4,0.25,-
11,Other Long-Term Assets,59.8,35.03,0.77,2.66,-
12,Total Assets,1396,1271,836.87,595.53,-
13,Accounts Payable,219.92,218.23,256.14,68.84,-
14,Short-Term Debt,241.77,171.6,107.37,95.51,-
15,Current Portion of Leases,5.42,6.58,4.7,3.63,-
16,Current Unearned Revenue,6.69,7.54,-,10.63,-
17,Other Current Liabilities,12.65,22.73,14.07,16.58,-
18,Total Current Liabilities,486.44,426.68,382.29,195.19,-
19,Long-Term Leases,2.78,4.46,1.33,2.94,-
20,Long-Term Deferred Tax Liabilities,1.56,1.56,1.56,1.56,-
21,Total Liabilities,490.79,432.7,385.17,199.69,-
22,Common Stock,60,60,45,45,-
23,Additional Paid-In Capital,530.65,530.65,222.41,222.41,-
24,Retained Earnings,279.53,212.42,160.04,114.17,-
25,Comprehensive Income & Other,35.16,35.16,24.25,14.26,-
26,Shareholders' Equity,905.35,838.23,451.69,395.84,-
27,Total Liabilities & Equity,1396,1271,836.87,595.53,-
28,Total Debt,249.97,182.64,113.4,102.08,-
29,Net Cash (Debt),233.32,368.2,94.03,60.43,-
30,Net Cash Growth,148.14%,509.36%,-,-,-
31,Net Cash Per Share,3.89,8.12,2.09,-,-
32,Filing Date Shares Outstanding,60,60,60,45,-
33,Total Common Shares Outstanding,60,60,45,45,-
34,Working Capital,777.95,739.64,389.21,334.73,-
35,Book Value Per Share,15.09,13.97,10.04,8.80,-
36,Tangible Book Value,904.98,837.86,451.3,395.58,-
37,Tangible Book Value Per Share,15.08,13.96,10.03,8.79,-
38,Machinery,-,16.03,15.53,12.34,-
39,Construction In Progress,-,42.1,40.97,50.28,-
40,Leasehold Improvements,-,11.43,10.15,0.17,-
