,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,1929,1434,1500,-,-,-
1,Enterprise Value,1678,1028,1398,-,-,-
2,Last Close Price,32.15,23.90,25.00,-,-,-
3,PE Ratio,12.08,10.23,12.47,-,-,-
4,PS Ratio,2.86,2.43,2.94,-,-,-
5,PB Ratio,1.98,1.47,1.62,-,-,-
6,P/TBV Ratio,1.47,1.47,1.63,-,-,-
7,EV/Sales Ratio,2.84,1.74,2.74,-,-,-
8,EV/EBITDA Ratio,12.54,7.85,11.55,-,-,-
9,EV/EBIT Ratio,13.29,8.14,11.95,-,-,-
10,Debt / Equity Ratio,0.28,0.28,0.22,0.25,0.26,-
11,Debt / FCF Ratio,-,-,-,-15.31,-,-
12,Return on Capital Employed (ROCE),12.92%,12.92%,12.58%,21.15%,23.87%,-
13,Earnings Yield,7.26%,9.77%,8.02%,-,-,-
14,FCF Yield,-10.14%,-13.59%,-0.92%,-,-,-
15,Buyback Yield / Dilution,-17.03%,-33.33%,-,-,-,-
16,Total Shareholder Return,-17.03%,-33.33%,-,-,-,-
