,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,6393,6057,5224,6378,4862,4794,4575,5788,6068,4988,6612,7116,4980,5598,4516,4527,3134,3719,3719
1,Other Revenue,-4.87,4.87,-,11.45,-6.05,6.05,-,15.56,-7.28,7.28,-,17.79,-13.21,13.21,-,12.33,-7.8,3.9,3.9
2,Revenue,6388,6062,5224,6390,4856,4800,4575,5803,6060,4995,6612,7134,4967,5611,4516,4539,3126,3723,3723
3,Revenue Growth (YoY),31.55%,26.29%,14.17%,10.11%,-19.88%,-3.90%,-30.80%,-18.65%,22.03%,-10.98%,46.43%,57.16%,58.87%,50.73%,21.29%,-,-,-,-
4,Cost of Revenue,5090,4797,4397,5005,4094,3730,3400,4624,4384,3574,4419,5057,3481,4242,3326,3380,2432,2636,2636
5,Gross Profit,1298,1265,827.35,1385,761.94,1070,1175,1179,1677,1421,2193,2077,1485,1370,1190,1159,694.2,1087,1087
6,"Selling, General & Admin",139.58,107.65,136.34,83.72,147.48,105.94,146.98,189.76,152.95,144.64,130.9,136.78,185.01,134.69,135.37,142.72,135.87,129.25,129.25
7,Research & Development,12.52,13.63,11.22,8.85,7.1,8.25,5.82,11.67,4.41,3.91,3.21,4.37,3.42,3.08,2.88,2.03,1.45,1.77,1.77
8,Other Operating Expenses,-112.05,42.39,-51.02,4.02,-1.58,-32.22,-155.64,85.39,-20.47,18.38,-59.38,122.58,-119.04,-48.95,-18.64,35.16,-42.17,-20.37,-20.37
9,Operating Expenses,39.66,164.67,96.44,94.73,153.11,81.25,-1.99,286.4,136.71,164.2,74.02,262.48,70.45,88.68,121.18,181.08,95.56,109.28,109.28
10,Operating Income,1258,1101,730.9,1290,608.82,988.46,1177,892.48,1540,1257,2118,1814,1415,1281,1069,978.13,598.63,977.78,977.78
11,Interest Expense,-76.69,-84.43,-88.69,-93.51,-103.21,-121.33,-89.2,-84.55,-68.74,-56.14,-28.9,-38.02,-35.76,-35.05,-34.25,-1.71,-11.71,-1.95,-1.95
12,Interest & Investment Income,38.74,38.17,43.42,43.16,44.39,51.55,49.26,60.7,60.83,56.31,47.31,47.03,37.1,19.7,12.46,33.06,-,12.98,12.98
13,Earnings From Equity Investments,0.85,-0.85,-,-,1.22,-1.22,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Currency Exchange Gain (Loss),53.98,-53.98,-,-106.73,148.27,-148.27,-,-202.01,73.74,-73.74,-,-8.43,-9.23,9.23,-,38.44,8.37,-4.19,-4.19
15,Other Non Operating Income (Expenses),-19.92,19.45,-20.1,139.16,-141.12,-50.86,54.48,321.53,-323.43,6.34,-6.88,3.84,-4.04,15.3,-14.63,-43.57,52.57,4.01,4.01
16,EBT Excluding Unusual Items,1255,1019,665.54,1272,558.37,718.34,1192,988.14,1283,1190,2130,1819,1403,1290,1032,1004,647.86,988.64,988.64
17,Gain (Loss) on Sale of Investments,-2.6,0.7,-0.49,0.32,-0.31,-0.75,-0.11,1.01,-3.9,4.24,-0.38,-0.34,-0.12,-0.48,-0.46,-0.78,-,-,-
18,Gain (Loss) on Sale of Assets,0.69,2.44,51.94,-8.68,-0.01,1.15,1.87,-0.22,0.48,0.16,0.11,-1.79,1.67,-1.48,-0.16,-15.37,-0.04,0.05,0.05
19,Asset Writedown,-0.3,-,-,-0.88,0.88,-,-,0.5,-0.5,-,-,-,-,0.01,-0.01,-10.46,-0.23,-,-
20,Other Unusual Items,-53.72,58.61,-0.08,20.86,-0.01,0.01,-,130.4,-14.06,14.06,-,110.83,-9.8,9.8,-,36.04,-,-,-
21,Pretax Income,1199,1081,716.9,1283,558.92,718.74,1193,1120,1265,1208,2130,1928,1395,1298,1032,1014,647.59,988.69,988.69
22,Income Tax Expense,298.42,295.16,50.21,335.04,124.42,139.74,302.46,286.15,315.4,295.16,534.48,507.37,347.26,324.03,260.5,256.03,162.95,248.13,248.13
23,Earnings From Continuing Operations,901.05,785.69,666.69,948.44,434.49,579,890.86,833.68,949.24,912.91,1595,1420,1047,973.92,771.14,757.75,484.64,740.56,740.56
24,Minority Interest in Earnings,-111.24,-97.37,-77.81,-125.24,-40.87,-68.69,-129.67,-140.1,-129.17,-163.78,-221.23,-218.02,-143.75,-131.92,-92.01,-101.1,-54.08,-99.79,-99.79
25,Net Income,789.81,688.32,588.88,823.2,393.62,510.31,761.19,693.58,820.07,749.13,1374,1202,903.56,842,679.13,656.65,430.56,640.77,640.77
26,Net Income to Common,789.81,688.32,588.88,823.2,393.62,510.31,761.19,693.58,820.07,749.13,1374,1202,903.56,842,679.13,656.65,430.56,640.77,640.77
27,Net Income Growth,100.65%,34.88%,-22.64%,18.69%,-52.00%,-31.88%,-44.60%,-42.31%,-9.24%,-11.03%,102.32%,83.09%,109.86%,31.41%,5.99%,-,-,-,-
28,Shares Outstanding (Basic),1577,1601,1592,1582,1579,1593,1586,1580,1604,1590,1579,1609,1565,1455,1415,1428,1432,1424,1424
29,Shares Outstanding (Diluted),1577,1601,1592,1582,1579,1593,1586,1580,1604,1590,1579,1609,1565,1455,1415,1428,1432,1424,1424
30,Shares Change (YoY),-0.11%,0.53%,0.36%,0.16%,-1.57%,0.21%,0.41%,-1.85%,2.46%,9.23%,11.63%,12.74%,9.28%,2.20%,-0.64%,-,-,-,-
31,EPS (Basic),0.50,0.43,0.37,0.52,0.25,0.32,0.48,0.44,0.51,0.47,0.87,0.75,0.58,0.58,0.48,0.46,0.30,0.45,0.45
32,EPS (Diluted),0.50,0.43,0.37,0.52,0.25,0.32,0.48,0.44,0.51,0.47,0.87,0.75,0.58,0.58,0.48,0.46,0.30,0.45,0.45
33,EPS Growth,100.87%,34.17%,-22.92%,18.50%,-51.24%,-32.02%,-44.83%,-41.22%,-11.42%,-18.55%,81.25%,62.40%,92.03%,28.58%,6.67%,-,-,-,-
34,Free Cash Flow,1118,981.74,-210.81,1661,1054,722.43,1248,347.59,1599,184.44,2005,1846,1182,1562,897.68,-756.7,-142.9,731.18,731.18
35,Free Cash Flow Per Share,0.71,0.61,-0.13,1.05,0.67,0.45,0.79,0.22,1.00,0.12,1.27,1.15,0.76,1.07,0.63,-0.53,-0.10,0.51,0.51
36,Dividend Per Share,-,0.389,-,-,-,-,-,0.350,-,-,-,0.690,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,-,-,-,-,-49.28%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,20.32%,20.87%,15.84%,21.67%,15.69%,22.29%,25.68%,20.31%,27.67%,28.45%,33.16%,29.12%,29.90%,24.41%,26.35%,25.54%,22.21%,29.20%,29.20%
39,Operating Margin,19.70%,18.16%,13.99%,20.19%,12.54%,20.59%,25.72%,15.38%,25.41%,25.16%,32.04%,25.44%,28.49%,22.83%,23.67%,21.55%,19.15%,26.26%,26.26%
40,Profit Margin,12.36%,11.35%,11.27%,12.88%,8.11%,10.63%,16.64%,11.95%,13.53%,15.00%,20.78%,16.85%,18.19%,15.01%,15.04%,14.47%,13.77%,17.21%,17.21%
41,Free Cash Flow Margin,17.50%,16.19%,-4.04%,26.00%,21.70%,15.05%,27.27%,5.99%,26.38%,3.69%,30.32%,25.88%,23.81%,27.83%,19.88%,-16.67%,-4.57%,19.64%,19.64%
42,EBITDA,1361,1187,833.03,1392,710.78,1098,1279,994.43,1645,1357,2223,1919,1505,1371,1157,1039,653.05,1032,1032
43,EBITDA Margin,21.30%,19.59%,15.95%,21.78%,14.64%,22.87%,27.95%,17.14%,27.14%,27.17%,33.62%,26.90%,30.30%,24.43%,25.62%,22.90%,20.89%,27.73%,27.73%
44,D&A For EBITDA,102.13,86.65,102.13,102.13,101.96,109.32,101.96,101.96,104.34,100.25,104.34,104.34,90.15,90.15,88.03,61.13,54.41,54.41,54.41
45,EBIT,1258,1101,730.9,1290,608.82,988.46,1177,892.48,1540,1257,2118,1814,1415,1281,1069,978.13,598.63,977.78,977.78
46,EBIT Margin,19.70%,18.16%,13.99%,20.19%,12.54%,20.59%,25.72%,15.38%,25.41%,25.16%,32.04%,25.44%,28.49%,22.83%,23.67%,21.55%,19.15%,26.26%,26.26%
47,Effective Tax Rate,24.88%,27.31%,7.00%,26.10%,22.26%,19.44%,25.35%,25.55%,24.94%,24.43%,25.10%,26.32%,24.90%,24.96%,25.25%,25.26%,25.16%,25.10%,25.10%
48,Revenue as Reported,6388,6062,5224,6390,4856,4800,4575,5803,6060,4995,6612,7134,4967,5611,4516,4539,3126,3723,3723
