,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,22258,29338,32307,27290,23464,19400,20638,24147,24226,25210,31434,30640,34736,31243,37577,-,-,-,-,-
1,Market Cap Growth,51.23%,51.23%,56.54%,13.02%,-3.15%,-23.05%,-34.34%,-21.19%,-30.26%,-19.31%,-16.35%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,21443,29370,32909,29526,25700,20868,19631,20153,20232,20270,23522,24703,28799,26907,36968,-,-,-,-,-
3,Last Close Price,14.02,18.06,19.88,16.80,14.44,11.94,12.70,14.49,14.53,15.12,18.86,17.83,20.21,18.18,21.86,-,-,-,-,-
4,PE Ratio,7.70,10.15,12.95,11.78,9.43,8.22,7.41,7.99,6.66,6.08,7.43,7.09,9.58,10.14,14.41,-,-,-,-,-
5,Forward PE,6.70,8.57,9.47,9.63,9.38,7.52,7.32,6.06,6.09,5.75,7.11,6.25,12.93,12.36,14.37,-,-,-,-,-
6,PS Ratio,0.93,1.22,1.43,1.28,1.14,0.97,0.97,1.13,1.03,1.02,1.33,1.26,1.56,1.59,2.11,-,-,-,-,-
7,PB Ratio,1.27,1.52,1.75,1.55,1.38,1.21,1.32,1.55,1.65,1.77,2.37,2.28,2.93,2.96,3.95,-,-,-,-,-
8,P/TBV Ratio,1.71,1.71,1.97,1.74,1.55,1.36,1.48,1.73,1.84,2.02,2.69,2.55,3.26,3.31,4.41,-,-,-,-,-
9,P/FCF Ratio,6.27,8.26,9.27,-,5.01,5.75,5.27,7.15,5.86,4.47,6.02,4.65,6.33,10.83,24.09,-,-,-,-,-
10,P/OCF Ratio,6.89,6.89,7.93,-,4.48,5.12,4.52,5.96,4.47,3.67,5.01,4.04,5.91,7.03,11.44,-,-,-,-,-
11,PEG Ratio,1.02,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.55,-,-,-,-,-,-
12,EV/Sales Ratio,0.89,1.22,1.46,1.39,1.25,1.04,0.92,0.94,0.86,0.82,0.99,1.02,1.30,1.37,2.08,-,-,-,-,-
13,EV/EBITDA Ratio,3.78,6.15,7.98,7.32,5.74,5.11,3.91,3.82,3.25,2.84,3.36,3.52,4.84,5.31,8.76,-,-,-,-,-
14,EV/EBIT Ratio,5.12,6.71,8.82,8.16,6.32,5.69,4.27,4.14,3.48,3.01,3.56,3.73,5.16,5.67,9.42,-,-,-,-,-
15,EV/FCF Ratio,6.04,8.27,9.44,-,5.49,6.19,5.01,5.97,4.89,3.60,4.51,3.75,5.25,9.33,23.70,-,-,-,-,-
16,Debt / Equity Ratio,0.34,0.34,0.39,0.44,0.49,0.56,0.55,0.49,0.55,0.38,0.31,0.16,0.15,0.14,0.21,0.34,0.01,-,-,-
17,Debt / EBITDA Ratio,1.17,1.22,1.07,2.36,0.85,3.18,1.35,1.50,1.16,0.81,0.58,0.24,0.16,0.25,0.29,0.46,0.01,-,-,-
18,Debt / FCF Ratio,1.87,1.87,2.07,-,1.79,2.68,2.20,2.28,1.95,0.95,0.78,0.32,0.32,0.52,1.30,2.89,-,-,-,-
19,Asset Turnover,0.89,0.86,0.73,0.89,0.70,0.71,0.70,0.92,1.06,0.95,1.35,1.63,1.22,1.63,1.73,-,-,-,-,
20,Inventory Turnover,758.01,803.39,800.58,660.51,640.31,484.92,424.10,396.40,513.81,476.66,389.51,477.80,584.15,470.51,601.40,464.37,-,-,-,-
21,Quick Ratio,2.85,2.85,2.71,2.42,2.01,1.89,2.05,2.13,2.02,2.34,2.44,2.71,2.66,2.36,2.32,1.42,1.72,-,-,-
22,Current Ratio,2.97,2.97,2.76,2.53,2.08,1.98,2.11,2.18,2.06,2.36,2.48,2.75,2.69,2.41,2.34,1.53,1.80,-,-,-
23,Return on Equity (ROE),19.10%,17.43%,15.40%,22.99%,10.99%,14.86%,23.55%,23.08%,27.65%,27.35%,50.47%,50.70%,41.73%,49.78%,52.14%,-,-,-,-,
