,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,9255,8881,8850,9243,8194,8523,9989,9533,9226,8745,9313,9523,8232,7023,3239,2480,-,-,-
1,Trading Asset Securities,-,-,-,-,-,-,-,-,1501,1505,1800,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,9255,8881,8850,9243,8194,8523,9989,9533,10727,10249,11113,9523,8232,7023,3239,2480,-,-,2516
3,Cash Growth,12.95%,4.20%,-11.41%,-3.05%,-23.61%,-16.85%,-10.11%,0.11%,30.30%,45.95%,243.11%,284.06%,-,-,28.75%,-,-,-,-
4,Accounts Receivable,2508,2553,2123,1733,2094,2028,1976,1982,1832,2130,2263,2220,2025,1778,1785,1723,-,-,-
5,Other Receivables,197.4,149.99,199.81,217.63,368.04,168.38,268.94,155,216.04,130.3,158.89,131.74,156.54,308.35,43.43,166.86,-,-,-
6,Receivables,2705,2703,2323,1951,2462,2196,2245,2137,2048,2260,2422,2352,2181,2086,1829,1890,-,-,-
7,Inventory,22.18,28.5,19.43,33.82,28.71,38.83,31.54,37.09,34.91,38.66,34.75,39.25,30,29.19,27.23,30.06,-,-,-
8,Other Current Assets,484.82,224.19,456.68,355.59,477.66,278.6,227.76,217.34,103.96,182.89,169.31,91.43,170.13,59.68,365.45,171.72,-,-,-
9,Total Current Assets,12467,11836,11649,11583,11162,11036,12493,11924,12913,12731,13740,12005,10614,9198,5461,4571,-,-,-
10,"Property, Plant & Equipment",14227,14485,14786,15426,15901,15080,12530,12754,10456,7382,6246,5047,5275,5455,5353,3521,-,-,-
11,Long-Term Investments,320.05,224.08,62.63,62.95,62.57,63.62,65.28,30.92,28.61,28.71,28.83,28.96,29.19,29.08,29.42,29.61,-,-,-
12,Other Intangible Assets,341.64,343.48,338.38,299.13,324,316.24,320.13,323.28,319.41,319.82,325.3,331.26,336.69,341.23,344.02,350.46,-,-,-
13,Long-Term Deferred Tax Assets,258.5,225.86,218.95,188.01,153.83,142.38,90.03,84.68,48.6,53.69,38.78,40.77,49.48,49.48,41.08,3.1,-,-,-
14,Long-Term Deferred Charges,554.63,533.06,529.29,495.48,469.35,478.1,492.66,492.31,507.27,494.53,507.79,484.71,467.14,476.53,478.51,482.36,-,-,-
15,Other Long-Term Assets,813.08,759.2,636.41,694.04,359.46,329.1,315.81,458.77,355.61,243.01,116.91,98.66,174.58,130.7,138.38,138.44,-,-,-
16,Total Assets,28982,28407,28220,28748,28433,27446,26307,26068,24629,21252,21003,18037,16946,15680,11845,9096,-,-,-
17,Accounts Payable,1546,709.92,1425,1119,1704,650.38,1221,455.21,1179,920.61,1845,673,1570,1549,1313,787.65,-,-,-
18,Accrued Expenses,252.46,1038,312.58,1131,477.87,1194,606.54,1333,561.75,1135,472.42,1080,1602,837.79,395.06,1065,-,-,-
19,Short-Term Debt,-,-,-,-,-,-,542.86,557.89,575.08,615.42,70.49,60.49,45.49,0.51,-,-,-,-,-
20,Current Portion of Leases,1325,1672,2042,2328,2430,2178,2319,2078,-,926.08,-,466.54,-,625.31,635.58,28.52,-,-,-
21,Current Income Taxes Payable,399.66,175.42,98.73,371.39,153.63,190.36,351.96,333.47,624.33,328.76,1009,838.2,379.99,334.84,480.55,240.53,-,-,-
22,Current Unearned Revenue,183.26,114.15,147.35,79.51,96.42,70.38,46.34,68.24,89.08,156,346.25,161.68,333.73,134.7,112.43,56.94,-,-,-
23,Other Current Liabilities,487.73,572.37,584.46,542.37,777.91,947.41,644.2,956.67,2438,1052,1260,1186,481.71,441.04,622.02,363.09,-,-,-
24,Total Current Liabilities,4194,4282,4611,5571,5640,5230,5732,5783,5467,5133,5003,4466,4413,3923,3559,2542,-,-,-
25,Long-Term Leases,5304,5539,5806,6038,6599,6453,4828,5427,4777,2516,2044,1215,1454,1409,1473,-,-,-,-
26,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,3.03,3.04,3.08,3.13,-,-,-
27,Other Long-Term Liabilities,-,-,-,-,-,-,4.05,4.05,4.05,165.99,327.4,325.05,322.55,642.85,482.33,661.14,-,-,-
28,Total Liabilities,9658,9984,10573,11769,12405,11853,10731,11383,10423,7995,7562,6190,6382,6164,5708,3401,-,-,-
29,Common Stock,1588,1588,1588,1588,1588,1588,1588,1588,1588,1588,1588,1588,1588,1588,1429,1429,-,-,-
30,Additional Paid-In Capital,3663,3663,3663,3663,3663,3663,3663,3663,3663,3663,3663,3663,3663,3663,1416,1416,-,-,-
31,Retained Earnings,12378,11588,10900,10311,9488,9094,9140,8378,7685,6865,7211,5837,4619,3715,2873,2485,-,-,-
32,Comprehensive Income & Other,-116.61,-116.68,-108.23,-108.41,-110.94,-111.14,-105.36,-105.53,-109.48,-109.71,-107.68,-107.93,-101.98,-102.21,-101.44,-101.72,-,-,-
33,Total Common Equity,17512,16722,16042,15453,14627,14234,14285,13523,12826,12005,12354,10980,9767,8863,5616,5228,-,-,3373
34,Minority Interest,1812,1701,1604,1526,1401,1360,1292,1162,1381,1251,1088,866.73,796.06,652.31,520.44,467.13,-,-,-
35,Shareholders' Equity,19324,18423,17646,16980,16028,15593,15576,14685,14206,13257,13442,11846,10563,9516,6137,5695,-,-,3492
