,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,122.24,176.95,191.43,211.22,161.41,74.33,226.99,329.24,197.49,143.08,220.62,186.59,47.61,59.02,-,59.89
1,Trading Asset Securities,0.12,0.1,0.08,0.09,50.09,110.09,0.1,0.1,150.14,225.14,175.11,245.16,-,-,-,-
2,Cash & Short-Term Investments,122.35,177.05,191.51,211.31,211.5,184.42,227.09,329.34,347.63,368.22,395.73,431.75,47.61,59.02,59.89,59.89
3,Cash Growth,-42.15%,-4.00%,-15.67%,-35.84%,-39.16%,-49.91%,-42.62%,-23.72%,630.09%,523.85%,560.80%,620.95%,-,-,-,-
4,Accounts Receivable,280.49,284.12,308.54,329.6,254.26,253.31,232.99,192.35,186.67,195.55,230.13,264.98,153.1,244.37,-,261.14
5,Other Receivables,0.37,0.21,2.75,0.24,0.75,4.75,5.98,5.55,6.03,5.23,6.04,0.11,82.23,0.04,-,4.32
6,Receivables,280.86,284.33,311.29,329.84,255.01,258.06,238.97,197.9,192.7,200.77,236.17,265.08,235.34,244.41,-,265.46
7,Inventory,186.03,177.23,179.87,181.29,176.71,175.04,188.7,197.63,206.45,216.68,210.46,206.68,183.61,161.44,-,135.25
8,Other Current Assets,5.95,4.93,5.2,6.19,4.49,4.81,2.21,3.88,4.03,4.8,3.56,2.48,3.69,2.44,-,1.59
9,Total Current Assets,595.2,643.54,687.87,728.63,647.7,622.34,656.98,728.74,750.81,790.47,845.91,905.98,470.25,467.31,-,462.18
10,"Property, Plant & Equipment",760.46,769.05,782.04,782.03,743.72,750.34,704.26,709.44,658.72,605.07,549.39,512.56,425.25,422.79,-,380.45
11,Long-Term Investments,76.63,73.55,71.21,69.97,65.58,63.98,62.86,62.01,61.36,61.24,4.8,4.84,4.88,5.05,-,5.26
12,Other Intangible Assets,95.09,94.88,95.11,93.87,94.61,95.33,95.47,96.19,96.9,97.62,98.34,98.56,77.66,37.78,-,37.69
13,Long-Term Deferred Tax Assets,14.98,14.79,12.95,12.72,15.76,16.01,13.99,12.62,10.22,8.13,4.95,3.64,3.34,3.95,-,3.82
14,Long-Term Deferred Charges,0.24,0.27,0.74,0.31,0.33,0.36,0.38,0.4,-,-,-,-,0.95,-,-,-
15,Other Long-Term Assets,14.35,7.58,2.79,7.83,17.05,9.55,29.38,12.84,9.87,33.15,84.3,12.78,99.83,95.29,-,95.47
16,Total Assets,1557,1604,1653,1695,1585,1558,1563,1622,1588,1596,1588,1538,1082,1032,-,984.87
