,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,2743,2135,2130,2266,2728,2529,2365,2501,2193,2255,2920,2986,4260,-,-,-,-
1,Market Cap Growth,-15.60%,-15.60%,-9.94%,-9.40%,24.38%,12.18%,-19.01%,-16.23%,-48.52%,-,-,-,-,-,-,-,-
2,Enterprise Value,2651,1990,2008,2130,2591,2439,2232,2309,2000,2031,2631,3155,4428,-,-,-,-
3,Last Close Price,18.78,14.52,14.11,14.99,18.04,16.73,15.64,16.33,14.32,14.72,19.06,19.29,27.52,-,-,-,-
4,PE Ratio,52.17,40.19,36.19,39.93,59.47,83.40,133.22,174.25,104.95,72.28,61.76,39.20,42.99,-,-,-,-
5,PS Ratio,4.34,3.34,3.30,3.54,4.45,4.45,4.26,4.88,4.23,4.37,5.74,5.21,7.15,-,-,-,-
6,PB Ratio,2.17,1.69,1.68,1.72,2.10,1.97,1.87,1.94,1.71,1.75,2.28,2.28,3.29,-,-,-,-
7,P/TBV Ratio,1.82,1.82,1.81,1.86,2.26,2.13,2.02,2.09,1.84,1.90,2.47,2.47,3.56,-,-,-,-
8,P/FCF Ratio,91.18,70.95,32.63,-,-244.80,-68.83,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,29.49,29.49,18.17,21.40,29.99,27.52,46.10,-,22.51,28.85,30.96,29.95,42.53,-,-,-,-
10,EV/Sales Ratio,4.15,3.12,3.11,3.32,4.23,4.29,4.02,4.51,3.86,3.94,5.18,5.50,7.43,-,-,-,-
11,EV/EBITDA Ratio,27.11,20.45,20.10,20.40,29.51,34.56,40.13,46.50,35.69,29.16,29.56,25.24,29.03,-,-,-,-
12,EV/EBIT Ratio,69.48,52.17,-,41.97,73.10,124.64,364.94,1181.34,-,81.23,58.27,38.11,39.86,-,-,-,-
13,EV/FCF Ratio,88.10,66.15,30.77,-,-232.55,-66.37,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.03,0.05,0.07,0.06,0.07,0.07,0.12,0.12,0.11,0.08,0.04,0.30,0.27,0.29,0.29
15,Debt / EBITDA Ratio,0.32,0.27,0.57,0.49,1.18,0.60,1.21,1.21,61.46,2.31,2.67,1.03,0.85,1.50,0.94,0.87,1.13
16,Debt / FCF Ratio,1.03,1.03,0.52,-,-7.60,-2.06,-,-,-,-,-,-,-,-,2.58,-,4.41
17,Asset Turnover,0.37,0.37,0.38,0.45,0.39,0.37,0.33,0.35,0.35,0.26,0.35,0.42,0.50,-,-,-,
18,Inventory Turnover,2.41,1.97,2.49,2.21,3.08,2.33,2.31,1.97,2.27,1.96,1.50,1.74,1.96,1.97,-,-,-
19,Quick Ratio,1.61,1.61,1.56,1.69,1.52,1.80,1.73,1.95,1.73,1.99,2.00,2.40,3.03,0.80,0.93,-,1.10
20,Current Ratio,2.37,2.37,2.18,2.32,2.05,2.50,2.44,2.75,2.40,2.77,2.77,3.21,3.94,1.33,1.44,-,1.56
21,Return on Equity (ROE),3.39%,2.54%,5.26%,4.95%,5.15%,1.88%,2.00%,0.19%,1.22%,0.86%,4.04%,4.41%,11.38%,18.83%,22.07%,-,
22,Return on Assets (ROA),2.44%,-0.49%,3.35%,0.53%,3.08%,0.88%,1.11%,-1.93%,0.92%,0.21%,2.40%,0.53%,6.16%,-,-,-,
23,Return on Capital (ROIC),2.97%,-0.59%,4.04%,0.64%,3.55%,1.00%,1.26%,-2.15%,1.03%,0.24%,2.72%,0.60%,7.16%,11.33%,12.96%,-,
24,Return on Capital Employed (ROCE),2.92%,2.92%,-,3.74%,2.64%,1.48%,0.47%,0.15%,-,1.90%,3.45%,6.25%,8.49%,19.11%,16.02%,-,4.50%
25,Earnings Yield,1.94%,2.49%,2.76%,2.50%,1.68%,1.20%,0.75%,0.57%,0.95%,1.38%,1.62%,2.55%,2.33%,-,-,-,-
26,FCF Yield,1.10%,1.41%,3.06%,1.27%,-0.41%,-1.45%,-4.43%,-5.18%,-5.38%,-4.65%,-3.28%,-1.08%,-0.07%,-,-,-,-
27,Dividend Yield,1.70%,-,2.98%,-,1.94%,-,-,-,1.47%,-,-,-,0.74%,-,-,-,-
28,Payout Ratio,100.97%,472.85%,10.98%,3.39%,3.66%,4.22%,507.03%,19.16%,185.18%,37.99%,1087.21%,5.46%,21.73%,110.40%,7.32%,6.59%,8.74%
29,Buyback Yield / Dilution,3.13%,1.63%,8.17%,-10.33%,10.55%,-12.53%,-6.05%,9.48%,-38.21%,-25.04%,-32.74%,-33.76%,-10.13%,-,-,-,-
30,Total Shareholder Return,4.82%,1.63%,11.15%,-10.33%,12.49%,-12.53%,-6.05%,9.48%,-36.74%,-25.04%,-32.74%,-33.76%,-9.38%,-,-,-,-
