,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,149.04,148.31,158.11,178.62,155.69,143.58,130,133.79,142.81,100.51,135.86,129.35,137.13,163.55,157.97,162.37
1,Other Revenue,-2.48,2.48,-,4.6,-1.75,1.75,-,5.11,-2.25,2.25,-,7.6,-4.42,4.42,-,6.63
2,Revenue,146.57,150.78,158.11,183.22,153.95,145.33,130,138.9,140.56,102.76,135.86,136.95,132.71,167.96,157.97,169
3,Revenue Growth (YoY),-4.79%,3.75%,21.62%,31.91%,9.52%,41.43%,-4.31%,1.42%,5.92%,-38.82%,-14.00%,-18.96%,-,-,-,-
4,Cost of Revenue,89.24,110.99,99.61,137.7,102.38,105.15,95.03,114.6,103.64,80.08,90.97,95.82,85.15,101.77,88.61,107.5
5,Gross Profit,57.32,39.8,58.5,45.52,51.56,40.18,34.98,24.29,36.92,22.68,44.88,41.13,47.56,66.19,69.36,61.5
6,"Selling, General & Admin",31.25,31.27,24.92,29.61,22.87,24.61,17.01,20.78,22.38,18.93,18.71,27,15.95,16.45,15.73,12.72
7,Research & Development,8.47,8.96,9.79,9.64,9.7,8.19,8.18,7.13,7.49,8.2,10.03,8.56,8.95,8.6,8.67,6.96
8,Other Operating Expenses,2.67,2.44,2.35,2.31,-0.2,1.73,1.39,8.05,0.27,-4.38,1.08,2.49,1.13,1.48,1.48,10.56
9,Operating Expenses,41.92,42.96,36.1,42.03,32.22,34.67,27.87,36.67,31.04,21.34,29.86,38.38,21.53,27.23,26.01,30.46
10,Operating Income,15.41,-3.17,22.41,3.5,19.34,5.5,7.1,-12.38,5.88,1.34,15.03,2.75,26.04,38.96,43.35,31.04
11,Interest Expense,-0.07,-,-3.37,-0.73,-0.6,-0.94,-1.09,-1.63,-1.42,-1.35,-0.79,-2.49,-2.01,-2.29,-2.34,-2.73
12,Interest & Investment Income,3.34,4.4,1.34,2.22,2.52,2.34,0.28,3.13,1.18,1.5,0.74,0.33,0.02,0.05,0.04,0.02
13,Earnings From Equity Investments,-,-1.24,1.24,-,-,-0.85,0.85,-,-,-,-,-,-,-,-,-
14,Currency Exchange Gain (Loss),0.42,-0.42,-,0.56,-0.51,0.51,-,0.27,0.07,-0.07,-,0.32,-0.28,0.28,-,0.01
15,Other Non Operating Income (Expenses),-0.09,-1.29,1.23,-3.99,4.79,-0.85,-0.12,0.28,0.02,-0.13,-0.29,0.48,-0.25,0.25,-0.06,2.51
16,EBT Excluding Unusual Items,19.01,-1.72,22.84,1.56,25.54,5.71,7.02,-10.33,5.73,1.29,14.68,1.39,23.52,37.25,40.99,30.85
17,Gain (Loss) on Sale of Investments,0.02,0.02,-0.01,-0,0,-0.01,-0,-0.04,-,0.03,-0.05,-0.35,-0.33,-0.46,-0.24,0.06
18,Gain (Loss) on Sale of Assets,0.03,-0,0.14,-,0.01,-0,-,0.01,-0.01,-0.15,0.03,-0.08,0.07,-0.08,-0.05,-0.49
19,Asset Writedown,-9.43,6.04,-6.04,6.71,-7.42,1.28,-1.28,1.55,-1.57,0.48,-0.48,1.29,-1.29,0.57,-0.57,1.67
20,Other Unusual Items,1.4,2.81,1.63,10.36,-0.29,0.29,-,7.63,-0.07,0.07,-,9.9,0.12,-0.12,-,7.85
21,Pretax Income,11.03,7.15,18.56,18.63,17.84,7.28,5.73,-1.18,4.07,1.72,14.19,12.14,22.09,37.16,40.14,39.94
22,Income Tax Expense,0.3,-1.06,1.35,2.65,1.42,1.26,-0.71,-1.78,0.16,-1.05,1.03,1.04,1.94,5.41,4.24,7.09
23,Earnings From Continuing Operations,10.73,8.21,17.2,15.98,16.42,6.02,6.44,0.6,3.92,2.78,13.15,11.1,20.14,31.75,35.9,32.85
24,Minority Interest in Earnings,0.17,0.16,0.31,0.36,0.21,0.26,0.18,0.2,0.14,0.11,-,-,-,0.03,0.16,-
25,Net Income,10.9,8.37,17.51,16.34,16.63,6.28,6.61,0.8,4.05,2.88,13.15,11.1,20.14,31.78,36.05,32.85
26,Net Income to Common,10.9,8.37,17.51,16.34,16.63,6.28,6.61,0.8,4.05,2.88,13.15,11.1,20.14,31.78,36.05,32.85
27,Net Income Growth,-34.47%,33.28%,164.80%,1932.01%,310.32%,117.70%,-49.71%,-92.76%,-79.88%,-90.92%,-63.52%,-66.20%,-,-,-,-
