,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,653.61,661.38,693.08,593.43,793.75,653.08,760.21,733.77,618.18,835.38,676.12,649.89,649.89,347.45,347.45
1,Other Revenue,-55.61,55.61,-,87.09,-45.87,45.87,-,72.68,-33.21,33.21,-,16.31,16.31,13.96,13.96
2,Revenue,598,716.99,693.08,680.52,747.88,698.95,760.21,806.45,584.97,868.59,676.12,666.21,666.21,361.42,361.42
3,Revenue Growth (YoY),-20.04%,2.58%,-8.83%,-15.62%,27.85%,-19.53%,12.44%,21.05%,-12.19%,140.33%,87.08%,-,-,-,-
4,Cost of Revenue,396.48,457.37,423.87,405.99,464.13,475.75,475.86,581.99,375.32,542.33,452.99,449.31,449.31,269.73,269.73
5,Gross Profit,201.52,259.62,269.21,274.53,283.75,223.2,284.35,224.46,209.65,326.26,223.14,216.9,216.9,91.69,91.69
6,"Selling, General & Admin",66.05,78.33,69.78,69.85,94.15,77.29,74.14,82.82,70.19,71.59,69.6,79.77,79.77,49.74,49.74
7,Research & Development,31.82,20.88,19.95,25.38,38.18,26.73,18.48,23.81,26.12,21.91,22.63,20,20,11.91,11.91
8,Other Operating Expenses,-4.82,18.71,7.44,31.78,14.45,2.03,12.18,25.93,11.78,13.47,10.65,12.18,12.18,6.85,6.85
9,Operating Expenses,93.18,116.49,97.55,126.55,147.21,104.6,107.1,135,104.75,107.41,103.93,117.91,110.2,69.78,69.78
10,Operating Income,108.34,143.13,171.65,147.98,136.54,118.61,177.25,89.46,104.9,218.84,119.2,98.99,106.7,21.91,21.91
