,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,1232,1273,1476,1685,1787,1745,255.55,295.19,-,304.48,-,208.85,208.85,147.73,147.73
1,Trading Asset Securities,-,-,-,-,-,-,-,-,-,22.47,-,22.23,22.23,21.64,21.64
2,Cash & Short-Term Investments,1232,1273,1476,1685,1787,1745,255.55,295.19,-,326.95,231.08,231.08,231.08,169.37,169.37
3,Cash Growth,-31.05%,-27.08%,477.43%,470.80%,-,433.80%,10.59%,27.75%,-,93.04%,36.44%,-,-,-,-
4,Accounts Receivable,404.87,501.69,526.65,382.67,526.37,686.15,613.11,527.73,-,837.7,-,659.3,659.3,481.95,481.95
5,Other Receivables,5.05,2.13,4.79,1.29,4.76,7.3,6.09,2.37,-,2.45,-,-0.66,-0.66,2.64,2.64
6,Receivables,409.92,503.83,531.45,383.96,531.13,693.44,619.2,530.1,-,840.15,-,658.64,658.64,484.59,484.59
7,Inventory,138.2,128.51,139.57,108.5,106.69,143.8,148.64,129.25,-,144.63,-,165.68,165.68,109.99,109.99
8,Prepaid Expenses,-,0.26,-,0.26,-,0.18,-,0.14,-,0.19,-,0.11,0.11,0.22,0.22
9,Other Current Assets,30.95,59.82,28.49,25.26,14.98,26.16,17.22,23.48,-,21.37,-,28.05,28.05,34.31,34.31
10,Total Current Assets,1811,1965,2175,2203,2440,2609,1041,978.15,-,1333,-,1084,1084,798.48,798.48
11,"Property, Plant & Equipment",3165,3077,2937,2824,2633,2488,2412,2436,-,2432,-,2412,2412,2375,2375
12,Goodwill,9.31,9.31,9.31,9.31,9.31,9.31,9.31,9.31,-,9.31,-,9.31,9.31,9.31,9.31
13,Other Intangible Assets,482.99,492.19,499.37,504.9,474.11,495.3,503.11,510.17,-,478.53,-,475.83,475.83,492.24,492.24
14,Long-Term Deferred Tax Assets,21.07,24.14,22.57,24.04,16.43,16.17,14.64,20.55,-,18.55,-,18.5,18.5,18.03,18.03
15,Long-Term Deferred Charges,0.08,0.16,0.24,0.32,0.6,0.76,0.92,0.63,-,0.79,-,0.61,0.61,0.67,0.67
16,Other Long-Term Assets,129.95,145.37,146.5,170.9,192.44,194.67,123.31,114.52,-,62.99,-,72.84,72.84,54.39,54.39
17,Total Assets,5620,5713,5790,5736,5766,5813,4104,4069,-,4335,-,4073,4073,3748,3748
18,Accounts Payable,532.59,585.96,487.73,475.2,386.15,415.36,340.98,300.61,-,373.42,-,300.19,300.19,329.47,329.47
19,Accrued Expenses,92.09,125.35,74.99,86.33,105.74,109.07,60.39,66.46,-,113.54,-,66.52,66.52,56.98,56.98
20,Short-Term Debt,-,-,30.02,123.1,174.14,228.18,144.09,393.4,-,462.5,-,431.68,431.68,420.4,420.4
21,Current Portion of Long-Term Debt,6.04,3.5,12.05,6.5,7.5,69.75,99.46,95.5,-,-,-,133,-,62.19,62.19
22,Current Portion of Leases,-,5.13,-,9.78,-,-,-,-,-,-,-,-,-,-,-
23,Current Income Taxes Payable,54.9,19.02,53.6,25.24,47.47,17.4,61.08,12.79,-,39.87,-,20.34,20.34,3.35,3.35
24,Current Unearned Revenue,104.24,98.36,86.97,107.52,103.43,96.44,116.47,104.94,-,38.08,-,44.95,44.95,28.01,28.01
