,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,5624,6241,5573,6704,7353,7585,8632,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-17.71%,-17.71%,-35.44%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4485,5122,4285,5468,6117,6530,9101,-,-,-,-,-,-,-,-,-
3,Last Close Price,8.75,9.71,8.67,10.05,11.02,11.37,12.94,-,-,-,-,-,-,-,-,-
4,PE Ratio,11.23,12.56,10.56,13.53,14.85,17.43,21.68,-,-,-,-,-,-,-,-,-
5,PS Ratio,2.08,2.32,1.96,2.38,2.55,2.52,3.03,-,-,-,-,-,-,-,-,-
6,PB Ratio,1.32,1.44,1.32,1.55,1.76,1.88,2.21,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,1.66,1.66,1.52,1.79,2.04,2.17,2.57,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,23.06,25.59,15.06,-,16.64,23.72,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,6.13,6.13,5.22,6.77,7.00,9.16,11.52,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.67,1.91,1.51,1.94,2.12,2.17,3.19,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,5.41,6.19,5.00,6.52,7.23,8.28,12.16,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,7.85,8.97,7.15,9.51,10.54,12.51,18.56,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,18.39,21.01,11.58,-,13.85,20.42,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.02,0.03,0.07,0.12,0.16,0.29,0.36,-,0.43,0.66,0.66,0.59,0.79,0.79
15,Debt / EBITDA Ratio,0.03,0.04,0.11,0.13,0.32,0.61,0.86,0.68,1.22,-,0.77,1.64,1.78,1.50,4.27,4.27
16,Debt / FCF Ratio,0.11,0.11,0.25,-,0.63,1.56,-,1.30,1.64,-,2.05,7.61,13.93,168.38,-,-
17,Asset Turnover,0.42,0.50,0.48,0.47,0.52,0.56,0.74,-,-,-,-,0.65,0.68,0.39,-,
18,Inventory Turnover,13.75,11.89,13.65,13.67,15.09,14.82,13.01,13.70,-,-,-,-,10.85,13.04,9.81,-
19,Quick Ratio,1.38,1.38,1.36,1.56,1.56,1.76,1.67,0.68,0.54,-,0.64,-,0.54,0.54,0.51,0.51
20,Current Ratio,1.52,1.52,1.50,1.69,1.66,1.85,1.78,0.81,0.64,-,0.73,-,0.66,0.66,0.62,0.62
21,Return on Equity (ROE),8.43%,12.61%,13.74%,14.19%,12.23%,13.06%,25.92%,-,-,39.26%,19.93%,18.10%,18.96%,3.97%,-,
22,Return on Assets (ROA),4.78%,6.22%,7.45%,6.43%,5.90%,5.98%,10.84%,-,-,-,-,6.08%,6.82%,1.46%,-,
23,Return on Capital (ROIC),6.24%,8.15%,9.64%,8.24%,7.52%,7.87%,14.96%,-,-,18.91%,10.29%,8.75%,9.53%,1.93%,-,
24,Return on Capital Employed (ROCE),12.89%,12.89%,13.60%,12.77%,13.17%,11.74%,11.27%,20.93%,20.98%,-,21.59%,-,10.29%,6.21%,1.78%,0.89%
25,Earnings Yield,8.83%,7.96%,9.47%,7.39%,6.73%,5.74%,4.61%,-,-,-,-,-,-,-,-,-
26,FCF Yield,4.34%,3.91%,6.64%,4.59%,6.01%,4.22%,3.13%,-,-,-,-,-,-,-,-,-
27,Dividend Yield,4.01%,-,-,-,3.18%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,49.08%,1.02%,173.10%,1.31%,11.29%,4.73%,49.74%,5.96%,4.99%,13.76%,6.31%,13.93%,19.83%,19.83%,74.78%,74.78%
29,Buyback Yield / Dilution,-15.25%,2.13%,-8.73%,-32.14%,-29.13%,-34.01%,-24.64%,0.95%,-9.96%,-5.93%,5.49%,4.13%,-,-,-,-
30,Total Shareholder Return,-11.24%,2.13%,-8.73%,-32.14%,-25.96%,-34.01%,-24.64%,0.95%,-9.96%,-5.93%,5.49%,4.13%,-,-,-,-
