,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,187,245,195,261,913,1299,1755,1780,2034,-,-
1,Market Cap Growth,-6.35%,-6.35%,-78.64%,-79.87%,-47.99%,-27.04%,-13.67%,-,-,-,-
2,Enterprise Value,-271,-390,-186,-269,178,483,1131,837,1627,-,-
3,Last Close Price,0.45,0.59,0.47,0.63,2.20,3.13,4.23,4.23,4.83,-,-
4,PE Ratio,-,-41.07,-,3.20,8.78,8.07,11.18,13.93,24.55,-,-
5,Forward PE,-,4.53,4.53,4.53,4.53,6.21,6.58,8.27,12.55,-,-
6,PS Ratio,0.18,0.23,0.17,0.22,0.73,0.96,1.27,1.52,2.23,-,-
7,PB Ratio,0.19,0.24,0.20,0.26,0.91,1.26,1.76,1.88,2.38,-,-
8,P/TBV Ratio,0.34,0.34,0.28,0.36,1.32,2.15,3.26,4.07,2.76,-,-
9,P/FCF Ratio,2.19,-,1.54,-,-,-,7.39,15.42,10.53,-,-
10,P/OCF Ratio,2.62,-,1.44,-,-,-,7.08,13.44,10.00,-,-
11,PEG Ratio,0.08,0.08,0.08,0.08,0.08,0.11,0.12,0.15,0.21,-,-
12,EV/Sales Ratio,-,-,-,-,0.14,0.36,0.82,0.71,1.78,-,-
13,EV/EBITDA Ratio,-,-,-,-,1.12,1.89,4.45,3.97,12.10,-,-
14,EV/EBIT Ratio,-,-,-,-,1.36,2.14,5.06,4.41,12.76,-,-
15,EV/FCF Ratio,-3.18,-,-,-,-,-,4.76,7.25,8.42,-,-
16,Debt / Equity Ratio,0.04,0.04,0.05,0.06,0.07,0.07,0.00,0.00,0.00,0.00,-
17,Debt / FCF Ratio,0.52,-,0.41,-,-,-,0.01,0.01,0.01,0.00,-
18,Return on Capital Employed (ROCE),15.78%,15.78%,15.16%,9.74%,12.19%,20.06%,21.53%,19.11%,14.69%,31.04%,34.67%
19,Earnings Yield,-3.19%,-2.43%,6.14%,31.29%,11.39%,12.39%,8.95%,7.18%,4.07%,-,-
20,FCF Yield,45.64%,34.81%,65.13%,-112.19%,-24.17%,11.85%,13.52%,6.49%,9.50%,-,-
21,Buyback Yield / Dilution,-,-,-,-,-,-1.26%,-38.33%,-36.61%,-,-,
22,Total Shareholder Return,-,-,-,-,-,-1.26%,-38.33%,-36.61%,-,-,
