,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,465.33,519.92,543.71,549.23,553.9,600.9,529.08,444.64,323.21,301.46
1,Revenue Growth (YoY),-14.42%,-5.34%,-1.84%,-8.60%,4.69%,35.14%,63.70%,47.50%,60.38%,-
2,Cost of Revenue,337.8,387.88,423.31,443.7,403.05,433.43,376.14,315.26,238.26,224.71
3,Gross Profit,127.54,132.04,120.4,105.53,150.84,167.47,152.94,129.39,84.95,76.75
4,"Selling, General & Admin",31.36,61.06,39.95,76.59,57.16,66.17,69.9,51.27,53.77,31.23
5,Operating Expenses,45.35,59.94,49,79.84,60.03,65.68,72.69,51.98,54.98,31.23
6,Operating Income,82.19,72.11,71.4,25.7,90.82,101.79,80.24,77.41,29.97,45.52
7,Interest Expense,-0.86,-1.1,-1.23,-1.02,-1.76,-,-0.02,-0.02,-0.02,-0.21
8,Interest & Investment Income,-,1.29,-,0.95,-,4.11,-,5.24,-,0.07
9,Currency Exchange Gain (Loss),-,0.95,-,0.65,-,-,-,-,-,-
10,Other Non Operating Income (Expenses),-26.68,4.32,1.99,4.73,4.4,-2.35,3.72,-10.14,2,1.88
11,EBT Excluding Unusual Items,54.65,77.57,72.15,30.99,93.46,103.55,83.94,72.49,31.95,47.26
12,Merger & Restructuring Charges,-,-,-,-,-,-0.56,-,-0.4,-,-
13,Gain (Loss) on Sale of Investments,-,0.02,-,0.01,-,-,-,0.28,-,0.39
14,Gain (Loss) on Sale of Assets,-,0,-,3.48,-,-,-,-,-,-
15,Asset Writedown,-,-,-,-,-,-,-,4.07,-,-
16,Other Unusual Items,-,-110.87,-,-,-,-,-,-,-,-
17,Pretax Income,54.65,-33.27,72.15,34.48,93.46,102.99,83.94,76.44,31.95,47.65
18,Income Tax Expense,14.52,8.22,16.44,14.03,20.05,28.63,19.95,26.52,8.54,13.3
19,Earnings From Continuing Operations,40.13,-41.48,55.72,20.45,73.41,74.36,63.99,49.91,23.4,34.35
20,Minority Interest in Earnings,-3.53,-0.67,-2.7,2.25,-4.11,-6.23,-4.16,-3.48,-0.08,1.99
21,Net Income,36.6,-42.15,53.02,22.69,69.3,68.13,59.83,46.43,23.32,36.34
22,Net Income to Common,36.6,-42.15,53.02,22.69,69.3,68.13,59.83,46.43,23.32,36.34
23,Net Income Growth,-30.96%,-,-23.50%,-66.69%,15.82%,46.73%,156.54%,27.76%,2.65%,-
24,Shares Outstanding (Basic),415,415,415,415,415,415,415,410,300,300
25,Shares Outstanding (Diluted),415,415,415,415,415,415,415,410,300,300
26,Shares Change (YoY),-,-,-,-,-,1.26%,38.33%,36.61%,-,-
27,EPS (Basic),0.09,-0.10,0.13,0.05,0.17,0.16,0.14,0.11,0.08,0.12
28,EPS (Diluted),0.09,-0.10,0.13,0.05,0.17,0.16,0.14,0.11,0.08,0.12
29,EPS Growth,-30.96%,-,-23.50%,-67.70%,15.82%,44.90%,85.45%,-6.48%,2.65%,-
30,Free Cash Flow,-146.26,225.59,-110.28,-161.18,-34.03,165.44,27.97,68.05,94.57,120.02
31,Free Cash Flow Per Share,-0.35,0.54,-0.27,-0.39,-0.08,0.40,0.07,0.17,0.32,0.40
32,Operating Margin,17.66%,13.87%,13.13%,4.68%,16.40%,16.94%,15.17%,17.41%,9.27%,15.10%
33,Profit Margin,7.87%,-8.11%,9.75%,4.13%,12.51%,11.34%,11.31%,10.44%,7.22%,12.05%
34,Free Cash Flow Margin,-31.43%,43.39%,-20.28%,-29.35%,-6.14%,27.53%,5.29%,15.30%,29.26%,39.81%
35,EBITDA,93.85,82.35,83.26,36.01,105.38,113.18,93.9,81.27,31.97,46.84
36,D&A For EBITDA,11.66,10.24,11.87,10.31,14.56,11.39,13.65,3.86,2,1.32
37,EBIT,82.19,72.11,71.4,25.7,90.82,101.79,80.24,77.41,29.97,45.52
