,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,316.42,340,287.75,372.29,336.71,362.33,202.04,277.11,188.98,160.5,243.45,139.15,190.89,217.8,179.56,292.27,212.01,182.1,182.1
1,Other Revenue,-2.78,2.78,-,4.08,-1.93,1.93,-,15.06,-6.42,6.42,-,7.11,-3.32,3.32,-,2.89,1.44,0.47,0.47
2,Revenue,313.65,342.78,287.75,376.36,334.79,364.26,202.04,292.17,182.56,166.93,243.45,146.26,187.57,221.12,179.56,295.16,213.46,182.58,182.58
3,Revenue Growth (YoY),-6.31%,-5.90%,42.42%,28.82%,83.38%,118.22%,-17.01%,99.76%,-2.67%,-24.51%,35.58%,-50.45%,-12.13%,21.11%,-1.65%,-,-,-,-
4,Cost of Revenue,217.18,220.98,180.33,243.1,230.94,234.73,136.25,225.86,118,130.1,95.03,99.32,135.21,155.01,128.26,178.16,134.49,129.51,129.51
5,Gross Profit,96.46,121.8,107.42,133.26,103.84,129.53,65.79,66.31,64.56,36.82,148.42,46.94,52.36,66.12,51.3,117,78.97,53.06,53.06
6,"Selling, General & Admin",53.13,57.36,55.97,51.32,59.8,37.78,28.84,25.04,40.33,28.71,30.36,27.5,27.44,34.14,26.5,18.48,28.32,28.64,28.64
7,Research & Development,9.16,11.17,7.47,7.29,3.4,3.56,7.37,3.97,3.24,6.13,2.98,4.1,3.05,2.44,2.23,2.22,2.69,2.15,2.15
8,Other Operating Expenses,0.57,0.21,0.14,1.78,-0.88,-0.68,0.61,2.49,-1.88,-0.03,0.23,1.24,0.21,-0.07,-0.23,1.15,0.98,0.37,0.37
9,Operating Expenses,48.73,74.33,67.66,92.28,56.81,49.05,25.61,51.39,38.14,39.54,19.51,56.94,23.66,48.44,1.22,37.3,27.33,24.48,24.48
10,Operating Income,47.73,47.47,39.75,40.98,47.03,80.48,40.18,14.93,26.42,-2.71,128.91,-10,28.7,17.68,50.08,79.71,51.64,28.58,28.58
11,Interest Expense,-1.07,-1.14,-,-0.42,-0.26,-,-1.42,-0.71,-0.49,-0.65,-0.51,-2.46,-,-3.99,-,-2.17,-2.09,-0.96,-0.96
12,Interest & Investment Income,5.02,4.92,2.9,4.26,4.05,5.77,3.27,2.4,3.53,4.83,0.64,2.75,1.41,-,2.29,0.65,2.44,1.6,1.6
13,Currency Exchange Gain (Loss),-1.99,1.99,-,-3.46,1.23,-1.23,-,11.02,-6.7,6.7,-,-0.12,-0.8,0.8,-,-8.88,-4.44,-2.57,-2.57
14,Other Non Operating Income (Expenses),-6.84,-0.25,0.05,-2.36,1.37,-1.11,0.03,-10.75,9.89,-0.79,-0.03,-1.3,0.54,-1.37,-0.1,-4.86,-5.74,-0.8,-0.8
15,EBT Excluding Unusual Items,42.85,52.98,42.7,39.01,53.42,83.91,42.06,16.88,32.64,7.38,129,-11.12,29.84,13.11,52.28,64.44,41.81,25.84,25.84
16,Gain (Loss) on Sale of Investments,0.5,0.55,0.57,0.96,-,-,0.09,-0.35,0.38,1.1,0.24,0.32,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.06,0.64,0.01,-2.46,-0.81,0.1,0.03,0.96,-0.04,0.05,0.2,0.33,-0.03,0.31,-0.31,-2.01,0.02,0.56,0.56
