,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5198,5007,5361,4580,6494,7645,9018,4946,4301,4232,3120,2565,2752,2593,-,-,-,-,-,-
1,Market Cap Growth,-34.51%,-34.51%,-40.55%,-7.40%,50.99%,80.63%,189.05%,92.79%,56.31%,63.22%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4538,4216,4473,3670,5585,6746,8208,4104,3460,3357,2216,1765,1952,2325,-,-,-,-,-,-
3,Last Close Price,21.42,20.63,22.09,18.69,26.51,31.20,37.18,20.21,17.58,17.30,12.72,10.46,11.22,10.57,-,-,-,-,-,-
4,PE Ratio,38.14,36.07,37.80,26.07,37.30,46.92,60.03,61.73,27.43,31.97,25.14,20.48,-,21.70,-,-,-,-,-,-
5,Forward PE,25.27,23.01,23.50,16.22,24.74,31.53,40.72,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,3.96,3.79,4.00,3.36,5.08,6.41,8.66,5.86,4.86,5.73,4.19,3.21,3.75,2.94,-,-,-,-,-,-
7,PB Ratio,2.80,2.69,3.02,2.56,3.70,4.46,5.37,3.18,2.75,2.78,2.06,1.70,1.96,1.80,-,-,-,-,-,-
8,P/TBV Ratio,2.70,2.70,3.03,2.56,3.71,4.46,5.37,3.18,2.75,2.78,2.06,1.71,1.96,1.80,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,447.58,-279.76,-47.80,-,30.82,-,13.33,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,68.41,189.08,-171.34,-,23.35,-,9.53,35.34,-,-,-,-,-,-,-
11,EV/Sales Ratio,3.44,3.19,3.33,2.69,4.37,5.65,7.88,4.86,3.91,4.54,2.98,2.21,2.66,2.63,-,-,-,-,-,-
12,EV/EBITDA Ratio,20.02,18.65,19.85,14.24,21.63,29.05,39.24,32.40,16.24,18.09,11.88,8.67,-,10.98,-,-,-,-,-,-
13,EV/EBIT Ratio,26.20,23.96,25.53,17.62,26.77,36.94,50.67,52.08,20.65,23.54,-,10.68,-,13.20,-,-,-,-,-,-
