,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,587.77,565.51,667.81,624.71,542.74,715.78,695.39,527.23,568.31,673.93,847.76,638.81,845.04,315.79,-,290.3,290.3,-,-
1,Short-Term Investments,-,-,-,5.63,-,-,-,4.31,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,88.24,241.37,232.6,303.96,388,205,136.09,318.65,291.7,224.95,78.58,122.62,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,676.01,806.88,900.41,934.3,930.75,920.78,831.47,850.19,860.01,898.87,926.34,761.43,845.04,315.79,290.3,290.3,290.3,-,249.8
4,Cash Growth,-27.37%,-12.37%,8.29%,9.89%,8.22%,2.44%,-10.24%,11.66%,1.77%,184.65%,219.10%,162.29%,191.10%,-,16.21%,-,-,-,-
5,Accounts Receivable,936.82,870.8,801.87,797.71,736.89,729.45,602.19,622.95,489.73,491.79,451.57,517.58,558.09,529.44,-,562.31,562.31,-,-
6,Other Receivables,23.1,7.31,20.65,5.25,56.15,6.84,11.61,5.42,15.13,5.49,19.94,9.82,10.15,2.65,-,14.42,14.42,-,-
7,Receivables,959.92,878.11,822.52,802.96,793.04,736.29,613.8,628.36,504.85,497.27,471.51,527.4,568.24,532.08,-,576.74,576.74,-,-
8,Inventory,164.48,102.94,82.92,77.83,43.39,59.9,46.27,45.93,94.53,84.85,87.67,71.22,62.28,64.34,-,34.3,34.3,-,-
9,Prepaid Expenses,-,-,-,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,Other Current Assets,62.72,49.28,37.66,32.61,35.39,25.3,26.14,22.19,35.84,35.91,30.81,16.78,22.35,33.42,-,28.13,28.13,-,-
11,Total Current Assets,1863,1837,1844,1848,1803,1742,1518,1547,1495,1517,1516,1377,1498,945.63,-,929.47,929.47,-,-
12,"Property, Plant & Equipment",362.12,290.6,282.05,289.7,289.58,292.36,281.62,281.85,275.97,265.06,252.62,255.85,248.96,246.87,-,222.75,222.75,-,-
13,Other Intangible Assets,3.18,2.59,2.54,1.72,0.75,0.78,0.81,0.83,0.86,0.9,0.95,0.99,0.66,0.69,-,0.77,0.77,-,-
14,Long-Term Deferred Tax Assets,20.91,17.99,19.99,16.87,14.9,12.34,10.72,9.74,10.41,10.93,10.66,12.55,9.4,10.55,-,12.6,12.6,-,-
15,Long-Term Deferred Charges,7.68,7.5,1.97,1.75,1.9,1.97,1.92,1.93,2.04,2.21,2.4,2.58,2.91,2.91,-,1.56,1.56,-,-
16,Other Long-Term Assets,38.51,45.89,18.16,15.83,10.79,19.41,11.21,16.48,8.53,5.74,14.28,18.47,16.17,8.06,-,8.97,8.97,-,-
