,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,542,542,516,602,739,739,851,935,911,971,1143
1,Market Cap Growth,-10.00%,-10.00%,-30.23%,-18.60%,-13.13%,-20.88%,-6.60%,-3.81%,-20.30%,-18.12%,-3.62%
2,Enterprise Value,3479,3592,3446,3666,3736,3720,2652,3143,2689,2239,2040
3,PE Ratio,2.68,2.60,2.23,3.47,3.22,2.56,2.87,3.82,3.10,4.44,5.36
4,PS Ratio,0.41,0.40,0.36,0.43,0.48,0.45,0.51,0.60,0.64,0.43,0.51
5,PB Ratio,0.18,0.17,0.16,0.19,0.23,0.23,0.26,0.30,0.31,0.38,0.48
6,P/FCF Ratio,4.08,4.08,5.41,34.20,-,-,-,-,-,-,-
7,P/OCF Ratio,0.75,0.75,0.77,1.07,1.10,1.07,1.29,1.32,2.08,4.30,4.23
8,EV/Sales Ratio,2.56,2.65,2.43,2.62,2.44,2.27,1.58,2.02,1.88,0.98,0.91
9,EV/EBITDA Ratio,5.15,5.19,4.56,5.14,4.68,3.63,3.01,4.38,3.67,5.31,5.14
10,EV/EBIT Ratio,11.01,10.82,8.78,9.93,8.30,7.24,5.01,6.66,5.48,7.37,7.40
11,EV/FCF Ratio,26.18,27.04,36.14,208.35,-,-,-,-,-,-,-
12,Debt / Equity Ratio,1.00,1.00,0.98,1.12,1.10,1.18,1.17,0.88,1.17,1.00,1.00
13,Debt / FCF Ratio,24.42,24.42,34.03,196.98,-,-,-,-,-,-,-
14,Return on Capital Employed (ROCE),5.09%,5.34%,6.42%,6.01%,6.79%,7.71%,8.77%,7.07%,8.23%,6.20%,5.81%
15,Earnings Yield,38.49%,38.49%,44.83%,28.82%,31.07%,39.02%,34.89%,26.17%,32.22%,22.54%,18.65%
16,Earnings Yield,38.49%,38.49%,44.83%,28.82%,31.07%,39.02%,34.89%,26.17%,32.22%,22.54%,18.65%
17,FCF Yield,24.53%,24.53%,18.48%,2.92%,-12.41%,-17.14%,-31.32%,-37.61%,-81.79%,-68.41%,-47.86%
18,Buyback Yield / Dilution,-4.16%,-2.75%,-5.66%,-1.04%,7.40%,-3.72%,-3.85%,1.16%,1.96%,-0.32%,-1.50%
19,Total Shareholder Return,4.57%,-2.75%,-5.66%,-1.04%,7.40%,-3.72%,-3.85%,1.16%,1.96%,-0.32%,-1.50%
