,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,6270,5080,4435,5677,6423,5141,5819,5133,5014,4744,6068,5756,7512,6908,-,-,-,-,-,-
1,Market Cap Growth,-1.18%,-1.18%,-23.79%,10.60%,28.11%,8.37%,-4.11%,-10.83%,-33.26%,-31.33%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5893,4682,3872,5180,5927,4692,5137,4643,4524,4273,5365,5275,7031,6672,-,-,-,-,-,-
3,Last Close Price,15.28,12.35,10.78,13.62,15.39,12.36,13.99,12.02,11.74,11.40,14.58,13.46,17.57,16.16,-,-,-,-,-,-
4,PE Ratio,46.18,38.35,42.17,61.36,66.46,32.59,32.44,25.38,24.23,24.46,36.14,28.93,37.78,30.62,-,-,-,-,-,-
5,PS Ratio,1.89,1.57,1.43,1.90,2.19,2.00,2.46,2.36,2.36,2.35,3.14,2.86,3.77,3.58,-,-,-,-,-,-
6,PB Ratio,4.03,3.20,2.82,3.54,4.03,3.41,3.95,3.22,3.19,3.24,4.27,3.80,5.02,4.95,-,-,-,-,-,-
7,P/TBV Ratio,3.59,3.59,3.15,3.96,4.47,3.80,4.41,3.58,3.55,3.62,4.80,4.24,5.61,5.59,-,-,-,-,-,-
8,P/FCF Ratio,52.69,42.69,-,-,31.42,75.45,-,-,27.25,24.65,-,41.58,98.42,-,-,-,-,-,-,-
9,P/OCF Ratio,24.08,24.08,-,-,22.37,40.98,-,-,23.29,19.70,-,29.78,52.15,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.82,1.44,1.24,1.73,2.02,1.83,2.17,2.13,2.13,2.12,2.77,2.62,3.53,3.46,-,-,-,-,-,-
11,EV/EBITDA Ratio,19.59,16.30,15.69,21.22,23.50,18.95,18.91,16.42,15.74,16.08,22.46,19.19,25.23,21.77,-,-,-,-,-,-
12,EV/EBIT Ratio,22.43,17.82,17.29,23.21,25.45,20.41,20.33,17.60,16.94,17.50,24.53,20.71,27.06,23.09,-,-,-,-,-,-
13,EV/FCF Ratio,49.51,39.34,-,-,28.99,68.86,-,-,24.59,22.20,-,38.10,92.11,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.04,0.05,0.05,0.01,0.01,0.01,0.01,0.10,0.01,0.01,0.01,-,-,-,-,-,-,0.03
15,Debt / EBITDA Ratio,0.06,0.06,0.28,1.33,0.13,0.07,0.07,0.18,0.03,0.57,0.06,0.12,0.03,-,-,-,-,-,-,0.12
16,Debt / FCF Ratio,0.16,0.16,-,-,0.39,0.16,-,-,0.10,0.75,-,0.09,0.21,-,-,-,-,-,-,2.88
17,Asset Turnover,1.23,1.17,0.64,1.86,1.14,1.08,0.61,1.52,0.91,0.88,0.60,1.56,0.91,-,-,-,-,-,-,
18,Inventory Turnover,9.43,9.96,9.23,5.50,14.15,9.24,7.38,4.00,8.97,6.12,6.11,5.13,10.16,5.77,-,-,-,-,-,-
19,Quick Ratio,1.58,1.58,1.64,1.74,1.49,1.73,1.77,1.96,1.78,2.06,2.35,2.46,2.18,2.52,1.74,-,1.51,-,-,-
20,Current Ratio,1.92,1.92,2.01,2.13,1.76,2.08,2.20,2.45,2.13,2.53,2.90,2.98,2.63,3.15,2.31,-,1.84,-,-,-
21,Return on Equity (ROE),14.23%,9.02%,1.99%,11.74%,7.17%,5.94%,3.35%,27.67%,13.65%,12.51%,4.81%,25.11%,8.09%,28.89%,7.42%,-,-,-,-,
22,Return on Assets (ROA),6.99%,4.04%,0.77%,12.94%,3.67%,4.35%,1.85%,14.50%,7.00%,6.41%,2.55%,14.16%,4.67%,-,-,-,-,-,-,
23,Return on Capital (ROIC),11.32%,6.22%,1.27%,21.85%,5.74%,6.54%,2.85%,21.33%,9.43%,8.71%,3.55%,19.55%,6.49%,21.60%,6.90%,-,-,-,-,
24,Return on Capital Employed (ROCE),16.44%,16.44%,14.11%,13.81%,14.49%,15.15%,17.02%,16.45%,16.86%,16.54%,15.29%,16.71%,17.25%,20.69%,32.12%,-,33.17%,-,-,-
25,Earnings Yield,2.11%,2.61%,2.37%,1.63%,1.50%,3.07%,3.08%,3.94%,4.13%,4.09%,2.77%,3.46%,2.65%,3.27%,-,-,-,-,-,-
26,FCF Yield,1.90%,2.34%,2.28%,1.99%,3.18%,1.33%,1.08%,1.15%,3.67%,4.06%,1.62%,2.40%,1.02%,1.51%,-,-,-,-,-,-
27,Dividend Yield,0.98%,-,-,-,0.97%,-,-,-,2.98%,-,-,-,4.27%,2.48%,-,-,-,-,-,-
28,Payout Ratio,47.51%,-,183.95%,0.01%,2.55%,0.00%,681.93%,0.01%,0.72%,0.38%,320.32%,-,4.74%,710.95%,-,12.94%,-,32.41%,164.81%,164.81%
