,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,806.17,744.91,438.08,1252,673.73,627.16,373.23,890.3,469.34,442.95,318.74,782.32,388.69,518.11,301.47,718.99,454.57,407.16,407.16
1,Other Revenue,-1,1,-,1.45,-0.75,0.75,-,2.41,-0.82,0.82,-,1.94,-1.17,1.17,-,3,-,-,-
2,Revenue,805.17,745.9,438.08,1254,672.98,627.91,373.23,892.71,468.53,443.77,318.74,784.26,387.52,519.27,301.47,721.98,454.57,407.16,407.16
3,Revenue Growth (YoY),19.64%,18.79%,17.37%,40.45%,43.64%,41.50%,17.10%,13.83%,20.90%,-14.54%,5.73%,8.63%,-14.75%,27.53%,-25.96%,-,-,-,-
4,Cost of Revenue,585.59,527.52,320.87,814.48,502.57,429.11,245.8,509.86,312.51,262.44,209.86,424.59,236.13,311.7,190.56,414.16,272.5,251.52,251.52
5,Gross Profit,219.58,218.38,117.2,439.33,170.41,198.81,127.43,382.85,156.02,181.33,108.88,359.67,151.4,207.57,110.91,307.82,182.07,155.64,155.64
6,"Selling, General & Admin",130.68,149.13,110.2,250.39,117.62,139.5,111.98,194.79,84.76,115.35,92.86,212.08,111.13,102.99,93.72,143.17,90.14,106.02,106.02
7,Research & Development,12.1,11.6,10.58,24.64,10.51,7.27,7.75,23.92,9.64,6.97,5.93,16.39,5.32,7.26,4.7,8.03,9.5,5.19,5.19
8,Other Operating Expenses,-2.59,4.14,-0.91,14.22,1.85,0.37,-0.75,15.43,0.17,-2.92,-0.41,10.93,0.1,-0.11,-0.82,13.69,-1.23,-0.81,-0.81
9,Operating Expenses,146.25,177.11,108.67,299.75,135.86,158.31,109.17,246.29,98.63,129.78,87.31,245.96,119.55,120.01,84.18,164.96,99.37,107.84,107.84
10,Operating Income,73.33,41.26,8.53,139.58,34.55,40.5,18.26,136.56,57.39,51.55,21.57,113.71,31.84,87.55,26.73,142.86,82.7,47.8,47.8
