,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,398.19,454.63,633.11,819.09,414.78,366.42,526.3,607.85,457.45,330.31,479.16,470.66,235.14,250.75,-,309.07,-,-,-
1,Trading Asset Securities,25.17,25.18,28.18,28.18,112.34,116.2,195.57,185.57,193,173,252.3,202.3,263,-,-,-,-,-,-
2,Cash & Short-Term Investments,423.36,479.81,661.3,847.27,527.11,482.61,721.87,793.42,650.45,503.31,731.46,672.96,498.14,250.75,309.07,309.07,-,-,230.04
3,Cash Growth,-19.68%,-0.58%,-8.39%,6.79%,-18.96%,-4.11%,-1.31%,17.90%,30.58%,100.72%,136.66%,117.73%,-,-,34.36%,-,-,-,-
4,Accounts Receivable,1223,1119,896.34,1172,994.98,919.08,748.39,935.15,703.8,683.16,572,755.21,618.81,579.34,-,689.1,-,-,-
5,Other Receivables,49.41,11.94,49.01,2.68,54.44,10.66,37.01,2.05,38.57,34.73,41.85,-7.69,42.53,35.41,-,30.6,-,-,-
6,Receivables,1272,1131,945.35,1175,1049,929.74,785.41,937.2,742.37,717.89,613.85,747.52,661.34,614.76,-,719.7,-,-,-
7,Inventory,248.36,221.93,235.08,231.81,228.6,206.5,258.54,233.35,221.49,187.26,156.21,170.91,163.48,163.73,-,128.28,-,-,-
8,Other Current Assets,118.82,143.51,127.31,140.41,96.33,133.76,114.21,109.82,93.7,96.56,128.08,118.78,124.82,116.09,-,92.26,-,-,-
9,Total Current Assets,2063,1976,1969,2394,1901,1753,1880,2074,1708,1505,1630,1710,1448,1145,-,1249,-,-,-
10,"Property, Plant & Equipment",342.06,331.74,317.47,324.97,304.92,305.38,300.17,285.94,246.48,245.01,242.58,242.88,211.25,211.09,-,202.61,-,-,-
11,Long-Term Investments,34.13,33.64,33.67,33.37,33.06,32.88,11.59,11.46,11.23,10.99,10.53,10.53,-,-,-,11.73,-,-,-
12,Goodwill,0.09,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,145.36,145.71,146.76,133.7,134.29,134.8,135.56,136.42,137.19,138.31,139.51,140.5,143.74,142.97,-,141.33,-,-,-
14,Long-Term Deferred Tax Assets,70.49,63.93,49.69,55.26,32.22,29.63,15.55,17.75,16.36,15.53,13.88,15.79,14.64,14.16,-,14.41,-,-,-
15,Long-Term Deferred Charges,16.63,18.67,20.36,22.71,24.11,25.99,28.26,30.69,32.62,35.08,35.73,37.26,39.84,40.62,-,27.09,-,-,-
16,Other Long-Term Assets,-,-,2.11,1.01,-,-,0.66,0.66,-,-,-,-,-,-,-,0.92,-,-,-
17,Total Assets,2672,2570,2539,2965,2430,2281,2372,2557,2152,1950,2072,2157,1857,1554,-,1647,-,-,-
18,Accounts Payable,637.34,544.57,483.12,734.33,536.75,444.87,431.78,511.65,305.81,274.57,255.48,296.94,250.14,250.53,-,312.65,-,-,-
19,Accrued Expenses,40.14,56.99,13.47,194.44,40.12,80.01,16.18,187.07,37.35,65.7,52.98,140.7,26.31,60.11,-,98.68,-,-,-
20,Short-Term Debt,-,39.45,57.57,60.96,0.1,0.1,0.1,0.1,129.53,1,-,-,-,-,-,-,-,-,-
21,Current Portion of Leases,8.29,8.27,6.47,6.2,3.72,5.29,5.04,7.37,2.67,2.75,2.02,5.14,-,-,-,-,-,-,-
22,Current Income Taxes Payable,55.15,22.66,42.99,51.13,39.41,18.41,53.25,43.83,47.77,16.94,41.56,54.61,49.44,37.68,-,57.21,-,-,-
23,Current Unearned Revenue,216.25,194.16,203.99,197.69,156.67,144.12,155.22,120.64,122.07,127.23,155.34,122.84,108.99,122.15,-,178.58,-,-,-
24,Other Current Liabilities,116.37,117.43,115.03,113.15,136.25,104.08,106.43,101.66,29.96,31.23,39.87,30.42,25.41,25.53,-,32,-,-,-
25,Total Current Liabilities,1074,983.52,922.64,1358,913.02,796.88,768,972.33,675.16,519.42,547.26,650.64,460.28,496,-,679.12,-,-,-
26,Long-Term Leases,11.13,11.59,11.6,12.79,7.19,8.06,11.23,10.17,11.52,11.02,10.42,10.56,-,-,-,-,-,-,-
27,Long-Term Deferred Tax Liabilities,0.31,0.18,0.14,0.03,1.56,1.95,-,0.26,0,0,0,0,-,-,-,0.02,-,-,-
28,Total Liabilities,1085,995.29,934.38,1371,921.77,806.88,779.23,982.75,686.68,530.43,557.68,661.2,460.28,496,-,679.14,-,-,-
29,Common Stock,411.23,411.32,411.38,411.38,410.64,410.64,410.64,410.64,400.01,400.01,400.01,400.01,400.01,360,-,360,-,-,-
30,Additional Paid-In Capital,735.01,731.15,732.45,729.98,705.91,698.31,689.98,684.83,615.34,617.58,617.62,617.62,601.3,166.71,-,166.71,-,-,-
31,Retained Earnings,517.63,463.39,491.36,482.54,446.85,419.93,542.79,529.62,433.04,384.5,480.57,462.98,379.09,516.59,-,424.13,-,-,-
32,Treasury Stock,-103.24,-52.86,-53.28,-53.28,-74.62,-74.62,-74.62,-74.62,-,-,-,-,-,-,-,-,-,-,-
33,Comprehensive Income & Other,-0.03,-0.02,-0.03,-0.02,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0.01,0.01,-,0.01,-,-,-
34,Total Common Equity,1561,1553,1582,1571,1489,1454,1569,1550,1448,1402,1498,1481,1380,1043,950.85,950.85,-,-,814.74
35,Minority Interest,26.1,21.99,22.84,23.83,19.52,20.17,23.83,23.52,16.82,17.41,15.96,15.31,16.55,14.86,-,17.42,-,-,-
36,Shareholders' Equity,1587,1575,1605,1594,1508,1474,1593,1574,1465,1420,1514,1496,1397,1058,968.27,968.27,-,-,828.94
37,Total Liabilities & Equity,2672,2570,2539,2965,2430,2281,2372,2557,2152,1950,2072,2157,1857,1554,-,1647,-,-,-
38,Total Debt,19.42,59.31,75.64,79.95,11.01,13.45,16.37,17.65,143.71,14.77,12.44,15.7,-,-,-,-,-,-,25.03
39,Net Cash (Debt),403.94,420.5,585.66,767.32,516.11,469.17,705.5,775.77,506.74,488.54,719.02,657.26,498.14,250.75,309.07,309.07,-,-,205
40,Net Cash Growth,-21.73%,-10.37%,-16.99%,-1.09%,1.85%,-3.97%,-1.88%,18.03%,1.73%,94.84%,132.64%,112.65%,-,-,50.76%,-,-,-,-
