,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,518.53,518.53,456.31,456.31
1,Cost of Revenue,534.75,534.75,491.66,491.66
2,Gross Profit,-16.22,-16.22,-35.34,-35.34
3,"Selling, General & Admin",74.64,74.64,91.17,91.17
4,Research & Development,36.76,36.76,28.83,28.83
5,Other Operating Expenses,0.65,0.65,1.55,1.55
6,Operating Expenses,113.99,113.99,122.42,122.42
7,Operating Income,-130.22,-130.22,-157.76,-157.76
8,Interest Expense,-0.45,-0.45,-0.65,-0.65
9,Interest & Investment Income,2.27,2.27,2.94,2.94
10,EBT Excluding Unusual Items,-128.4,-128.4,-155.47,-155.47
11,Other Unusual Items,-37.42,-37.42,-17.24,-17.24
12,Pretax Income,-165.82,-165.82,-172.71,-172.71
13,Net Income,-165.82,-165.82,-172.71,-172.71
14,Preferred Dividends & Other Adjustments,-0.57,-0.57,-,-
15,Net Income to Common,-165.25,-165.25,-172.71,-172.71
16,Shares Outstanding (Basic),90,90,90,90
17,Shares Outstanding (Diluted),90,90,90,90
18,EPS (Basic),-1.84,-1.84,-1.92,-1.92
19,EPS (Diluted),-1.84,-1.84,-1.92,-1.92
20,Free Cash Flow,-102.75,-102.75,-195.03,-195.03
21,Free Cash Flow Per Share,-1.14,-1.14,-2.17,-2.17
22,Gross Margin,-3.13%,-3.13%,-7.75%,-7.75%
23,Operating Margin,-25.11%,-25.11%,-34.57%,-34.57%
24,Profit Margin,-31.87%,-31.87%,-37.85%,-37.85%
25,Free Cash Flow Margin,-19.82%,-19.82%,-42.74%,-42.74%
26,EBITDA,-125.55,-125.55,-154.91,-154.91
27,EBITDA Margin,-24.21%,-24.21%,-33.95%,-33.95%
28,D&A For EBITDA,4.67,4.67,2.85,2.85
29,EBIT,-130.22,-130.22,-157.76,-157.76
30,EBIT Margin,-25.11%,-25.11%,-34.57%,-34.57%
