,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,32.88,68.35,71.21,29.37,14.93,20.24,-
1,Short-Term Investments,16.69,0.09,-,0.06,0.09,0.02,-
2,Cash & Short-Term Investments,49.57,68.44,71.21,29.42,15.01,20.25,-
3,Cash Growth,-30.39%,132.59%,374.32%,45.28%,-,-,-
4,Accounts Receivable,98.99,120.18,147.56,154.95,166.86,137.25,-
5,Other Receivables,-,5.78,-,82.42,8,-,-
6,Receivables,98.99,125.95,147.56,237.37,174.86,137.25,-
7,Inventory,60.46,10.89,12.48,15.41,3.43,12.57,-
8,Other Current Assets,24.99,66.91,33.15,10.88,6.25,3.41,-
9,Total Current Assets,234.01,272.19,264.4,293.08,199.55,173.49,-
10,"Property, Plant & Equipment",41.01,38.98,43.84,34.36,31.81,29.49,-
11,Other Intangible Assets,0.13,0.14,0.15,0.17,0.18,0.2,-
12,Long-Term Deferred Tax Assets,1.59,1.18,0.46,0.11,0.1,0.07,-
13,Long-Term Deferred Charges,-,-,-,-,0.4,0.81,-
14,Total Assets,276.74,312.49,308.86,327.72,232.05,204.05,-
15,Accounts Payable,0.73,1.38,1.22,2.29,12.03,14.81,-
16,Accrued Expenses,-,1.16,-,0.71,0.66,0.32,-
17,Short-Term Debt,18.5,21.15,30.81,26.91,29.05,19.58,-
18,Current Portion of Leases,0.29,0.31,0.29,0.05,0.06,0.07,-
19,Current Income Taxes Payable,8.32,10.83,9.47,6.93,4.61,2.97,-
20,Current Unearned Revenue,4.01,1.03,3.57,1.59,4.05,1.26,-
21,Other Current Liabilities,2.46,5.93,4.47,28.51,3.49,2.32,-
22,Total Current Liabilities,34.3,41.78,49.81,66.99,53.96,41.34,-
23,Long-Term Leases,0.28,0.39,0.49,0.1,0.13,0.15,-
24,Long-Term Unearned Revenue,-,-,0.1,-,-,-,-
25,Total Liabilities,34.58,42.18,50.39,67.08,54.09,41.49,-
26,Common Stock,8.58,8.58,8.58,8.58,-,-,-
27,Additional Paid-In Capital,78.71,78.07,78.07,78.07,-,-,-
28,Retained Earnings,117.77,136.12,124.5,126.86,124.23,108.92,-
29,Comprehensive Income & Other,36.16,46.63,46.63,46.63,53.48,53.48,-
30,Total Common Equity,241.22,269.4,257.78,260.14,177.71,162.4,-
31,Minority Interest,0.94,0.92,0.68,0.51,0.25,0.16,-
32,Shareholders' Equity,242.16,270.32,258.46,260.64,177.96,162.56,-
33,Total Liabilities & Equity,276.74,312.49,308.86,327.72,232.05,204.05,-
34,Total Debt,19.07,21.85,31.58,27.06,29.24,19.8,-
35,Net Cash (Debt),30.51,46.59,39.64,2.37,-14.22,0.45,-
36,Net Cash Growth,-23.03%,1868.36%,-,423.67%,-,-,-
37,Net Cash Per Share,0.03,0.05,0.04,0.00,-0.02,-,-
38,Filing Date Shares Outstanding,950,950,950,950,-,-,-
39,Total Common Shares Outstanding,950,950,950,950,-,-,-
40,Working Capital,199.71,230.41,214.59,226.09,145.6,132.15,-
41,Book Value Per Share,0.25,0.28,0.27,0.27,-,-,-
42,Tangible Book Value,241.09,269.26,257.63,259.97,177.53,162.2,-
43,Tangible Book Value Per Share,0.25,0.28,0.27,0.27,-,-,-
44,Buildings,-,7.18,-,7.18,6.79,6.79,-
45,Machinery,-,51.67,-,34.6,30.12,25.66,-
46,Leasehold Improvements,-,0.23,-,0.23,0.23,0.23,-
