,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Feb '25 Feb 27, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,323,741,675,418,1473,-,-,-
1,Market Cap Growth,77.27%,77.27%,-54.19%,-,-,-,-,-
2,Enterprise Value,291,691,632,416,1489,-,-,-
3,Last Close Price,0.34,0.78,0.70,0.43,1.43,-,-,-
4,PE Ratio,26.14,-,22.21,20.82,72.59,-,-,-
5,PS Ratio,2.46,5.67,3.92,2.53,7.35,-,-,-
6,PB Ratio,1.25,2.85,2.26,1.50,5.00,-,-,-
7,P/TBV Ratio,2.86,2.86,2.27,1.50,5.01,-,-,-
8,P/FCF Ratio,97.44,-,396.54,-,-93037.03,-,-,-
9,P/OCF Ratio,69.60,69.60,69.20,-,139.83,-,-,-
10,EV/Sales Ratio,2.23,5.28,3.68,2.52,7.44,-,-,-
11,EV/EBITDA Ratio,9.85,23.77,12.95,7.31,25.41,-,-,-
12,EV/EBIT Ratio,13.00,30.84,14.83,7.94,27.63,-,-,-
13,EV/FCF Ratio,87.86,-,371.79,-,-94108.12,-,-,-
14,Debt / Equity Ratio,0.08,0.08,0.08,0.12,0.10,0.16,0.12,-
15,Debt / FCF Ratio,6.18,-,14.15,-,-1932.64,-,-,-
16,Return on Capital Employed (ROCE),8.60%,8.60%,14.30%,18.70%,18.29%,26.75%,25.93%,-
17,Earnings Yield,3.81%,1.66%,4.50%,4.80%,1.38%,-,-,-
18,FCF Yield,1.03%,0.45%,0.25%,0.32%,-0.00%,-,-,-
19,Buyback Yield / Dilution,-9.73%,0.73%,-22.56%,-25.47%,-,-,-,-
20,Total Shareholder Return,-3.56%,0.73%,-22.56%,-25.47%,-,-,-,-
