,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,40.03,81.66,74.41,78.49,98.62,104.35,106.73
1,Revenue Growth (YoY),-46.21%,4.04%,-24.55%,-24.78%,-7.60%,-,-
2,Cost of Revenue,18.15,39.48,31.18,37.14,59,65.35,70.03
3,Gross Profit,21.88,42.18,43.23,41.35,39.63,39,36.7
4,"Selling, General & Admin",15.31,21.05,19.84,13.75,18.81,12.32,20.87
5,Research & Development,1.51,0.79,0.73,0.36,0.19,0.19,0.21
6,Other Operating Expenses,-,-,-,-,-,-0.42,0.42
7,Operating Expenses,18.46,24.75,21.95,14.18,19.11,11.88,21.64
8,Operating Income,3.42,17.43,21.28,27.17,20.51,27.12,15.06
9,Interest Expense,-0.26,-0.46,-0.4,-0.37,-0.66,-0.28,-0.31
10,Interest & Investment Income,0.6,0.73,0.11,0.01,0.03,0.02,0.02
11,Other Non Operating Income (Expenses),-0.95,-1.86,1.82,0.08,1.62,-0.23,1.26
12,EBT Excluding Unusual Items,2.8,15.84,22.81,26.89,21.49,26.63,16.03
13,Other Unusual Items,-,-,-,-18.42,-,-9.6,-
14,Pretax Income,2.8,15.84,22.81,8.47,21.49,17.02,16.03
15,Income Tax Expense,2.94,4.05,6.68,5.58,6.09,5.12,4.87
16,Earnings From Continuing Operations,-0.14,11.8,16.13,2.88,15.4,11.9,11.17
17,Minority Interest in Earnings,-0.02,-0.18,-0.18,-0.26,-0.09,-0.06,-0.07
18,Net Income,-0.16,11.62,15.95,2.63,15.32,11.84,11.1
19,Net Income to Common,-0.16,11.62,15.95,2.63,15.32,11.84,11.1
20,Net Income Growth,-,342.12%,4.13%,-77.80%,38.04%,-,-
21,Shares Outstanding (Basic),943,950,950,775,757,-,-
22,Shares Outstanding (Diluted),943,950,950,775,757,-,-
23,Shares Change (YoY),-0.73%,22.56%,25.47%,-,-,-,-
24,EPS (Basic),-0.00,0.01,0.02,0.00,0.02,-,-
25,EPS (Diluted),-0.00,0.01,0.02,0.00,0.02,-,-
26,EPS Growth,-,260.77%,-17.01%,-,-,-,-
27,Free Cash Flow,-3.95,7.03,-5.49,6.73,-6.74,-5.17,0.46
28,Free Cash Flow Per Share,-0.00,0.01,-0.01,0.01,-0.01,-,-
29,Operating Margin,8.54%,21.34%,28.59%,34.62%,20.80%,25.99%,14.11%
30,Profit Margin,-0.40%,14.23%,21.43%,3.35%,15.53%,11.35%,10.40%
31,Free Cash Flow Margin,-9.86%,8.61%,-7.37%,8.57%,-6.83%,-4.96%,0.43%
32,EBITDA,6.44,20.6,23.74,28.93,22.92,28.46,17
33,D&A For EBITDA,3.02,3.18,2.46,1.76,2.41,1.34,1.93
34,EBIT,3.42,17.43,21.28,27.17,20.51,27.12,15.06
