,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,1106,749.09,1246,1220,1098,1357,2059,827.25,594.79,398.02,Upgrade
1,Short-Term Investments,716.55,1308,1570,1342,1602,1749,1118,350,422,500,Upgrade
2,Trading Asset Securities,1.05,1.11,1.02,1.04,103,1.65,455.88,877.12,3.14,2.77,Upgrade
3,Cash & Short-Term Investments,1824,2058,2817,2563,2804,3108,3633,2054,1020,900.78,Upgrade
4,Cash Growth,-35.25%,-19.69%,0.49%,-17.54%,-22.83%,51.29%,256.20%,128.06%,-11.85%,-30.82%,Upgrade
5,Accounts Receivable,3066,2915,2647,2286,2327,1883,1947,2017,2231,2160,Upgrade
6,Other Receivables,424.15,413.1,203.22,123.72,175.2,115.65,74.92,125.89,94.26,139.35,Upgrade
7,Receivables,3490,3329,2850,2409,2502,1999,2022,2143,2325,2300,Upgrade
8,Inventory,2525,2477,2726,2583,2532,2278,1998,1688,1690,1735,Upgrade
9,Other Current Assets,330.3,353.49,529.85,363.37,360.37,376.47,287.14,723.51,1054,1019,Upgrade
10,Total Current Assets,8169,8218,8922,7919,8198,7761,7940,6609,6089,5954,Upgrade
11,"Property, Plant & Equipment",4649,4756,4828,4841,4489,4437,4338,4284,4049,3980,Upgrade
12,Long-Term Investments,322.98,321.84,340.96,332.84,335.83,285.82,260.04,219.73,206.75,222.6,Upgrade
13,Goodwill,144.6,144.6,144.6,144.6,21.96,21.96,21.96,21.96,21.96,21.96,Upgrade
14,Other Intangible Assets,55.23,57.72,62.16,65.33,15.99,16.94,17.89,18.84,-,-,Upgrade
15,Long-Term Deferred Tax Assets,81.5,63.37,51.59,60.01,52.09,42.21,48.42,44.17,49.18,37.11,Upgrade
16,Total Assets,13422,13561,14350,13363,13113,12565,12626,11198,10416,10216,Upgrade
17,Accounts Payable,1170,1247,1591,1272,1212,1182,1318,1424,1413,1371,Upgrade
18,Short-Term Debt,1268,1223,1432,1141,1188,1173,1304,1924,1909,1814,Upgrade
19,Current Portion of Long-Term Debt,843.75,986.46,1272,725.5,420,427.35,653.28,850.44,541.44,799.12,Upgrade
20,Current Income Taxes Payable,15.77,26.73,40.36,28.24,23.23,40.96,37.11,64.14,28.67,28.12,Upgrade
21,Current Unearned Revenue,16.71,13.39,39.54,23.48,22.26,29.51,37.29,37.35,86.87,94.2,Upgrade
22,Other Current Liabilities,2002,1904,1924,1889,1961,1630,1780,507.8,268.01,142.53,Upgrade
23,Total Current Liabilities,5316,5401,6299,5079,4828,4484,5129,4807,4247,4248,Upgrade
24,Long-Term Debt,615.87,685.6,748.9,1029,1171,1038,814,591.84,785.38,638.89,Upgrade
25,Long-Term Unearned Revenue,33.81,37.79,38.64,42.53,46.42,50.31,54.19,58.08,55.14,51.37,Upgrade
26,Long-Term Deferred Tax Liabilities,48.92,52.52,58.19,71.31,94.9,100.09,102.05,101.03,79.18,74.65,Upgrade
27,Total Liabilities,6015,6176,7145,6222,6140,5672,6100,5558,5166,5013,Upgrade
28,Common Stock,49.06,49.06,49.06,49.23,49.23,49.4,49.4,46.19,45.69,45.77,Upgrade
29,Additional Paid-In Capital,2632,2708,2708,2728,2728,2754,2754,2067,2021,2030,Upgrade
30,Retained Earnings,4351,4369,4125,4099,3799,3669,3297,3202,2870,2799,Upgrade
31,Comprehensive Income & Other,29.35,-60.64,29.35,-15.54,129.34,158.26,167.29,155.57,143.98,162.06,Upgrade
32,Total Common Equity,7062,7065,6911,6860,6705,6630,6268,5470,5080,5036,Upgrade
33,Minority Interest,344.63,320.03,294.05,281.05,268.41,262.31,259.23,170.09,168.89,166.79,Upgrade
34,Shareholders' Equity,7407,7385,7205,7141,6973,6893,6527,5640,5249,5203,Upgrade
35,Total Liabilities & Equity,13422,13561,14350,13363,13113,12565,12626,11198,10416,10216,Upgrade
36,Total Debt,2728,2895,3453,2895,2779,2639,2771,3366,3236,3252,Upgrade
37,Net Cash (Debt),-903.6,-836.84,-635.64,-332.6,24.18,469.23,861.86,-1311,-2216,-2351,Upgrade
38,Net Cash Growth,-,-,-,-,-97.19%,-,-,-,-,-,Upgrade
39,Net Cash Per Share,-0.33,-0.30,-0.23,-0.12,0.01,0.17,0.33,-0.51,-0.86,-0.92,Upgrade
40,Filing Date Shares Outstanding,2727,2775,2782,2785,2790,2795,2795,2599,2569,2569,Upgrade
41,Total Common Shares Outstanding,2727,2775,2782,2785,2790,2795,2795,2599,2569,2569,Upgrade
42,Working Capital,2852,2817,2623,2839,3370,3277,2810,1802,1842,1706,Upgrade
43,Book Value Per Share,2.59,2.55,2.48,2.46,2.40,2.37,2.24,2.10,1.98,1.96,Upgrade
44,Tangible Book Value,6862,6862,6704,6650,6667,6591,6228,5429,5058,5014,Upgrade
45,Tangible Book Value Per Share,2.52,2.47,2.41,2.39,2.39,2.36,2.23,2.09,1.97,1.95,Upgrade
46,Land,-,14.56,-,14.14,-,13.42,-,15.24,-,-,Upgrade
47,Machinery,-,7277,-,6824,-,6399,-,5698,-,5288,Upgrade
48,Construction In Progress,-,189.64,-,385.94,-,178.44,-,456.35,-,354.4,Upgrade
