,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,2522,2667,2496,2397,2670,3128,2617,2712,2509,2563,Upgrade
1,Revenue Growth (YoY),1.01%,11.28%,-6.51%,-23.38%,2.04%,15.36%,4.28%,5.78%,-10.59%,-4.14%,Upgrade
2,Cost of Revenue,1963,2093,1927,1903,2015,2389,1951,2039,1968,2006,Upgrade
3,Gross Profit,558.47,573.82,569.56,493.29,655.2,738.99,666.21,672.42,541.56,557.37,Upgrade
4,"Selling, General & Admin",147.03,147.53,130.65,178.43,188.02,207.33,144.98,104.48,88.97,117.65,Upgrade
5,Research & Development,146.99,148.27,164.09,150.24,138.22,118.27,155.55,202.61,105.13,152.91,Upgrade
6,Other Operating Expenses,-25.88,3.32,8.19,5.64,-23.97,-54,-24.18,-46.24,22.35,-55.39,Upgrade
7,Operating Expenses,268.15,299.12,302.93,334.3,302.27,271.6,276.35,260.85,216.45,215.16,Upgrade
8,Operating Income,290.32,274.7,266.64,158.99,352.94,467.39,389.85,411.57,325.11,342.21,Upgrade
9,Interest Expense,-91.06,-93.35,-105.24,-89.6,-86.59,-80.91,-78.14,-66.47,-85.19,-85.39,Upgrade
10,Interest & Investment Income,24.49,27.38,28.61,25.47,30.06,17.67,14.97,10.61,17.31,20.13,Upgrade
11,Earnings From Equity Investments,1.35,-8.92,4.73,18.3,11.42,7.59,14.37,1.91,-0.58,-4.04,Upgrade
12,Currency Exchange Gain (Loss),-,-20.89,66.63,53.41,39.46,-19.83,-16.25,-6.71,-17.02,-1.2,Upgrade
13,Other Non Operating Income (Expenses),-,30.33,-,19.97,-19.97,-,-,-,-,-,Upgrade
14,EBT Excluding Unusual Items,225.11,209.26,261.37,186.54,327.31,391.91,324.81,350.93,239.63,271.71,Upgrade
15,Gain (Loss) on Sale of Investments,-3.2,-10.57,5.42,4.16,1.35,22.48,15.46,30.96,0.3,5.54,Upgrade
16,Gain (Loss) on Sale of Assets,0.28,-,-,-0.63,0.63,6.24,-9.24,-0.33,0.33,-,Upgrade
17,Pretax Income,222.18,198.68,266.79,190.07,329.29,420.63,331.03,381.55,240.26,277.25,Upgrade
18,Income Tax Expense,11.94,21.09,24.45,-31.72,26.97,43.54,36.49,54.35,27.14,26.94,Upgrade
19,Earnings From Continuing Operations,210.24,177.59,242.34,221.79,302.33,377.09,294.54,327.2,213.12,250.32,Upgrade
20,Minority Interest in Earnings,-25.87,-26.08,-23.64,-13.45,-7.13,-3.26,-4,-1.2,-2.1,-4.64,Upgrade
21,Net Income,184.37,151.51,218.7,208.34,295.2,373.83,290.54,326.01,211.02,245.68,Upgrade
22,Net Income to Common,184.37,151.51,218.7,208.34,295.2,373.83,290.54,326.01,211.02,245.68,Upgrade
23,Net Income Growth,-15.70%,-27.28%,-25.91%,-44.27%,1.60%,14.67%,37.68%,32.70%,41.18%,40.88%,Upgrade
24,Shares Outstanding (Basic),2761,2775,2782,2785,2790,2797,2649,2565,2569,2540,Upgrade
25,Shares Outstanding (Diluted),2761,2775,2782,2785,2790,2797,2649,2565,2569,2554,Upgrade
26,Shares Change (YoY),-0.78%,-0.36%,-0.29%,-0.42%,5.32%,9.02%,3.14%,0.43%,0.94%,0.30%,Upgrade
27,EPS (Basic),0.07,0.05,0.08,0.07,0.11,0.13,0.11,0.13,0.08,0.10,Upgrade
28,EPS (Diluted),0.07,0.05,0.08,0.07,0.11,0.13,0.11,0.13,0.08,0.10,Upgrade
29,EPS Growth,-15.04%,-27.01%,-25.70%,-44.04%,-3.53%,5.19%,33.73%,32.47%,39.30%,40.02%,Upgrade
30,Free Cash Flow,32.69,-195.8,-26.86,202.59,-395.34,-35.71,124.54,578.44,252.82,-244.91,Upgrade
31,Free Cash Flow Per Share,0.01,-0.07,-0.01,0.07,-0.14,-0.01,0.05,0.23,0.10,-0.10,Upgrade
32,Dividend Per Share,0.020,-,-,-,-,-,-,-,-,-,Upgrade
33,Operating Margin,11.51%,10.30%,10.68%,6.63%,13.22%,14.94%,14.90%,15.18%,12.96%,13.35%,Upgrade
34,Profit Margin,7.31%,5.68%,8.76%,8.69%,11.06%,11.95%,11.10%,12.02%,8.41%,9.58%,Upgrade
35,Free Cash Flow Margin,1.30%,-7.34%,-1.08%,8.45%,-14.81%,-1.14%,4.76%,21.33%,10.07%,-9.55%,Upgrade
36,EBITDA,487.48,468.02,453.51,323.27,516.58,617.69,535.83,550.65,451.98,463.32,Upgrade
37,D&A For EBITDA,197.16,193.31,186.88,164.28,163.64,150.3,145.98,139.08,126.87,121.11,Upgrade
38,EBIT,290.32,274.7,266.64,158.99,352.94,467.39,389.85,411.57,325.11,342.21,Upgrade
