,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,140.07,188.52,166.16,258.28,236.78,246.95,214.45,231.11,105.34,293.16,292.49,325.79,241.39,127.83,-,125.88,-,81.51,81.51
1,Trading Asset Securities,-,98.79,71.59,93.31,33.35,98.79,123.8,134.99,173.25,286.03,130.67,108.98,70.41,129,220,-,-,-,-,-
2,Cash & Short-Term Investments,238.86,238.86,260.11,259.47,291.63,335.56,370.75,349.44,404.36,391.37,423.84,401.47,396.2,370.39,347.83,125.88,125.88,-,81.51,81.51
3,Cash Growth,-18.10%,-28.82%,-29.84%,-25.75%,-27.88%,-14.26%,-12.52%,-12.96%,2.06%,5.67%,21.85%,218.94%,214.75%,-,326.71%,54.42%,-,-,-,-
4,Accounts Receivable,-,283.68,298.25,284.58,297.15,251.88,250.62,226.27,224.14,207.28,197.65,215.09,227.24,194.75,170.47,-,199.58,-,158.44,158.44
5,Other Receivables,-,7.42,7.79,9.23,7.05,9.12,7.17,6.76,6.55,7.46,6.25,6.14,4.69,5.88,4.44,-,2.72,-,4.09,4.09
6,Receivables,-,291.1,306.04,293.81,304.2,261,257.79,233.03,230.69,214.74,203.9,221.22,231.93,200.63,174.91,-,202.31,-,162.53,162.53
7,Inventory,-,284.29,253.45,271.6,257.21,284.96,257.09,282.19,253.74,249.63,224.71,216.06,204.24,194.47,184.58,-,190.22,-,192.52,192.52
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.25,0.25
9,Other Current Assets,-,48.79,46.51,43.02,34.5,32.45,31.66,32.26,36.89,33.41,30.38,19.3,9.3,14.34,19.9,-,7.96,-,15.67,15.67
10,Total Current Assets,-,863.03,866.11,867.9,887.54,913.98,917.29,896.91,925.68,889.15,882.82,858.05,841.67,779.84,727.22,-,526.36,-,452.48,452.48
11,"Property, Plant & Equipment",-,311.45,301.85,289.78,272,212.35,173.26,150.74,143.6,126.16,121.47,98.46,97.74,97.48,93.63,-,96.84,-,98.64,98.64
12,Long-Term Investments,-,41.33,21.33,21.33,21.33,13.8,13.8,13.8,9.05,9.5,9.5,13.46,-,-,-,-,-,-,-,-
13,Goodwill,-,17.05,17.05,17.05,17.05,17.05,17.05,17.05,17.05,16.87,16.87,11.85,11.85,11.85,11.85,-,11.85,-,11.85,11.85
14,Other Intangible Assets,-,14.83,15.09,15.35,15.63,15.9,16.17,16.53,16.73,17.02,17.3,13.62,13.76,13.37,13.19,-,10.96,-,10.71,10.71
15,Long-Term Deferred Tax Assets,-,18.77,18.87,17.81,17.21,17.67,17.33,14.41,14.23,11.85,11.79,11.53,10.82,10.63,10.38,-,10.66,-,10.57,10.57
16,Long-Term Deferred Charges,-,1.15,1.22,0.09,0.04,0.18,0.31,0.2,0.26,0.34,0.4,-,-,-,-,-,-,-,-,-
17,Other Long-Term Assets,-,19.29,26.18,31.04,25.43,23.36,33.61,22.8,7.89,4.17,6.46,29.22,5.27,2.92,0.66,-,0.34,-,1.1,1.1
18,Total Assets,-,1287,1268,1260,1256,1214,1189,1132,1135,1075,1067,1036,981.11,916.08,856.93,-,657.02,-,585.34,585.34
19,Accounts Payable,-,102.6,15.72,117.2,43.28,127.3,127.65,101.5,21.69,87.52,29.47,96.27,23.26,78.55,60.98,-,28.81,-,73.57,73.57
20,Accrued Expenses,-,10.63,17.08,6.09,18.14,8.89,7.9,5.44,20.75,7.06,14.71,4.02,14.75,5.53,5.68,-,12.01,-,8.96,8.96
21,Short-Term Debt,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,-,5.2,4.54,3.49,2.01,0.58,0.69,1.24,1.53,0.12,0.12,0.12,0.12,-,-,-,-,-,-,-
23,Current Income Taxes Payable,-,4.81,6.15,4.96,4.86,6.53,8.23,6.6,12.53,15.52,8.41,12.15,4.44,5.49,2.06,-,3.67,-,3.88,3.88
24,Current Unearned Revenue,-,165.39,149.6,159.9,146.72,157.18,148.48,166.69,167.41,164.23,162.56,178.47,153.01,141.11,119.42,-,172.24,-,161.01,161.01
25,Other Current Liabilities,-,14.81,101.43,11.62,107.98,8.69,10.84,15.37,86.58,14.44,83.34,9.26,79.42,9.71,7.46,-,67.34,-,11.7,11.7
26,Total Current Liabilities,-,303.54,294.52,303.26,323,309.18,303.8,296.84,310.51,288.88,298.61,300.29,275,240.39,195.6,-,284.08,-,259.12,259.12
27,Long-Term Leases,-,15.13,16.57,18.22,8.02,8.86,0.17,0.08,0.09,0.03,0.05,0.09,0.11,-,-,-,-,-,-,-
