,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,155.41,90.96,163.01,76.42,149.14,97.94,169.38,77.66,115.04,84.13,91.86,81.53,87,86.98,86.67,77.72,115.61,86.1,78.19,78.19
1,Other Revenue,-,-0.72,0.72,-,0.99,-0.31,0.31,-,0.94,-0.27,0.27,-,0.55,-0.11,0.11,-,0.41,-0.07,0.04,0.04
2,Revenue,155.41,90.25,163.73,76.42,150.13,97.63,169.68,77.66,115.98,83.86,92.14,81.53,87.55,86.87,86.78,77.72,116.02,86.02,78.22,78.22
3,Revenue Growth (YoY),3.52%,-7.57%,-3.51%,-1.59%,29.44%,16.43%,84.16%,-4.75%,32.47%,-3.47%,6.18%,4.90%,-24.54%,0.98%,10.93%,-0.64%,-,-,-,-
4,Cost of Revenue,-202.25,58.99,95.1,48.16,92.75,62.45,98.03,50.84,72.29,48.81,47.23,47.78,49.85,56.88,53.03,45.06,69.79,52.95,51.02,51.02
5,Gross Profit,357.66,31.26,68.64,28.26,57.37,35.19,71.65,26.82,43.69,35.05,44.91,33.75,37.7,29.98,33.75,32.66,46.23,33.07,27.21,27.21
6,"Selling, General & Admin",-36.99,12.72,13.8,10.47,13.43,13.71,15.85,8.67,15.69,9.66,8.26,5.97,5.76,9.74,8.67,7.2,3.97,9.2,6.16,6.16
7,Research & Development,-27.75,11.24,9.62,6.89,11.43,7.45,12.09,5.96,11.15,7.25,7.79,4.3,6.09,5.16,4.94,5.05,9.48,4.7,4.49,4.49
8,Other Operating Expenses,394.36,-1.09,0.74,-2.44,0.05,-1.1,-1.1,-1.16,4.29,-1.86,-0.43,-0.07,3.13,-0.22,-0.56,0.41,5.54,-0.85,-1.13,-1.13
9,Operating Expenses,326.81,20.03,27.83,16.89,29.49,18.58,31.25,15.17,32.25,16.31,18.24,9.45,12.57,16.52,12.86,11.49,18.21,13.44,10.34,10.34
10,Operating Income,30.85,11.22,40.8,11.37,27.88,16.61,40.4,11.65,11.44,18.74,26.66,24.3,25.14,13.46,20.89,21.17,28.02,19.64,16.86,16.86
11,Interest Expense,-2.54,-0.36,-0.04,-0.17,-0.7,-0.34,-,-,-0.06,-0,-0,-0,-,-,-,-,-,-,-,-
12,Interest & Investment Income,0.57,0.68,1.53,0.33,-,1.87,3.73,1.46,2.06,1.01,1.52,2.19,1.83,2.1,0.55,0.19,0.19,0.18,0.14,0.14
13,Currency Exchange Gain (Loss),-,-0.04,0.04,-,-0.22,0.02,-0.02,-,-0.18,-,-,-,0.02,-,-,-,-0.02,-,-,-
14,Other Non Operating Income (Expenses),-0.66,0.71,-0.68,0.25,0.15,-0.13,0.01,-0.23,-0.44,0.25,-0.24,0,-0.07,-0.41,-0.28,-0.25,2.8,-2.87,-0.1,-0.1
15,EBT Excluding Unusual Items,28.23,12.21,41.65,11.78,27.11,18.03,44.12,12.88,12.82,20,27.94,26.5,26.92,15.14,21.17,21.11,30.99,16.94,16.9,16.9
16,Gain (Loss) on Sale of Investments,-0.07,0.06,-0.27,0.27,1.09,-0.1,-1.22,0.41,-0.82,0.84,0.67,-,0.41,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.07,-0.07,-,-,-0.4,-0.01,-0.12,-,-0.4,-,0.01,0.01,0.01,0.03,-,-,-4.28,3.36,-1.67,-1.67
18,Asset Writedown,1.11,-1.11,0.25,-0.25,2.32,-2.32,0.4,-0.4,0.93,-0.93,0.29,-0.29,0.3,-0.3,0.47,-0.47,2.84,-2.84,-,-
19,Legal Settlements,-,0.18,-0.18,-,-0.03,0.12,-0.12,-,-0.28,0.22,-0.22,-,-0.49,0.08,-0.08,-,-0.53,0.26,-0.13,-0.13
20,Other Unusual Items,-,-1.15,1.15,-,0.43,-0.01,0.01,-,4.88,-0.09,0.09,-,2.41,-0.1,0.1,-,5.66,-0.31,0.16,0.16
21,Pretax Income,29.34,10.14,42.59,11.81,30.53,15.72,43.08,12.89,17.14,20.03,28.78,26.22,29.55,14.85,21.66,20.64,34.67,17.42,15.26,15.26
